rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,time/episodes,time/total_timesteps,train/ent_coef_loss,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss,train/ent_coef
4.88183,684,30.0,0,1,30,,,,,,
1.8971355,839,20.5,0,2,41,,,,,,
2.0815086666666667,1008,18.333333333333332,0,3,55,,,,,,
1.7057602500000002,1193,18.5,0,4,74,,,,,,
1.4757090000000002,54,23.0,2,5,115,-6.235788345336914,0.03,189.58489456176758,280,95.30879974365234,1.3258485794067383
0.3524580000000001,40,20.333333333333332,3,6,122,-9.887928009033203,0.03,276.29055709838866,420,123.2252197265625,1.615771770477295
-0.04846971428571419,29,19.0,4,7,133,-15.7620210647583,0.03,501.48624420166016,640,178.42742919921875,2.1985580921173096
-0.46876162499999996,21,19.25,7,8,154,9.276348114013672,0.03,73.09416770935059,1060,112.07105255126953,3.8209283351898193
-0.7113506666666667,19,18.0,8,9,162,5.837324142456055,0.03,82.12464752197266,1220,71.35015106201172,4.004588603973389
-1.0376542,18,16.8,8,10,168,7.655313014984131,0.03,101.0052375793457,1340,49.32691192626953,3.971013069152832
-1.2292195454545456,17,15.909090909090908,9,11,175,5.7301106452941895,0.03,83.53531417846679,1480,25.03270721435547,3.829268217086792
-1.4571665833333334,17,15.083333333333334,10,12,181,6.634822845458984,0.03,101.4385498046875,1600,11.854400634765625,3.6727001667022705
-1.538886846153846,16,14.538461538461538,11,13,189,6.359393119812012,0.03,67.78790493011475,1760,-7.531416416168213,3.4409985542297363
-1.7795437142857142,15,13.928571428571429,12,14,195,6.7563323974609375,0.03,58.80560245513916,1880,-18.455638885498047,3.256117105484009
-1.8476425333333333,15,13.466666666666667,13,15,202,6.532838821411133,0.03,41.93104076385498,2020,-26.003746032714844,3.025799036026001
-1.8985358125,14,13.1875,14,16,211,6.517683982849121,0.03,29.36207284927368,2200,-32.08830261230469,2.7186434268951416
-1.630913411764706,13,13.176470588235293,16,17,224,5.468569755554199,0.03,15.463600778579712,2460,-33.52808380126953,2.2792611122131348
-1.5692920555555556,12,14.0,19,18,252,2.472897529602051,0.03,9.30615553855896,3020,-37.06598663330078,1.490925908088684
-1.2283855789473683,11,14.894736842105264,23,19,283,-0.48220348358154297,0.03,7.584403610229492,3640,-35.429344177246094,0.9230236411094666
-2.4968401,10,18.2,34,20,364,-2.192063808441162,0.03,4.062376070022583,5260,-40.18061065673828,0.3365734815597534
-4.152298666666667,10,21.095238095238095,44,21,443,-2.019965648651123,0.03,4.221289849281311,6840,-45.06245422363281,0.20875287055969238
-5.370611545454546,9,24.363636363636363,56,22,536,-2.7485995292663574,0.03,3.8186648726463317,8700,-43.58610534667969,0.1683497428894043
