time/total_timesteps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/ent_coef_loss,train/learning_rate,train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef
16,1,16.0,-5.102905,0,322,,,,,,
30,2,15.0,-1.5508965,0,496,,,,,,
52,3,17.333333333333332,2.3587583333333333,0,693,,,,,,
63,4,15.75,1.37253075,0,765,,,,,,
94,5,18.8,3.9321276,0,972,,,,,,
133,6,22.166666666666668,4.895803333333333,6,20,-4.804798579216003,0.003,640,-7.221188306808472,0.041888752952218056,0.1891022302210331
230,7,32.857142857142854,0.8271432857142855,24,9,0.4530082203447819,0.003,2580,-14.01514368057251,0.22067070230841637,0.11483193151652812
365,8,45.625,19.85474275,56,6,0.03194267451763153,0.003,5280,-23.695214176177977,0.19878125712275505,0.16310732662677765
486,9,54.0,26.242417222222223,84,5,-0.01744618806988001,0.003,7700,-39.756639099121095,0.39892778247594834,0.23017504587769508
512,10,51.2,24.469960800000003,90,5,0.03458081427961588,0.003,8220,-43.335300254821775,0.5460385620594025,0.21851153671741486
598,11,54.36363636363637,35.74071281818181,110,5,-0.07622375749051571,0.003,9940,-55.3274564743042,1.2639160096645354,0.29104803055524825
628,12,52.333333333333336,33.24121425,117,5,-0.09644307512789965,0.003,10540,-59.61927261352539,0.6222083508968353,0.296039791405201
767,13,59.0,27.66477823076923,150,5,0.073985396604985,0.003,13320,-71.66488952636719,1.0252405822277069,0.3321415767073631
821,14,58.642857142857146,26.757060214285712,161,5,0.07585674859583377,0.003,14400,-75.77077102661133,1.151850512623787,0.30840312093496325
951,15,63.4,35.220486,187,5,0.053424876369535926,0.003,17000,-101.35955123901367,2.4243162155151365,0.4502903774380684
1019,16,63.6875,31.611226125,203,5,0.01775672035291791,0.003,18360,-109.40131721496581,2.6226832032203675,0.4729345262050629
1120,17,65.88235294117646,29.10231223529412,222,5,-0.03235621359199285,0.003,20380,-117.73824729919434,3.2371466875076296,0.4439032509922981
1274,18,70.77777777777777,38.972736222222224,257,4,0.02255349010229111,0.003,23460,-135.8990234375,3.3404903411865234,0.4713421478867531
1348,19,70.94736842105263,37.84779368421053,271,4,-0.011568357609212399,0.003,24940,-139.22347412109374,3.0821766376495363,0.45835707485675814
1414,20,70.7,37.1309266,282,5,0.010181660205125809,0.003,26260,-143.6590362548828,4.945434439182281,0.42616350650787355
1544,21,73.52380952380952,44.371772761904765,311,4,-0.034891529195010665,0.003,28860,-148.10607223510743,4.177505564689636,0.4814513847231865
1764,22,80.18181818181819,40.630040818181826,355,4,0.07373516606166959,0.003,33260,-159.41551055908204,5.823147249221802,0.49852350652217864
1882,23,81.82608695652173,37.838593217391306,382,4,-0.013675447180867195,0.003,35620,-167.28228607177735,6.444897317886353,0.5181616514921188
2029,24,84.54166666666667,38.159969875,416,4,0.04065408762544394,0.003,38560,-184.55679244995116,8.229775953292847,0.5903478503227234
2156,25,86.24,43.34964756,444,4,-0.030961920320987702,0.003,41100,-215.76640625,13.761479425430299,0.6995050013065338
2226,26,85.61538461538461,42.73917973076924,460,4,0.016128412634134292,0.003,42500,-241.9767578125,20.647673273086546,0.7509947150945664
2250,27,83.33333333333333,41.25874062962963,465,4,0.023517597140744327,0.003,42980,-245.973681640625,28.32135648727417,0.774781784415245
2275,28,81.25,39.66299875,471,4,0.012816376890987158,0.003,43480,-261.0150947570801,28.519840908050536,0.8561103492975235
2301,29,79.34482758620689,38.35173082758621,477,4,-0.0004712208639830351,0.003,44000,-272.94358978271487,26.80051460266113,0.929739135503769
2327,30,77.56666666666666,37.26200146666667,483,4,-0.0011494469683384523,0.003,44520,-290.9295654296875,35.339367389678955,1.027734535932541
2471,31,79.70967741935483,42.413331935483875,516,4,0.05064726644195616,0.003,47400,-407.05546417236326,70.63108882904052,1.5160830616950989
2511,32,78.46875,41.50716309375,525,4,0.02284339498728514,0.003,48200,-446.0616027832031,113.6813907623291,1.7229904055595398
2528,33,76.60606060606061,40.04886951515152,528,4,-0.07671966636553407,0.003,48540,-466.80023193359375,120.73465538024902,1.7902884304523468
2547,34,74.91176470588235,38.68803644117648,533,4,-0.05022089350968599,0.003,48920,-480.6274154663086,129.89100341796876,1.8735629320144653
2575,35,73.57142857142857,37.51187951428572,539,4,-0.015193661861121654,0.003,49480,-519.9001571655274,217.6687847137451,1.9431487679481507
2741,36,76.13888888888889,37.37282205555556,565,4,0.07766807805746793,0.003,52800,-742.2268890380859,364.95987701416016,3.0451663017272947
2754,37,74.43243243243244,36.327624297297305,567,4,-0.25229783803224565,0.003,53060,-785.3311920166016,387.8403091430664,3.115187907218933
2828,38,74.42105263157895,38.0489677631579,577,4,-0.046854310855269435,0.003,54540,-955.1392456054688,930.1438385009766,4.0648592710494995
2893,39,74.17948717948718,37.9040508974359,592,4,0.0825074028223753,0.003,55840,-1175.892108154297,1178.8510345458985,5.063187098503112
3019,40,75.475,39.68666125,621,4,-0.0952172625809908,0.003,58360,-1741.886492919922,2416.086981201172,8.235104036331176
3037,41,74.07317073170732,38.44722714634146,624,4,0.35861377492547036,0.003,58720,-1788.05166015625,3098.745458984375,8.256496572494507
3062,42,72.9047619047619,37.455025285714285,629,4,-0.11966797970235347,0.003,59220,-1866.8661254882813,3036.160192871094,7.939871454238892
3135,43,72.90697674418605,38.69375606976744,638,4,-0.01966008245944977,0.003,60680,-2248.922644042969,4398.265698242188,10.23191065788269
3240,44,73.63636363636364,38.092648545454544,659,4,0.4633989542722702,0.003,62780,-2793.959362792969,5405.1396484375,12.35474181175232
