time/episodes,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,train/ent_coef_loss,train/n_updates,train/actor_loss,train/ent_coef,train/learning_rate,train/critic_loss
50,46.21152134,3,2055,660,41.1,-0.8451118469238281,39080,-30.54154396057129,0.12688326835632324,0.03,23.103940296173096
51,45.243490666666666,3,2062,662,40.431372549019606,0.17942985892295837,39220,-31.96165657043457,0.1268768012523651,0.03,18.154047632217406
52,44.33152603846155,3,2069,665,39.78846153846154,0.2989423871040344,39360,-29.700632095336914,0.12776201963424683,0.03,17.524283933639527
53,43.45035949056604,3,2076,667,39.16981132075472,-0.507495105266571,39500,-31.169410705566406,0.1281014382839203,0.03,18.65627498626709
54,42.59924825925927,3,2083,669,38.574074074074076,-0.06124231219291687,39640,-27.24234390258789,0.1265702247619629,0.03,19.190138816833496
55,41.77898834545456,3,2090,672,38.0,-0.6097084879875183,39780,-35.535362243652344,0.12573197484016418,0.03,24.063559532165527
56,40.99562960714286,3,2097,674,37.44642857142857,0.5948643684387207,39920,-31.180255889892578,0.12455872446298599,0.03,18.54277458190918
57,40.22627022807018,3,2104,676,36.91228070175438,-0.6417973041534424,40060,-29.756206512451172,0.12457684427499771,0.03,19.79402184486389
58,39.49142048275862,3,2111,678,36.39655172413793,-0.43236565589904785,40200,-37.41375732421875,0.12527456879615784,0.03,21.59746379852295
59,38.789948389830506,3,2118,681,35.898305084745765,1.035500168800354,40340,-32.908966064453125,0.12533153593540192,0.03,22.474276638031007
60,38.09675719999999,3,2124,682,35.4,-0.9187438488006592,40460,-33.27291488647461,0.12612910568714142,0.03,23.688603973388673
61,37.41495647540983,3,2130,684,34.91803278688525,0.18039003014564514,40580,-30.089168548583984,0.12660981714725494,0.03,25.688719081878663
62,36.79673972580645,3,2138,687,34.483870967741936,-0.3090707063674927,40740,-33.73491287231445,0.12718996405601501,0.03,31.29052667617798
63,36.16081317460317,3,2144,689,34.03174603174603,1.9061729907989502,40860,-25.769655227661133,0.12655103206634521,0.03,23.195760345458986
64,35.585381625,3,2152,692,33.625,-1.1470190286636353,41020,-28.068702697753906,0.12674355506896973,0.03,29.681689548492432
65,34.982587938461535,3,2158,694,33.2,1.6201345920562744,41140,-28.1016845703125,0.12436112761497498,0.03,26.57761182785034
66,34.40549742424242,3,2164,696,32.78787878787879,-0.1985267698764801,41260,-34.83268737792969,0.12602365016937256,0.03,30.639765548706055
67,33.874416014925366,3,2172,698,32.417910447761194,0.6728625297546387,41420,-28.339563369750977,0.12793613970279694,0.03,36.998749351501466
68,33.345283205882346,3,2179,701,32.044117647058826,0.6072887182235718,41560,-29.611309051513672,0.12903758883476257,0.03,27.113854694366456
69,32.8258652463768,3,2186,703,31.681159420289855,1.4067866802215576,41700,-30.199527740478516,0.13265863060951233,0.03,31.56352014541626
70,32.31558434285713,3,2192,705,31.314285714285713,0.8592262268066406,41820,-29.879100799560547,0.13734598457813263,0.03,29.0713529586792
71,31.824501605633795,3,2199,707,30.971830985915492,0.3060169816017151,41960,-30.103782653808594,0.14277403056621552,0.03,30.855517768859862
72,31.338443930555556,3,2205,709,30.625,1.3166277408599854,42080,-31.604406356811523,0.14713245630264282,0.03,26.65719861984253
73,30.867751602739727,3,2211,711,30.28767123287671,-0.16957832872867584,42200,-27.423908233642578,0.1518113762140274,0.03,36.65717658996582
74,30.437063675675677,3,2219,714,29.986486486486488,-0.09354826807975769,42360,-31.795562744140625,0.1556013524532318,0.03,32.30919361114502
75,29.984211253333335,3,2225,716,29.666666666666668,-0.26882079243659973,42480,-27.057178497314453,0.1577608734369278,0.03,42.47496871948242
76,29.556109197368425,3,2232,718,29.36842105263158,0.8734177350997925,42620,-26.818811416625977,0.15636692941188812,0.03,33.160186004638675
77,29.1794145974026,3,2241,721,29.103896103896105,-1.0125633478164673,42800,-28.035276412963867,0.15819691121578217,0.03,34.35197172164917
78,28.789006615384622,3,2249,723,28.833333333333332,1.262380838394165,42960,-25.9856014251709,0.16038693487644196,0.03,38.11986598968506
79,28.41832537974684,3,2258,726,28.582278481012658,0.09833070635795593,43140,-28.95503044128418,0.16739030182361603,0.03,42.00584735870361
80,28.025229237500003,3,2264,728,28.3,0.1930793970823288,43260,-23.623275756835938,0.1722833812236786,0.03,46.05028648376465
81,31.273468753086423,3,2429,782,29.987654320987655,-0.9788612127304077,46560,-18.468326568603516,0.15765653550624847,0.03,28.875608348846434
82,32.04143565853659,3,2568,827,31.317073170731707,-0.1614874005317688,49340,-14.572449684143066,0.1159692257642746,0.03,14.517895364761353
83,35.434179265060244,3,2754,888,33.18072289156626,0.44361376762390137,53060,-18.283679962158203,0.08355545997619629,0.03,8.123897910118103
84,38.323406369047625,3,2903,937,34.55952380952381,1.1315627098083496,56040,-21.280580520629883,0.09832461923360825,0.03,7.240946102142334
85,41.36987530588236,3,3063,989,36.03529411764706,-0.7709850072860718,59240,-23.987354278564453,0.09463347494602203,0.03,9.591929054260254
86,44.35861445348838,3,3214,1038,37.372093023255815,0.9341782927513123,62260,-29.37932586669922,0.10507643222808838,0.03,11.30435209274292
87,46.85775474712644,3,3349,1082,38.49425287356322,0.29357630014419556,64960,-33.918853759765625,0.10664450377225876,0.03,14.133221340179443
88,49.69937944318181,3,3501,1132,39.78409090909091,-0.19655555486679077,68000,-36.8621826171875,0.1033829003572464,0.03,11.931514358520507
89,52.74988669662921,3,3663,1184,41.157303370786515,-0.3399926424026489,71240,-35.984649658203125,0.0996655821800232,0.03,13.637296628952026
90,55.80627995555555,3,3826,1237,42.51111111111111,-0.815658688545227,74500,-44.54604721069336,0.09973791241645813,0.03,14.552680349349975
91,58.97414496703296,3,3994,1292,43.89010989010989,-0.08860844373703003,77860,-49.647464752197266,0.10869140177965164,0.03,15.563309335708619
92,62.15669874999999,3,4165,1348,45.27173913043478,-0.048810094594955444,81280,-50.39326477050781,0.12233465909957886,0.03,15.105863332748413
93,65.24972932258063,3,4331,1403,46.56989247311828,-1.9527504444122314,84600,-56.86948776245117,0.11826347559690475,0.03,16.6547260761261
94,68.37594571276594,3,4505,1461,47.92553191489362,-0.06097252666950226,88080,-60.95664596557617,0.12038514018058777,0.03,14.61477780342102
95,71.46101813684209,3,4681,1519,49.27368421052632,0.0893326848745346,91600,-61.49627685546875,0.11669868230819702,0.03,11.564297699928284
96,74.88222606250001,3,4879,1583,50.822916666666664,2.5277414321899414,95560,-70.44439697265625,0.10626797378063202,0.03,13.263690567016601
97,78.15746474226805,3,5078,1649,52.350515463917525,-0.7773921489715576,99540,-70.48898315429688,0.1225084736943245,0.03,15.679038047790527
98,81.88219529591836,3,5305,1723,54.13265306122449,-0.5319617390632629,104080,-72.64576721191406,0.11640363186597824,0.03,16.0522340297699
99,85.2919973030303,3,5505,1789,55.60606060606061,1.272716999053955,108080,-78.05508422851562,0.10903889685869217,0.03,13.001483154296874
100,88.44645323,3,5690,1849,56.9,1.2713804244995117,111780,-78.82649230957031,0.11055212467908859,0.03,10.83315052986145
101,92.08081757000002,3,5874,1908,58.26,-0.6236575841903687,115460,-79.71623229980469,0.13261331617832184,0.03,18.48679885864258
102,95.81563877,3,6046,1964,59.65,0.2999010682106018,118900,-77.92700958251953,0.13431325554847717,0.03,25.139051723480225
103,99.25519589999998,3,6211,2018,61.17,0.6515899896621704,122200,-82.29962921142578,0.12918570637702942,0.03,18.427958679199218
104,103.35696,3,6395,2078,62.88,-0.2709639370441437,125880,-85.65347290039062,0.13148196041584015,0.03,19.077888011932373
105,107.01116051999999,3,6566,2135,64.48,-0.5276715755462646,129300,-83.58119201660156,0.13799133896827698,0.03,17.99762625694275
106,111.15040865,3,6754,2197,66.23,1.55794358253479,133060,-87.54322814941406,0.11753571033477783,0.03,18.728549814224245
107,115.33738015000003,3,6948,2261,68.07,2.030447483062744,136940,-78.95008850097656,0.12076695263385773,0.03,13.655068492889404
108,119.10702245,3,7121,2318,69.73,-1.066939115524292,140400,-83.03968048095703,0.120604507625103,0.03,15.739998531341552
109,122.57784276000001,3,7279,2369,71.24,-2.0563607215881348,143560,-91.73178100585938,0.1196971982717514,0.03,15.735691833496094
110,126.07759109000003,3,7442,2422,72.77,-0.07779186964035034,146820,-95.4647445678711,0.12089671194553375,0.03,14.723523473739624
111,130.25195285,3,7632,2485,74.6,-0.8729198575019836,150620,-91.75540161132812,0.1200862005352974,0.03,15.845417976379395
112,133.67010962,3,7796,2540,76.17,-1.3138773441314697,153900,-95.38069152832031,0.12385068088769913,0.03,13.773622274398804
113,137.79020984,3,7989,2603,78.02,0.2137388288974762,157760,-95.79432678222656,0.12159301340579987,0.03,13.473035860061646
114,141.83275210999997,3,8171,2664,79.77,0.5791901350021362,161400,-98.46710968017578,0.11434422433376312,0.03,18.709062576293945
115,145.89262177,3,8353,2725,81.51,-0.24443772435188293,165040,-94.91542053222656,0.1109539344906807,0.03,18.842728281021117
116,149.96668246,3,8537,2786,83.28,-0.7992514967918396,168720,-91.66881561279297,0.11654820293188095,0.03,16.03627953529358
117,153.98569869,3,8725,2848,85.09,-0.5489826798439026,172480,-96.184326171875,0.12322394549846649,0.03,15.172132730484009
118,158.14526633999998,3,8913,2910,86.9,-0.6303830742835999,176240,-96.20355224609375,0.10588515549898148,0.03,22.59741096496582
119,162.24379591,3,9093,2969,88.63,-1.1695125102996826,179840,-90.25642395019531,0.16692867875099182,0.03,64.05069179534912
120,166.30691175999996,3,9278,3029,90.41,-0.5285457372665405,183540,-90.4659423828125,0.12653250992298126,0.03,32.14036102294922
121,170.19881638999996,3,9460,3088,92.13,0.976516842842102,187180,-83.53927612304688,0.1270509511232376,0.03,37.93715410232544
122,174.05736291999995,3,9647,3150,93.61,-1.3687776327133179,190920,-81.39295959472656,0.11676450818777084,0.03,35.25080933570862
123,178.01039379999995,3,9833,3210,95.08,-0.03266328573226929,194640,-87.29261779785156,0.09426028281450272,0.03,22.78937211036682
124,182.07929201999997,3,10013,3268,95.49,-0.07351362705230713,198240,-86.24562072753906,0.10104620456695557,0.03,16.063038730621336
125,182.81850504,3,10177,3322,94.7,-1.2083001136779785,201520,-90.94375610351562,0.09662383049726486,0.03,15.332519817352296
126,183.61125828999994,3,10367,3384,94.72,0.5650522708892822,205320,-90.80448150634766,0.08107733726501465,0.03,12.55203835964203
127,184.83259121999996,3,10561,3448,95.04,-2.6529951095581055,209200,-93.94825744628906,0.09993313997983932,0.03,14.438668823242187
128,185.8914677,3,10748,3511,95.17,1.5102691650390625,212940,-91.02079010009766,0.10561013966798782,0.03,21.280353593826295
129,186.69370206,3,10931,3571,95.19,-2.1548056602478027,216600,-92.31978607177734,0.10498583316802979,0.03,29.883042812347412
130,187.84278842000003,3,11102,3627,95.37,0.8936192989349365,220020,-91.06570434570312,0.10210039466619492,0.03,19.365782594680788
131,188.83362238000007,3,11277,3685,95.53,-0.39128580689430237,223520,-95.22335052490234,0.10581830888986588,0.03,21.002409601211546
132,192.83761250000003,3,11472,3748,96.8,-0.05044838786125183,227420,-94.40196990966797,0.10050399601459503,0.03,16.832850456237793
133,193.99619782000002,3,11653,3807,97.1,3.4756972789764404,231040,-93.97594451904297,0.09918799251317978,0.03,32.043377590179446
134,198.22163455999998,3,11844,3869,98.95,-0.6891967058181763,234860,-92.62522888183594,0.10324461758136749,0.03,16.814869546890257
135,202.37090293,3,12030,3930,100.75,1.1373615264892578,238580,-96.80181884765625,0.09224680066108704,0.03,14.352899217605591
136,206.52777917999995,3,12219,3992,102.58,0.48226356506347656,242360,-91.73858642578125,0.09912919998168945,0.03,12.979367589950561
137,210.66119476,3,12406,4054,104.38,0.1934950351715088,246100,-98.33779907226562,0.10294631123542786,0.03,18.572712182998657
138,214.73569676999995,3,12588,4114,106.13,-0.017253756523132324,249740,-96.35482788085938,0.09705975651741028,0.03,13.314087057113648
139,219.09805208999998,3,12790,4179,108.08,-1.5373860597610474,253780,-96.12813568115234,0.10124322026968002,0.03,13.878429794311524
140,223.34065111,3,12984,4242,109.95,0.054847121238708496,257660,-98.15365600585938,0.08690795302391052,0.03,13.970725727081298
141,227.5220682,3,13175,4304,111.79,-0.1183895468711853,261480,-100.21324920654297,0.08755221217870712,0.03,16.917464685440063
142,231.65701823,3,13363,4365,113.6,1.175041675567627,265240,-97.54364013671875,0.09042485058307648,0.03,9.809375882148743
143,235.77376721000007,3,13547,4425,115.37,0.4311858117580414,268920,-102.73236083984375,0.08327282965183258,0.03,12.927897930145264
144,239.93541012000003,3,13733,4486,117.16,1.2102299928665161,272640,-105.92398071289062,0.0803339034318924,0.03,12.681848764419556
145,244.27095977000005,3,13930,4550,119.06,-0.13146603107452393,276580,-105.51105499267578,0.08109939843416214,0.03,14.540301036834716
146,248.52935430000002,3,14119,4613,120.89,-0.19073650240898132,280360,-98.51416015625,0.09107284992933273,0.03,18.245610904693603
147,252.87151148,3,14312,4676,122.76,0.9050654172897339,284220,-101.94988250732422,0.08686824887990952,0.03,20.892674493789674
148,257.13121591000004,3,14507,4741,124.64,-0.3300003409385681,288120,-102.96175384521484,0.07908830791711807,0.03,11.292313313484192
149,261.42797543,3,14699,4804,126.5,0.4279007613658905,291960,-105.9356460571289,0.08417315781116486,0.03,12.492842435836792
150,265.67135741000004,3,14886,4866,128.31,0.9244515895843506,295700,-105.21160125732422,0.080361507833004,0.03,11.94116644859314
151,269.99143189000006,3,15078,4929,130.16,-1.0836379528045654,299540,-106.2841567993164,0.07899205386638641,0.03,14.243679857254028
152,274.41373908,3,15282,4996,132.13,0.17148950695991516,303620,-101.98625183105469,0.08221806585788727,0.03,12.536524224281312
153,278.70396667000006,3,15477,5059,134.01,1.5537097454071045,307520,-102.50416564941406,0.08445069193840027,0.03,14.43895697593689
154,283.00837666,3,15669,5122,135.86,-0.7816634178161621,311360,-102.300048828125,0.08343104273080826,0.03,12.9951162815094
155,287.26881845,3,15864,5186,137.74,-0.7090566754341125,315260,-98.78627014160156,0.07390181720256805,0.03,10.268291926383972
156,291.49204011,3,16055,5250,139.58,0.7885740995407104,319080,-99.5244369506836,0.07673123478889465,0.03,10.794979047775268
157,295.87536741,3,16250,5315,141.46,2.000680446624756,322980,-106.43514251708984,0.07253354787826538,0.03,13.344566202163696
158,299.92275129,3,16437,5376,143.26,0.26174893975257874,326720,-105.3292236328125,0.07303757220506668,0.03,16.964841270446776
159,304.17879739,3,16627,5438,145.09,-0.05934637784957886,330520,-104.74566650390625,0.0836397260427475,0.03,14.172553968429565
160,308.51690761,3,16818,5501,146.94,-0.273673415184021,334340,-109.9958724975586,0.07753956317901611,0.03,13.733796739578247
161,312.82228588,3,17007,5563,148.77,-1.7367277145385742,338120,-103.70654296875,0.08074700832366943,0.03,17.663773488998412
162,317.15517371,3,17202,5628,150.64,-0.8172129392623901,342020,-107.24718475341797,0.0781303122639656,0.03,14.747846698760986
163,321.56235095,3,17400,5694,152.56,-1.390470027923584,345980,-105.60426330566406,0.07133907824754715,0.03,19.91731743812561
164,325.74356174,3,17588,5756,154.36,-1.498903751373291,349740,-106.83268737792969,0.06954292953014374,0.03,11.322725510597229
165,330.02201901999996,3,17779,5819,156.21,-0.09370458126068115,353560,-109.81875610351562,0.07383392751216888,0.03,12.980328178405761
166,334.03323168,3,17961,5879,157.97,-0.03080296516418457,357200,-107.64380645751953,0.07093687355518341,0.03,13.466271662712098
167,338.27978859999996,3,18151,5941,159.79,-1.0116647481918335,361000,-108.39087677001953,0.07766135782003403,0.03,17.342515325546266
168,342.6616181099999,3,18349,6005,161.7,-0.07628786563873291,364960,-109.38096618652344,0.07881612330675125,0.03,31.859084272384642
169,346.98546926999995,3,18541,6068,163.55,-0.46094921231269836,368800,-106.32870483398438,0.06946797668933868,0.03,14.10018892288208
170,351.21746204999994,3,18732,6129,165.4,1.696821689605713,372620,-104.05355834960938,0.06227744370698929,0.03,12.510562849044799
171,355.46196969,3,18921,6191,167.22,2.4944396018981934,376400,-104.56631469726562,0.07087980210781097,0.03,15.968385267257691
172,359.70156724000003,3,19108,6252,169.03,-0.6893442273139954,380140,-108.41844177246094,0.083636075258255,0.03,13.724846506118775
173,363.96594252,3,19295,6313,170.84,0.1689988076686859,383880,-108.29534912109375,0.06855732947587967,0.03,11.830468678474427
174,368.29134834,3,19486,6376,172.67,0.43276652693748474,387700,-107.55448150634766,0.07365795969963074,0.03,12.085589909553528
175,372.5384523000001,3,19677,6439,174.52,-1.5684207677841187,391520,-106.67951965332031,0.08068713545799255,0.03,17.26947636604309
176,376.9098646800001,3,19866,6501,176.34,-0.18707966804504395,395300,-104.96238708496094,0.07118112593889236,0.03,17.24561400413513
177,381.1421967400001,3,20060,6565,178.19,-0.947898268699646,399180,-109.1756591796875,0.0773770660161972,0.03,14.893051147460938
178,385.36607059,3,20254,6629,180.05,0.7859817147254944,403060,-103.35791015625,0.08313772082328796,0.03,24.293525791168214
179,389.62162983999997,3,20444,6692,181.86,-1.0955085754394531,406860,-105.60406494140625,0.09991701692342758,0.03,47.77349519729614
180,393.8607618,3,20632,6753,183.68,-0.23031476140022278,410620,-105.2630615234375,0.08518221229314804,0.03,26.01257457733154
181,395.17018807999995,3,20820,6814,183.91,0.5866172313690186,414380,-101.67851257324219,0.10221584886312485,0.03,34.77040557861328
182,398.3910928199998,3,21011,6876,184.43,0.1734279990196228,418200,-97.07341003417969,0.09703731536865234,0.03,32.266445064544676
183,399.4208814999999,3,21199,6937,184.45,-0.3976929187774658,421960,-99.46439361572266,0.086155965924263,0.03,27.565307712554933
184,401.0026386299999,3,21397,7001,184.94,0.0075126588344573975,425920,-104.71389770507812,0.08104521781206131,0.03,20.16764054298401
185,402.36560453,3,21589,7064,185.26,-0.7506035566329956,429760,-102.29054260253906,0.07638191431760788,0.03,18.26343216896057
186,403.68042437,3,21784,7127,185.7,1.3329557180404663,433660,-104.7922134399414,0.06700334697961807,0.03,15.985837697982788
187,405.39200277999987,3,21976,7190,186.27,1.0761736631393433,437500,-103.99556732177734,0.06590244919061661,0.03,16.83749122619629
188,406.76953389999994,3,22168,7253,186.67,0.8401484489440918,441340,-102.11654663085938,0.06482972949743271,0.03,16.58044891357422
189,407.8613832699999,3,22361,7317,186.98,-0.37241262197494507,445200,-102.80816650390625,0.061663977801799774,0.03,11.693135142326355
190,408.97443748,3,22561,7383,187.35,2.5262444019317627,449200,-110.75495910644531,0.06024952605366707,0.03,10.527815103530884
191,409.8586849299999,3,22760,7448,187.66,1.2534734010696411,453180,-113.14891052246094,0.06200321391224861,0.03,14.112701606750488
192,410.61330402999994,3,22956,7513,187.91,-1.2716825008392334,457100,-108.52352905273438,0.0824567973613739,0.03,14.579573154449463
193,411.32394874,3,23144,7575,188.13,-1.3861831426620483,460860,-113.45989990234375,0.07750549912452698,0.03,11.653810834884643
194,412.18887951,3,23347,7641,188.42,-1.18070387840271,464920,-113.8734130859375,0.07555491477251053,0.03,14.049317955970764
195,412.98110339,3,23545,7706,188.64,-0.974111020565033,468880,-114.56704711914062,0.06961437314748764,0.03,16.68407521247864
196,413.36249695999993,3,23741,7770,188.62,-0.22241953015327454,472800,-113.06253051757812,0.07913054525852203,0.03,13.449237728118897
197,413.69556692,3,23929,7831,188.51,1.488127589225769,476560,-112.27279663085938,0.06095065549015999,0.03,10.648205113410949
198,413.6224202599999,3,24123,7894,188.18,-1.6491570472717285,480440,-110.7239990234375,0.06619201600551605,0.03,9.789756488800048
199,413.82742220999995,3,24321,7958,188.16,1.038222312927246,484400,-117.08521270751953,0.06397806107997894,0.03,10.26371865272522
200,414.2224228399999,3,24519,8022,188.29,-0.6086366176605225,488360,-112.30941009521484,0.06842431426048279,0.03,13.13674476146698
201,414.71366519,3,24715,8086,188.41,3.683547019958496,492280,-114.25721740722656,0.05674533545970917,0.03,9.887524557113647
202,415.33053714999994,3,24915,8152,188.69,-0.4221905469894409,496280,-114.12901306152344,0.06323949992656708,0.03,11.172569870948792
203,416.2493124999999,3,25111,8218,189.0,-2.1222825050354004,500200,-115.85726165771484,0.06558442860841751,0.03,22.262859630584718
204,416.4955224099999,3,25305,8282,189.1,0.6129968762397766,504080,-116.80665588378906,0.0560438334941864,0.03,15.15221447944641
205,417.2240418199999,3,25496,8345,189.3,0.9890203475952148,507900,-111.90609741210938,0.06281555444002151,0.03,11.931922841072083
206,417.46154884,3,25696,8411,189.42,-0.09378311038017273,511900,-113.22418212890625,0.05765657499432564,0.03,8.976817870140076
207,417.63942316,3,25894,8475,189.46,0.514630913734436,515860,-113.65423583984375,0.060931798070669174,0.03,18.167097425460817
208,418.24731585,3,26089,8539,189.68,-0.06264299154281616,519760,-114.05877685546875,0.0670270100235939,0.03,11.703513383865356
209,419.16560150000004,3,26293,8605,190.14,-0.29245316982269287,523840,-117.96896362304688,0.05799553543329239,0.03,10.015146923065185
210,420.09261576999995,3,26487,8670,190.45,-0.47725340723991394,527720,-114.47747039794922,0.056102246046066284,0.03,11.299838519096374
211,420.3494933999999,3,26689,8736,190.57,0.9984331727027893,531760,-120.17294311523438,0.06088077276945114,0.03,10.711177492141724
212,421.3397657999999,3,26885,8800,190.89,-1.2433533668518066,535680,-108.84053802490234,0.07030774652957916,0.03,12.69279670715332
213,421.60871032999995,3,27079,8864,190.9,-1.635054588317871,539560,-111.86744689941406,0.06096022203564644,0.03,16.519331455230713
