time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/episodes,time/time_elapsed,train/ent_coef_loss,train/learning_rate,train/ent_coef,train/actor_loss,train/n_updates,train/critic_loss
81,20.0,17.125516,20,1,0,,,,,,
236,37.0,54.7738455,74,2,0,,,,,,
287,32.0,42.16134733333333,96,3,0,,,,,,
35,27.75,34.16940125,111,4,3,-0.030549729242920876,0.003,0.9868715405464172,-5.739185333251953,200,2.2198798179626467
23,26.4,31.174114199999998,132,5,5,-0.2264215648174286,0.003,0.9267167448997498,-11.441987991333008,620,0.2340724438428879
16,30.5,40.577983999999994,183,6,11,-0.5831271409988403,0.003,0.7951177954673767,-25.379411697387695,1640,0.4765594333410263
14,33.142857142857146,46.80518242857142,232,7,16,-0.6958565711975098,0.003,0.695688009262085,-38.49993896484375,2620,0.6595916256308556
13,33.375,48.354792,267,8,20,-0.959570050239563,0.003,0.6357463002204895,-48.814903259277344,3320,1.215175399184227
12,33.77777777777778,49.94764555555556,304,9,24,-0.8672763705253601,0.003,0.5789804458618164,-56.71227264404297,4060,1.4523186638951302
11,34.4,51.5098742,344,10,29,-1.0606744289398193,0.003,0.5281913876533508,-66.809814453125,4860,1.3252045452594756
11,36.0,54.79508345454546,396,11,34,-1.152374029159546,0.003,0.47048017382621765,-79.09038543701172,5900,5.373339933156967
10,40.5,66.94177191666667,486,12,44,-1.253119707107544,0.003,0.38511496782302856,-95.07843017578125,7700,1.4184041321277618
10,44.69230769230769,77.08968523076923,581,13,55,-1.4758388996124268,0.003,0.31429168581962585,-110.8451919555664,9600,1.084485074877739
10,47.5,84.70472664285715,665,14,64,-1.2539230585098267,0.003,0.27134039998054504,-122.88436889648438,11280,1.392065879702568
10,51.53333333333333,95.86385880000002,773,15,76,-1.9545822143554688,0.003,0.2154710441827774,-134.96701049804688,13440,5.874440383911133
9,55.875,108.80550400000001,894,16,89,-2.096956253051758,0.003,0.17084069550037384,-148.5756378173828,15860,1.1476839929819107
9,54.11764705882353,104.7466547647059,920,17,92,-0.37869173288345337,0.003,0.16284221410751343,-149.1370849609375,16380,7.369607624411583
9,54.388888888888886,104.6294583888889,979,18,98,-1.813628911972046,0.003,0.14853481948375702,-156.26885986328125,17560,2.8936770051717757
9,57.89473684210526,112.4166990526316,1100,19,112,-0.48363298177719116,0.003,0.13050425052642822,-169.6549530029297,19980,16.724780493974684
9,61.2,117.92961025000002,1224,20,125,1.4520790576934814,0.003,0.12809041142463684,-186.202392578125,22460,2.226622086763382
