rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/fps,time/episodes,train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef,train/ent_coef_loss,train/learning_rate
12.446967,0,35.0,35,125,1,,,,,,
5.618618000000001,0,24.5,49,166,2,,,,,,
3.0256693333333335,0,19.666666666666668,59,193,3,,,,,,
2.0252320000000004,0,19.5,78,242,4,,,,,,
1.0495742000000003,0,18.0,90,270,5,,,,,,
0.7025510000000003,3,19.166666666666668,115,33,6,280,74.78166198730469,147.09173164367675,1.3093912601470947,-4.026983737945557,0.03
1.164590285714286,5,19.0,133,24,7,640,137.49842834472656,378.78526000976564,2.080622911453247,-11.610410690307617,0.03
0.3292431250000001,6,17.875,143,21,8,840,192.73098754882812,628.8316955566406,2.6962060928344727,-14.302591323852539,0.03
0.7113661111111111,8,17.77777777777778,160,19,9,1180,48.65281677246094,30.94497776031494,3.2254135608673096,7.981446743011475,0.03
0.4029795,9,16.9,169,18,10,1360,27.678783416748047,27.1790620803833,3.0065839290618896,7.176423072814941,0.03
0.29094309090909093,10,16.272727272727273,179,17,11,1560,13.608861923217773,26.760047340393065,2.670717477798462,5.516958236694336,0.03
0.06005400000000002,11,15.666666666666666,188,16,12,1740,-1.437981367111206,30.194240379333497,2.3699612617492676,5.255048751831055,0.03
-0.07047446153846153,12,15.307692307692308,199,15,13,1960,-12.435773849487305,20.72904806137085,2.031812906265259,3.980795383453369,0.03
-0.2755245,13,14.928571428571429,209,15,14,2160,-19.497053146362305,18.845087337493897,1.7558473348617554,3.319589614868164,0.03
-0.33380826666666663,14,14.666666666666666,220,14,15,2380,-23.414705276489258,11.059605526924134,1.4744385480880737,2.4590916633605957,0.03
-0.3036446875000001,17,15.5625,249,13,16,2960,-25.582645416259766,4.764351809024811,0.8899948000907898,-0.6944059729576111,0.03
-0.3960738823529413,20,16.235294117647058,276,13,17,3500,-27.025646209716797,4.242901027202606,0.5555099844932556,-3.3096940517425537,0.03
-0.4350137777777779,23,16.555555555555557,298,12,18,3940,-27.17383575439453,3.0588000774383546,0.38711464405059814,-4.63552188873291,0.03
13.069509263157892,39,23.68421052631579,450,11,19,6980,-42.739009857177734,1.2138836920261382,0.1503400057554245,2.034440279006958,0.03
26.17334965,57,30.5,610,10,20,10180,-66.50970458984375,2.2545607507228853,0.11846932023763657,0.22446855902671814,0.03
42.70037571428571,83,40.76190476190476,856,10,21,15100,-98.75590515136719,5.522823941707611,0.11113908886909485,2.1219236850738525,0.03
51.06659218181819,97,44.95454545454545,989,10,22,17760,-110.85453796386719,14.751305937767029,0.15115103125572205,2.2665483951568604,0.03
48.42085382608696,104,45.869565217391305,1055,10,23,19080,-118.8629150390625,7.415298914909362,0.20267702639102936,-1.8732455968856812,0.03
45.70011445833334,117,48.875,1173,9,24,21440,-125.72160339355469,6.003237509727478,0.19590270519256592,0.24119889736175537,0.03
47.67701132000001,138,54.56,1364,9,25,25260,-122.2685775756836,8.156449389457702,0.1365157663822174,1.303800344467163,0.03
55.59341973076924,153,57.80769230769231,1503,9,26,28040,-137.526123046875,6.942706990242004,0.19626310467720032,2.624241590499878,0.03
59.30147629629631,183,65.88888888888889,1779,9,27,33560,-140.21826171875,16.86782751083374,0.19877713918685913,-0.8079943060874939,0.03
64.35593889285715,195,67.21428571428571,1882,9,28,35620,-154.00424194335938,13.791963195800781,0.21244186162948608,1.111425518989563,0.03
70.9309349310345,211,69.89655172413794,2027,9,29,38520,-154.19281005859375,17.228767919540406,0.18396854400634766,1.6028891801834106,0.03
75.6907692,225,71.4,2142,9,30,40820,-159.8751220703125,14.077608442306518,0.19439226388931274,-0.5562878847122192,0.03
87.37441645161292,260,79.29032258064517,2458,9,31,47140,-171.6488037109375,19.033999705314635,0.16892807185649872,1.698784351348877,0.03
93.005228375,277,81.625,2612,9,32,50220,-171.68115234375,16.49223608970642,0.19493159651756287,-1.5718477964401245,0.03
97.95573960606062,293,83.54545454545455,2757,9,33,53120,-165.69183349609375,16.491270542144775,0.15691444277763367,-1.296933889389038,0.03
105.32512691176471,316,87.3529411764706,2970,9,34,57380,-164.5955810546875,18.792891788482667,0.21091590821743011,-0.3309304416179657,0.03
111.0949824857143,336,90.0,3150,9,35,60980,-163.6138916015625,12.469384670257568,0.1597774177789688,-0.4796268343925476,0.03
117.99236455555557,360,93.55555555555556,3368,9,36,65340,-162.04237365722656,9.384693884849549,0.13132895529270172,0.7037487030029297,0.03
118.20933545945947,381,96.1891891891892,3559,9,37,69160,-163.33731079101562,10.134256625175476,0.13325560092926025,-0.10007396340370178,0.03
122.07055410526317,408,100.3157894736842,3812,9,38,74220,-154.4644775390625,13.380198955535889,0.15923945605754852,0.4052366018295288,0.03
132.85052792307692,467,111.61538461538461,4353,9,39,85040,-136.8180389404297,14.6048020362854,0.1641351878643036,-0.25015270709991455,0.03
135.011613,479,111.75,4470,9,40,87380,-133.04177856445312,11.675126361846925,0.16467006504535675,-1.1440691947937012,0.03
135.46428568292683,489,111.09756097560975,4555,9,41,89080,-133.90310668945312,12.992905426025391,0.1288505494594574,1.672421932220459,0.03
137.41270164285714,502,111.19047619047619,4670,9,42,91380,-130.69967651367188,12.696628427505493,0.16271744668483734,1.072979211807251,0.03
140.1813966511628,517,111.76744186046511,4806,9,43,94100,-131.7075653076172,11.666566753387452,0.145371675491333,0.17136041820049286,0.03
142.71658520454545,531,112.13636363636364,4934,9,44,96660,-122.80712127685547,13.044460582733155,0.15542614459991455,1.2532799243927002,0.03
145.8845992,548,113.06666666666666,5088,9,45,99740,-120.84991455078125,10.577762770652772,0.14130638539791107,-0.28501471877098083,0.03
149.01612204347828,565,113.97826086956522,5243,9,46,102840,-118.31303405761719,8.33297107219696,0.1248137503862381,1.1581521034240723,0.03
152.6454371276596,584,115.25531914893617,5417,9,47,106320,-118.80322265625,8.395998120307922,0.1404569149017334,0.5533866882324219,0.03
156.401612,606,117.04166666666667,5618,9,48,110340,-107.3173599243164,7.9119791984558105,0.1232994943857193,1.0301179885864258,0.03
163.02767424489795,639,120.75510204081633,5917,9,49,116320,-108.45379638671875,6.197640299797058,0.11968646943569183,0.7771027088165283,0.03
174.08477376,697,128.46,6423,9,50,126440,-115.48828887939453,6.91755211353302,0.09377696365118027,0.775277853012085,0.03
184.02902303921567,753,135.7058823529412,6921,9,51,136400,-116.10063171386719,5.5929909467697145,0.10398931801319122,0.7469873428344727,0.03
190.15827074999999,785,138.71153846153845,7213,9,52,142240,-119.1369857788086,5.459033083915711,0.09532895684242249,-0.35635673999786377,0.03
196.01711792452826,818,141.9056603773585,7521,9,53,148400,-112.85794067382812,5.173049473762513,0.10250121355056763,-1.5654770135879517,0.03
199.62017249999997,841,143.2962962962963,7738,9,54,152740,-116.38247680664062,4.428359770774842,0.09740059077739716,-1.4774303436279297,0.03
204.23237679999997,872,146.12727272727273,8037,9,55,158720,-118.1123046875,4.143620431423187,0.09557866305112839,-1.4337174892425537,0.03
206.25707642857145,893,147.01785714285714,8233,9,56,162640,-113.00099182128906,4.0224864959716795,0.09358008205890656,-1.3923451900482178,0.03
212.13990024561406,931,150.8421052631579,8598,9,57,169940,-112.89984130859375,4.174469304084778,0.08501458168029785,-1.0904912948608398,0.03
