rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,train/critic_loss,train/ent_coef_loss,train/ent_coef,train/actor_loss,train/learning_rate,train/n_updates
14.684768,1,0,40,167,40.0,,,,,,
4.7765685,2,0,53,207,26.5,,,,,,
3.6436879999999996,3,0,83,291,27.666666666666668,,,,,,
5.73991,4,3,111,34,27.75,119.23933029174805,-2.6945033073425293,1.181793212890625,62.443206787109375,0.03,200
2.884067,5,5,129,23,25.8,322.16247406005857,-11.504081726074219,1.8956153392791748,116.78536987304688,0.03,560
2.1377693333333334,6,6,137,21,22.833333333333332,497.5097457885742,-13.29929256439209,2.356509208679199,157.3597412109375,0.03,720
1.1444484285714285,7,7,145,19,20.714285714285715,759.3488189697266,-17.490760803222656,2.9250128269195557,195.8819580078125,0.03,880
0.7174787499999997,8,8,153,18,19.125,1135.8110046386719,-21.029115676879883,3.6297411918640137,242.32322692871094,0.03,1040
0.7994037777777776,9,9,167,17,18.555555555555557,107.8225154876709,6.927574634552002,4.912972927093506,78.47978210449219,0.03,1320
0.4409072999999998,10,10,174,16,17.4,105.27179641723633,9.290172576904297,5.010491371154785,46.43351745605469,0.03,1460
0.1910592727272725,11,11,182,15,16.545454545454547,92.58207740783692,8.628942489624023,4.827967643737793,23.731435775756836,0.03,1620
-0.012495250000000216,12,12,190,15,15.833333333333334,77.35168228149413,8.895353317260742,4.507448673248291,-1.1711487770080566,0.03,1780
-0.1613043846153848,13,13,197,15,15.153846153846153,80.83524303436279,8.842256546020508,4.179510116577148,-14.073115348815918,0.03,1920
-0.29138921428571446,14,14,205,14,14.642857142857142,53.532325744628906,8.249155044555664,3.7863833904266357,-26.754661560058594,0.03,2080
-0.21386740000000015,15,15,216,13,14.4,34.75306224822998,7.407402038574219,3.2541298866271973,-35.235496520996094,0.03,2300
-0.7227755624999999,16,17,237,13,14.8125,16.70984592437744,5.635575294494629,2.360774517059326,-44.125396728515625,0.03,2720
-1.1517073529411763,17,19,257,12,15.117647058823529,11.863099813461304,3.2031407356262207,1.7114830017089844,-50.33049774169922,0.03,3120
-0.8116700555555555,18,23,289,12,16.055555555555557,10.740479803085327,0.17906375229358673,1.0339829921722412,-56.61438751220703,0.03,3760
-0.9575947894736841,19,26,314,11,16.526315789473685,8.245605087280273,-1.6751971244812012,0.7069053649902344,-56.27024841308594,0.03,4260
11.982301150000001,20,71,716,10,35.8,1.5987706065177918,0.5673243999481201,0.052210696041584015,-80.66925048828125,0.03,12300
21.327632666666666,21,86,856,9,40.76190476190476,2.021639406681061,3.9097208976745605,0.10252083837985992,-88.87884521484375,0.03,15100
36.479422318181825,22,113,1080,9,49.09090909090909,4.32728226184845,-0.35502690076828003,0.12466850131750107,-109.19255065917969,0.03,19580
34.838303565217394,23,120,1141,9,49.608695652173914,5.056840097904205,-1.2294342517852783,0.10322438180446625,-112.11067199707031,0.03,20800
34.462188000000005,24,133,1257,9,52.375,4.176523768901825,1.4170598983764648,0.11471810191869736,-115.40931701660156,0.03,23120
40.86585448,25,146,1361,9,54.44,6.645860934257508,2.0435678958892822,0.14034052193164825,-121.94560241699219,0.03,25200
41.02447834615385,26,164,1527,9,58.73076923076923,6.090629434585571,1.1559944152832031,0.1612546145915985,-127.59815979003906,0.03,28520
40.602801925925924,27,179,1659,9,61.44444444444444,6.1113853931427,-0.3715353012084961,0.17865343391895294,-131.71450805664062,0.03,31160
48.76481453571429,28,203,1877,9,67.03571428571429,9.333919286727905,0.42634332180023193,0.17620541155338287,-133.10426330566406,0.03,35520
51.67603868965518,29,210,1947,9,67.13793103448276,5.724013090133667,-1.3445580005645752,0.17022804915905,-133.4839630126953,0.03,36920
50.41864853333334,30,218,2013,9,67.1,7.931493902206421,-1.3245413303375244,0.1507384479045868,-137.01263427734375,0.03,38240
57.977787064516136,31,237,2185,9,70.48387096774194,5.922308015823364,0.5958812236785889,0.1878751814365387,-142.544921875,0.03,41680
64.13925659375,32,252,2318,9,72.4375,7.746591925621033,0.2891963720321655,0.2073260396718979,-145.2792205810547,0.03,44340
70.86651154545454,33,268,2468,9,74.78787878787878,11.366851425170898,0.06273433566093445,0.16026487946510315,-148.57479858398438,0.03,47340
77.8528749117647,34,285,2629,9,77.32352941176471,8.298318147659302,0.2379138022661209,0.14687488973140717,-153.69601440429688,0.03,50560
86.8686508,35,306,2816,9,80.45714285714286,9.95741901397705,0.7626977562904358,0.14645634591579437,-155.11264038085938,0.03,54300
94.89201702777777,36,325,2991,9,83.08333333333333,9.540601110458374,-0.4607110917568207,0.1643252819776535,-160.08950805664062,0.03,57800
100.99050275675675,37,342,3149,9,85.10810810810811,13.341246604919434,-0.5835999250411987,0.16181400418281555,-161.2545623779297,0.03,60960
107.59079144736842,38,360,3316,9,87.26315789473684,11.412339234352112,0.15076029300689697,0.17508581280708313,-165.69091796875,0.03,64300
112.10908535897434,39,380,3497,9,89.66666666666667,12.496197843551636,-0.3767988681793213,0.17080050706863403,-172.76490783691406,0.03,67920
114.95872142500002,40,393,3614,9,90.35,15.092580270767211,-0.36360636353492737,0.1960565745830536,-168.58868408203125,0.03,70260
118.29040782926832,41,406,3728,9,90.92682926829268,14.236243104934692,1.1851022243499756,0.17768971621990204,-172.93075561523438,0.03,72540
123.47964038095242,42,427,3911,9,93.11904761904762,13.135592174530029,-1.3938701152801514,0.21604669094085693,-178.0349578857422,0.03,76200
128.5367854186047,43,447,4092,9,95.16279069767442,11.751267910003662,0.8704159259796143,0.16460354626178741,-180.82025146484375,0.03,79820
