time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/fps,time/total_timesteps,rollout/ep_len_mean,train/actor_loss,train/n_updates,train/ent_coef_loss,train/learning_rate,train/critic_loss,train/ent_coef
0,1,24.588811,185,35,35.0,,,,,,
0,2,15.5593915,227,46,23.0,,,,,,
0,3,14.853446333333332,319,75,25.0,,,,,,
0,4,15.0439815,368,94,23.5,,,,,,
4,5,13.889265999999997,23,109,21.8,-4.491252899169922,160,-0.020276527851819992,0.003,4.348300814628601,0.992652952671051
22,6,21.254337333333332,7,160,26.666666666666668,-15.434137344360352,1180,-0.42999839782714844,0.003,1.346098577976227,0.8542155623435974
42,7,32.78047057142857,5,216,30.857142857142858,-27.75583839416504,2300,-0.8121103644371033,0.003,1.9792918980121612,0.7274373769760132
67,8,40.590963625,4,286,35.75,-43.05655288696289,3700,-1.0420515537261963,0.003,2.7924758315086367,0.6046677231788635
89,9,48.17860277777778,3,345,38.333333333333336,-54.11964797973633,4880,-0.9036365151405334,0.003,3.6054474771022798,0.5234735608100891
121,10,62.3683771,3,431,43.1,-72.93312072753906,6600,-1.2403790950775146,0.003,5.191533726453781,0.43173980712890625
150,11,72.85876990909091,3,513,46.63636363636363,-86.10655975341797,8240,-1.4947283267974854,0.003,6.794524335861206,0.36300182342529297
185,12,83.03439633333333,3,609,50.75,-97.32626342773438,10160,-0.8396373391151428,0.003,13.547443342208862,0.31053200364112854
204,13,83.85472446153845,3,661,50.84615384615385,-102.4736328125,11200,-1.0708050727844238,0.003,12.089425611495972,0.28833141922950745
214,14,81.12217185714285,3,688,49.142857142857146,-106.20486450195312,11740,-0.6783682703971863,0.003,10.348032641410828,0.2772911787033081
245,15,87.16734046666666,3,776,51.733333333333334,-109.85568237304688,13500,-1.016470193862915,0.003,15.04920835494995,0.24918784201145172
273,16,91.0866236875,3,855,53.4375,-112.54821014404297,15080,-0.5433233380317688,0.003,15.336597013473511,0.2313954383134842
299,17,93.76727805882354,3,928,54.588235294117645,-115.4923095703125,16540,-0.6598924398422241,0.003,16.029471850395204,0.21114930510520935
312,18,91.87127366666667,3,964,53.55555555555556,-116.15585327148438,17260,-1.1237233877182007,0.003,14.70903022289276,0.20118451118469238
