rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_len_mean,train/n_updates,train/ent_coef,train/critic_loss,train/ent_coef_loss,train/learning_rate,train/actor_loss
-0.5908,145,0,11,1,11.0,,,,,,
-2.8422795,290,0,26,2,13.0,,,,,,
-1.787447,467,0,54,3,18.0,,,,,,
-1.6571764999999998,559,0,77,4,19.25,,,,,,
-1.125457,591,0,89,5,17.8,,,,,,
-0.9462651666666666,48,2,106,6,17.666666666666668,100,1.032994270324707,733.1451690673828,-0.6801561117172241,0.03,55.638893127441406
-1.5738971428571429,21,5,116,7,16.571428571428573,300,1.327912449836731,738.9904937744141,-4.278814792633057,0.03,74.04146575927734
-1.8074635,11,11,134,8,16.75,660,2.115797758102417,1959.2383605957032,-11.049102783203125,0.03,137.95263671875
-1.8028707777777777,9,14,143,9,15.88888888888889,840,2.687277317047119,3306.067834472656,-15.780165672302246,0.03,185.39987182617188
-1.8022668,8,17,152,10,15.2,1020,3.443981647491455,4829.668969726563,-16.777374267578125,0.03,224.71929931640625
-2.0161597272727274,7,20,160,11,14.545454545454545,1180,4.046217441558838,432.9496826171875,7.675728797912598,0.03,71.10252380371094
-2.1483034166666664,7,22,166,12,13.833333333333334,1300,4.179291725158691,566.7812530517579,6.497340202331543,0.03,58.20155334472656
-2.302063846153846,7,24,173,13,13.307692307692308,1440,4.1429219245910645,430.93644256591796,7.308475494384766,0.03,39.63059997558594
-2.2602425,6,27,182,14,13.0,1620,3.9093527793884277,309.0577476501465,7.121351718902588,0.03,15.569995880126953
-2.0266570666666666,6,31,193,15,12.866666666666667,1840,3.493720293045044,240.64158325195314,6.914743900299072,0.03,-6.78336763381958
-2.1310719375,5,33,201,16,12.5625,2000,3.163849115371704,191.14782333374023,6.121739387512207,0.03,-15.043523788452148
-2.1271764705882354,5,36,209,17,12.294117647058824,2160,2.8394696712493896,152.39020309448242,6.57480525970459,0.03,-19.989303588867188
-2.1263486111111107,5,39,219,18,12.166666666666666,2360,2.4437592029571533,81.78542709350586,5.621030807495117,0.03,-24.84160804748535
-1.8163674736842104,5,46,240,19,12.631578947368421,2780,1.7068160772323608,40.128472328186035,3.583531379699707,0.03,-26.406015396118164
-1.817353,4,57,271,20,13.55,3400,0.9511620402336121,17.804083108901978,-0.305247962474823,0.03,-22.741125106811523
-4.55908880952381,3,115,444,21,21.142857142857142,6860,0.17595230042934418,12.934230089187622,-3.418045997619629,0.03,-10.916193008422852
-4.248189,3,145,535,22,24.318181818181817,8680,0.14279134571552277,11.154306602478027,-2.1873204708099365,0.03,-1.6380952596664429
