time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,train/learning_rate,train/ent_coef,train/critic_loss,train/n_updates,train/ent_coef_loss,train/actor_loss
63,12,0,9.063054,1,12.0,,,,,,
129,26,0,11.096145499999999,2,13.0,,,,,,
219,49,0,15.629292333333332,3,16.333333333333332,,,,,,
275,66,0,14.771802999999998,4,16.5,,,,,,
346,91,0,15.578348799999997,5,18.2,,,,,,
46,105,2,14.988591499999998,6,17.5,0.003,0.9938364028930664,1.2900703996419907,80,-0.004473230801522732,-2.265429973602295
19,157,7,24.020736285714285,7,22.428571428571427,0.003,0.8489298224449158,0.2792195163667202,1120,-0.4457240402698517,-19.346975326538086
12,305,24,42.658433125,8,38.125,0.003,0.5465070605278015,1.133060048520565,4080,-1.4666975736618042,-51.410194396972656
11,345,28,45.38016088888889,9,38.333333333333336,0.003,0.4936751127243042,3.093331754207611,4880,-1.5217981338500977,-58.35350799560547
11,374,32,45.7153165,10,37.4,0.003,0.4605828821659088,0.2952502653002739,5460,-1.5107406377792358,-65.02958679199219
11,408,35,46.628021545454544,11,37.09090909090909,0.003,0.4236580729484558,0.9893069326877594,6140,-1.627336025238037,-72.1275405883789
11,434,39,46.36396366666667,12,36.166666666666664,0.003,0.39967289566993713,2.860311621427536,6660,-1.5826408863067627,-77.10153198242188
10,460,41,46.16799269230769,13,35.38461538461539,0.003,0.3789708912372589,3.3226821601390837,7180,-1.4897023439407349,-81.03557586669922
10,536,50,52.491915428571424,14,38.285714285714285,0.003,0.3350517749786377,1.4019036382436751,8700,-0.7831006050109863,-89.6429443359375
10,620,59,57.40559986666666,15,41.333333333333336,0.003,0.2952567934989929,0.5542708680033683,10380,-0.6730355024337769,-100.96271514892578
10,728,72,65.65201243749999,16,45.5,0.003,0.24086767435073853,0.6805691719055176,12540,-0.5267359018325806,-109.72592163085938
10,767,76,65.5295418235294,17,45.11764705882353,0.003,0.2279280126094818,3.5211867660284044,13320,-1.1518614292144775,-113.27656555175781
9,830,83,67.47957588888887,18,46.111111111111114,0.003,0.2112436294555664,2.2155157953500746,14580,-0.6508423089981079,-117.54550170898438
9,884,89,68.28649242105261,19,46.526315789473685,0.003,0.19776155054569244,0.6695290699601173,15660,-0.8353708386421204,-123.07528686523438
9,977,100,72.4956582,20,48.85,0.003,0.17936542630195618,0.900763550400734,17520,-1.9733494520187378,-128.42416381835938
9,1060,109,75.87534195238095,21,50.476190476190474,0.003,0.15584401786327362,4.695131924748421,19180,-1.3171213865280151,-130.43930053710938
9,1092,112,74.83461918181818,22,49.63636363636363,0.003,0.15213949978351593,1.8615739732980727,19820,-0.4272004961967468,-132.40907287597656
9,1180,122,78.40214152173913,23,51.30434782608695,0.003,0.13275934755802155,1.7982047259807588,21580,-1.3432512283325195,-135.33319091796875
9,1290,134,83.18849116666667,24,53.75,0.003,0.12842415273189545,2.5860416859388353,23780,-0.5618962645530701,-140.6658477783203
9,1401,147,87.5332938,25,56.04,0.003,0.10887186974287033,0.9302272945642471,26000,-2.3209969997406006,-145.47335815429688
9,1505,158,91.14362342307692,26,57.88461538461539,0.003,0.09170068055391312,2.5576847046613693,28080,-0.7001716494560242,-149.07345581054688
9,1576,166,92.37009766666667,27,58.370370370370374,0.003,0.08803638070821762,8.21931820511818,29500,0.4170406758785248,-151.98611450195312
9,1635,173,92.74697074999999,28,58.392857142857146,0.003,0.0847279354929924,4.660282623767853,30680,-0.9329080581665039,-153.71421813964844
9,1701,181,93.51099041379311,29,58.6551724137931,0.003,0.08598390221595764,1.950967213511467,32000,1.2829620838165283,-155.736083984375
9,1777,189,94.83643416666668,30,59.233333333333334,0.003,0.08402407914400101,6.495526492595673,33520,-0.3069119155406952,-159.94940185546875
9,1870,200,96.65185103225807,31,60.32258064516129,0.003,0.09715775400400162,10.564080494642258,35380,-1.9122686386108398,-163.47732543945312
9,1975,211,99.6357688125,32,61.71875,0.003,0.10552486777305603,12.786292600631715,37480,0.8917044401168823,-166.12306213378906
9,2097,225,102.98945051515152,33,63.54545454545455,0.003,0.131488636136055,13.321713304519653,39920,1.1291823387145996,-172.01406860351562
9,2216,239,106.13674305882353,34,65.17647058823529,0.003,0.12705206871032715,10.218786454200744,42300,-0.05946832895278931,-176.14117431640625
9,2341,253,109.02257708571429,35,66.88571428571429,0.003,0.1338903158903122,4.956307339668274,44800,0.4261183738708496,-179.2986602783203
9,2448,265,111.42258447222223,36,68.0,0.003,0.12095174193382263,4.273657649755478,46940,-1.2457568645477295,-185.02476501464844
9,2544,275,113.14616916216215,37,68.75675675675676,0.003,0.10496983677148819,5.968747246265411,48860,1.0335789918899536,-188.73663330078125
