time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,time/fps,train/actor_loss,train/ent_coef,train/learning_rate,train/n_updates,train/ent_coef_loss,train/critic_loss
0,18,7.298345,18.0,1,373,,,,,,
0,39,4.528147000000001,19.5,2,692,,,,,,
0,67,2.979816666666667,22.333333333333332,3,1002,,,,,,
0,81,2.5970867500000003,20.25,4,1125,,,,,,
4,111,3.1940108,22.2,5,25,-6.4190857887268065,0.5670497626066208,0.003,200,-3.9376745581626893,0.14852617010474206
46,214,8.958874333333334,35.666666666666664,6,4,-16.78591718673706,0.12472142241895198,0.003,2260,-0.17478302791714667,0.14684426598250866
152,481,8.704952857142858,68.71428571428571,7,3,-44.09019012451172,0.26822125911712646,0.003,7600,0.10548954755067826,0.6238194227218627
184,559,6.165624500000001,69.875,8,3,-55.36407814025879,0.3142846986651421,0.003,9160,0.037643585726618765,1.1802730947732925
199,600,7.60011188888889,66.66666666666667,9,3,-64.22887382507324,0.3497226148843765,0.003,9980,0.15355439595878123,1.5417130649089814
216,642,6.586246700000001,64.2,10,2,-72.10801124572754,0.3510314881801605,0.003,10820,0.00033598914742469785,2.300269287824631
392,1095,52.811586545454546,99.54545454545455,11,2,-170.15499725341797,0.7121456325054168,0.003,19880,0.03513272951822728,6.282405495643616
423,1176,47.79915025,98.0,12,2,-198.85618362426757,0.7488853961229325,0.003,21500,-0.03922980185598135,11.23642077445984
487,1343,43.56929915384615,103.3076923076923,13,2,-251.20794372558595,0.9881240874528885,0.003,24840,0.0010264884782372973,14.134507179260254
542,1485,40.48548278571428,106.07142857142857,14,2,-282.00426788330077,1.0629146337509154,0.003,27680,-0.0020049349404871464,21.41515169143677
620,1687,43.66303993333333,112.46666666666667,15,2,-347.0091918945312,1.1981420159339904,0.003,31720,-9.512475226074457e-05,31.93904228210449
636,1727,41.7927478125,107.9375,16,2,-360.3931396484375,1.217820280790329,0.003,32520,0.01600007275119424,40.311634635925294
