time/episodes,rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/critic_loss,train/ent_coef_loss,train/ent_coef,train/learning_rate,train/actor_loss
97,10.175749958762887,2367,2,24.4020618556701,835,45320,10.120260429382324,1.0818299055099487,0.058955833315849304,0.03,-9.454262733459473
98,10.103464204081632,2379,2,24.275510204081634,839,45560,15.209276795387268,0.9656649827957153,0.06103047356009483,0.03,-10.626376152038574
99,10.040128696969697,2393,2,24.171717171717173,844,45840,13.48624005317688,0.6016831398010254,0.06172418221831322,0.03,-7.651062488555908
100,12.81899757,2542,2,25.42,899,48820,10.567149782180786,-0.17619240283966064,0.06787455826997757,0.03,-19.74586296081543
101,12.916730869999999,2560,2,25.48,905,49180,39.3684061050415,-0.5994116067886353,0.06656727194786072,0.03,-7.253150939941406
102,15.7044812,2705,2,26.76,958,52080,17.36306438446045,1.6552847623825073,0.0820101723074913,0.03,-17.492328643798828
103,18.398979300000004,2841,2,27.96,1007,54800,18.57617073059082,-1.3379802703857422,0.07342687994241714,0.03,-15.485403060913086
104,21.23092112,2995,2,29.4,1063,57880,15.52711262702942,-0.6833746433258057,0.07170430570840836,0.03,-14.052989959716797
105,21.32976815,3013,2,29.49,1070,58240,18.762733268737794,-1.257333517074585,0.06402517855167389,0.03,-15.393458366394043
106,21.373214499999996,3030,2,29.52,1076,58580,17.248560190200806,0.0897592306137085,0.06274879723787308,0.03,-11.908252716064453
107,21.468282340000005,3045,2,29.44,1082,58880,22.616038370132447,-1.501618504524231,0.06297191977500916,0.03,-18.583953857421875
108,21.536085630000002,3061,2,29.39,1087,59200,17.119288301467897,-2.141166925430298,0.059799160808324814,0.03,-9.918936729431152
109,21.6822227,3082,2,29.53,1095,59620,19.557733297348022,3.6282925605773926,0.058566462248563766,0.03,-16.911209106445312
110,21.80235527,3101,2,29.64,1102,60000,30.53248209953308,-0.21599525213241577,0.06708080321550369,0.03,-12.764860153198242
111,22.2177043,3149,2,30.03,1119,60960,46.746746158599855,-2.487015962600708,0.06597929447889328,0.03,-16.59406280517578
112,22.85933712,3218,2,30.64,1144,62340,18.192668390274047,0.5274587869644165,0.048526566475629807,0.03,-15.1984224319458
113,22.97162957,3234,2,30.74,1150,62660,14.324973487854004,0.18677981197834015,0.05335253104567528,0.03,-11.019347190856934
114,25.648699370000003,3383,2,32.13,1204,65640,17.660817527770995,0.8385539054870605,0.07908608764410019,0.03,-8.716198921203613
115,29.30089626,3613,2,34.37,1286,70240,39.056467628479005,3.396191120147705,0.06274627894163132,0.03,1.7253330945968628
116,32.72128134,3830,2,36.46,1364,74580,13.561683344841004,-3.097224235534668,0.03957368806004524,0.03,-2.6423940658569336
117,36.517800009999995,4076,2,38.83,1453,79500,9.256095051765442,1.3343971967697144,0.04076113551855087,0.03,-3.995842456817627
118,40.07896315,4281,2,40.8,1527,83600,10.82534854412079,2.1251420974731445,0.06211414933204651,0.03,-7.758752822875977
119,43.298551790000005,4453,2,42.44,1588,87040,15.146972751617431,0.03175198286771774,0.0976395383477211,0.03,-11.928786277770996
120,47.19893806,4693,2,44.76,1674,91840,17.186184024810792,-0.8562567234039307,0.11464197933673859,0.03,-13.021469116210938
121,50.395762770000005,4868,2,46.43,1738,95340,17.233884191513063,-0.6077948212623596,0.12642136216163635,0.03,-15.675273895263672
122,53.72331292,5049,2,48.04,1803,98960,19.72187967300415,1.526900053024292,0.1334649920463562,0.03,-19.561872482299805
