time/time_elapsed,rollout/ep_len_mean,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/episodes,train/actor_loss,train/n_updates,train/ent_coef_loss,train/critic_loss,train/ent_coef,train/learning_rate
0,12.0,46,12,3.182906,1,,,,,,
0,18.0,124,36,1.1353405,2,,,,,,
0,26.333333333333332,231,79,3.4254623333333334,3,,,,,,
0,23.75,263,95,2.73507725,4,,,,,,
7,23.4,16,117,3.0461126,5,79.74002838134766,320,-5.056371688842773,778.13271484375,1.3768585920333862,0.03
11,21.666666666666668,11,130,2.2288048333333332,6,128.2020263671875,580,-10.509869575500488,1622.251239013672,1.9250320196151733,0.03
19,22.0,7,154,1.767316857142857,7,272.9970703125,1060,-20.32381820678711,5590.95380859375,3.602473258972168,0.03
23,20.875,6,167,1.831124875,8,89.98301696777344,1320,9.565670013427734,252.50410690307618,4.246013164520264,0.03
26,19.333333333333332,6,174,1.3533205555555556,9,74.83543395996094,1460,8.430655479431152,326.42824630737306,4.123042106628418,0.03
28,18.1,6,181,0.9373324000000001,10,58.048187255859375,1600,7.9851484298706055,312.5411407470703,3.8784000873565674,0.03
31,17.181818181818183,6,189,0.6651972727272728,11,39.9605827331543,1760,6.53525972366333,346.45575561523435,3.556520700454712,0.03
33,16.333333333333332,5,196,0.32017383333333344,12,23.21002960205078,1900,5.6857757568359375,302.3494102478027,3.285219430923462,0.03
35,15.538461538461538,5,202,0.014674461538461627,13,15.273700714111328,2020,6.2385759353637695,346.63368835449216,3.066898822784424,0.03
37,14.857142857142858,5,208,-0.25188785714285705,14,2.526456832885742,2140,5.434423446655273,255.81196365356445,2.8562991619110107,0.03
40,14.333333333333334,5,215,-0.4996390666666665,15,-5.323713779449463,2280,5.002744674682617,193.346036529541,2.617490291595459,0.03
44,14.125,5,226,-0.5596873124999999,16,-11.058361053466797,2500,4.641791343688965,165.9715446472168,2.2531838417053223,0.03
49,14.235294117647058,4,242,-0.6078605882352941,17,-15.620573043823242,2820,3.635023832321167,84.3891788482666,1.7586419582366943,0.03
56,14.61111111111111,4,263,-0.8053715,18,-14.562845230102539,3240,1.29811429977417,29.31912488937378,1.210768461227417,0.03
66,15.368421052631579,4,292,-0.301688947368421,19,-12.448385238647461,3820,-2.4533653259277344,11.685696935653686,0.6877202391624451,0.03
73,15.7,4,314,-0.5907427999999999,20,-10.108955383300781,4260,-5.040346145629883,8.176185584068298,0.4465293884277344,0.03
80,15.857142857142858,4,333,-0.9957559999999999,21,-8.539950370788574,4640,-6.80216121673584,7.520041394233703,0.3099594712257385,0.03
85,15.818181818181818,4,348,-1.4264687272727272,22,-5.895866394042969,4940,-7.892141342163086,7.205022072792053,0.23438133299350739,0.03
111,18.47826086956522,3,425,-0.8893772608695653,23,0.4278770983219147,6480,-4.838428497314453,8.026288151741028,0.09561959654092789,0.03
132,20.375,3,489,-1.2939150416666665,24,6.400663375854492,7760,-3.3765769004821777,9.786798429489135,0.06822674721479416,0.03
144,20.96,3,524,-1.4945434,25,5.671330451965332,8460,-0.10243020951747894,4.400291967391968,0.06327231973409653,0.03
153,21.23076923076923,3,552,-1.737829923076923,26,5.034849166870117,9020,-6.107787132263184,2.551835614442825,0.05851054936647415,0.03
159,21.11111111111111,3,570,-1.6652995555555554,27,5.237878799438477,9380,-5.832740783691406,1.707135307788849,0.051304303109645844,0.03
162,20.714285714285715,3,580,-1.5862607499999999,28,5.000792980194092,9580,-7.269321441650391,1.5085481405258179,0.04825218394398689,0.03
165,20.310344827586206,3,589,-1.531348,29,4.689093112945557,9760,-3.9743685722351074,1.1077181547880173,0.045350030064582825,0.03
168,19.933333333333334,3,598,-1.5057578333333335,30,4.614336013793945,9940,-6.1827874183654785,0.9318474918603897,0.042261846363544464,0.03
171,19.548387096774192,3,606,-1.4770507741935486,31,4.723382472991943,10100,-5.005291938781738,0.8420038342475891,0.039388325065374374,0.03
173,19.1875,3,614,-1.46264546875,32,4.531593322753906,10260,-8.921348571777344,0.835233497619629,0.036641016602516174,0.03
176,18.90909090909091,3,624,-1.3987304545454544,33,4.472980976104736,10460,-8.148049354553223,0.7161343485116959,0.0328386016190052,0.03
182,18.823529411764707,3,640,-1.1668970588235295,34,4.330840587615967,10780,-3.0715174674987793,0.6986763417720795,0.027995487675070763,0.03
190,19.057142857142857,3,667,-0.860383,35,4.0687785148620605,11320,-1.370067834854126,0.7940267622470856,0.024667302146553993,0.03
195,18.944444444444443,3,682,-0.6927953055555556,36,3.826317310333252,11620,1.3570926189422607,0.891535896062851,0.02382751926779747,0.03
242,22.27027027027027,3,824,6.384719648648648,37,-3.53497052192688,14460,2.3318591117858887,1.2753200948238372,0.050128817558288574,0.03
321,28.026315789473685,3,1065,15.329725131578948,38,-17.385316848754883,19280,-0.6925662755966187,5.240641188621521,0.09557444602251053,0.03
425,35.23076923076923,3,1374,20.662408974358975,39,-22.103883743286133,25460,1.0682276487350464,7.974828672409058,0.1086227297782898,0.03
491,39.275,3,1571,28.108221725,40,-28.576908111572266,29400,-0.4535852074623108,12.292817234992981,0.11917108297348022,0.03
541,42.073170731707314,3,1725,34.11412229268292,41,-33.64018630981445,32480,0.37227579951286316,14.817121601104736,0.10749121010303497,0.03
593,44.833333333333336,3,1883,40.0689493095238,42,-33.88867950439453,35640,-1.5763444900512695,14.739672327041626,0.10526275634765625,0.03
669,49.116279069767444,3,2112,47.871030534883715,43,-40.79682159423828,40220,-0.574364960193634,18.610460138320924,0.11774333566427231,0.03
713,51.06818181818182,3,2247,52.50577620454545,44,-40.48252868652344,42920,0.2715635895729065,29.1750207901001,0.12293583899736404,0.03
764,53.31111111111111,3,2399,57.314048355555556,45,-26.529621124267578,45960,-1.9552068710327148,23.765785789489748,0.10199945420026779,0.03
825,56.108695652173914,3,2581,62.609116891304346,46,-29.058300018310547,49600,-0.6641294956207275,35.20018854141235,0.13642261922359467,0.03
872,58.0,3,2726,66.90302012765957,47,-23.403240203857422,52500,1.1681568622589111,31.416832447052002,0.14919304847717285,0.03
920,59.875,3,2874,71.04722397916667,48,-20.6846923828125,55460,1.0746420621871948,20.32550730705261,0.09108173102140427,0.03
969,61.734693877551024,3,3025,75.09784648979593,49,-21.287906646728516,58480,0.8848993182182312,10.655308413505555,0.06810186058282852,0.03
1015,63.36,3,3168,78.81528086,50,-28.655773162841797,61340,1.9677082300186157,8.86800832748413,0.07313255965709686,0.03
1070,65.33333333333333,3,3332,82.8823090392157,51,-36.00196838378906,64620,-0.04656113684177399,8.056310987472534,0.08056643605232239,0.03
1125,67.3076923076923,3,3500,86.88092913461539,52,-37.980079650878906,67980,-0.17537277936935425,10.229251623153687,0.08305450528860092,0.03
1187,69.58490566037736,3,3688,91.12949347169813,53,-44.58404541015625,71740,1.1656768321990967,11.249835968017578,0.10073280334472656,0.03
1234,70.96296296296296,3,3832,94.33981972222224,54,-46.26013946533203,74620,0.21021443605422974,11.420945930480958,0.10442206263542175,0.03
1284,72.38181818181818,3,3981,97.59411216363638,55,-48.99181365966797,77600,0.6477973461151123,10.836076807975768,0.09452735632658005,0.03
1334,73.78571428571429,3,4132,100.75679928571428,56,-49.925865173339844,80620,1.4043359756469727,10.163664150238038,0.08939014375209808,0.03
1383,75.10526315789474,3,4281,103.7469604385965,57,-52.49238586425781,83600,-1.0462619066238403,11.780554032325744,0.0899316817522049,0.03
1432,76.36206896551724,3,4429,106.65348327586207,58,-55.34636688232422,86560,-1.0702396631240845,9.844615912437439,0.0857672169804573,0.03
1480,77.61016949152543,3,4579,109.45710815254238,59,-64.24870300292969,89560,-1.1034237146377563,9.50182147026062,0.09275268763303757,0.03
1528,78.78333333333333,3,4727,112.21578849999999,60,-61.152793884277344,92520,-0.4427545666694641,7.181450271606446,0.07577059417963028,0.03
1577,79.95081967213115,3,4877,114.97454842622949,61,-59.754150390625,95520,1.3142344951629639,10.192141222953797,0.07766377925872803,0.03
1625,81.03225806451613,3,5024,117.56881372580645,62,-61.68842315673828,98460,-0.6826685667037964,6.399969530105591,0.07283193618059158,0.03
1677,82.22222222222223,3,5180,120.42081852380952,63,-60.31221008300781,101580,-0.43147045373916626,8.264718604087829,0.07953175902366638,0.03
1731,83.5,3,5344,123.47004176562498,64,-57.955299377441406,104860,0.10853001475334167,8.77017958164215,0.08180982619524002,0.03
1783,84.64615384615385,3,5502,126.42216367692305,65,-61.731895446777344,108020,-0.49341079592704773,7.624744892120361,0.07509533315896988,0.03
1840,86.04545454545455,3,5679,130.09120872727271,66,-63.145442962646484,111560,0.43721193075180054,10.726534676551818,0.08194392174482346,0.03
1894,87.25373134328358,3,5846,133.04648313432835,67,-67.99888610839844,114900,-1.4122480154037476,16.773511171340942,0.09445236623287201,0.03
1946,88.29411764705883,3,6004,135.52755694117647,68,-64.1051025390625,118060,-0.6780157089233398,12.434848403930664,0.08783472329378128,0.03
1993,89.10144927536231,3,6148,137.3959803188406,69,-67.37371826171875,120940,-0.03445708751678467,22.778297567367552,0.08666369318962097,0.03
2040,89.9,3,6293,139.23329312857143,70,-64.82796478271484,123840,0.1856679916381836,7.864732885360718,0.07139604538679123,0.03
2090,90.80281690140845,3,6447,141.4149474084507,71,-64.78990173339844,126920,-0.23880769312381744,7.428615641593933,0.07676909118890762,0.03
2145,91.83333333333333,3,6612,144.03272405555558,72,-66.9677505493164,130220,-0.1459226906299591,9.395758795738221,0.07056669145822525,0.03
2196,92.73972602739725,3,6770,146.2743445753425,73,-65.98129272460938,133380,1.3344907760620117,10.946760606765746,0.08580461144447327,0.03
2246,93.54054054054055,3,6922,148.16553551351353,74,-62.42286682128906,136420,1.50679349899292,10.59764335155487,0.07287342846393585,0.03
2297,94.37333333333333,3,7078,150.1052828,75,-63.63692092895508,139540,1.887715220451355,9.903611159324646,0.06431740522384644,0.03
2347,95.09210526315789,3,7227,151.85866239473685,76,-66.80831909179688,142520,1.4376492500305176,7.323019075393677,0.07354684174060822,0.03
