rollout/ep_len_mean,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/episodes,train/learning_rate,train/critic_loss,train/ent_coef,train/actor_loss,train/ent_coef_loss,train/n_updates
25.0,25,155,0,5.298271,1,,,,,,
20.5,41,224,0,3.7398305,2,,,,,,
18.0,54,273,0,3.5988900000000004,3,,,,,,
18.25,73,335,0,0.9627905000000001,4,,,,,,
17.4,87,375,0,1.533755,5,,,,,,
17.666666666666668,106,14,7,2.4945765,6,0.03,531.8563186645508,1.035064697265625,45.40865707397461,-0.6160268783569336,100
17.428571428571427,122,4,27,1.8570268571428572,7,0.03,721.9681030273438,1.4752470254898071,65.80329895019531,-3.57627534866333,420
16.625,133,3,41,1.4913706249999998,8,0.03,1103.6441192626953,1.8624030351638794,90.31300354003906,-5.606684684753418,640
15.777777777777779,142,2,52,0.7525048888888888,9,0.03,1718.5969665527343,2.270847797393799,111.75088500976562,-7.999590873718262,820
15.0,150,2,63,0.3139400999999999,10,0.03,2409.64072265625,2.7280209064483643,149.76132202148438,-10.125875473022461,980
14.636363636363637,161,2,76,0.09846999999999992,11,0.03,4145.621545410157,3.5616354942321777,188.06666564941406,-12.822820663452148,1200
14.666666666666666,176,1,96,0.4199823333333333,12,0.03,8958.580737304688,5.220231056213379,262.085693359375,-17.5137996673584,1500
14.153846153846153,184,1,106,0.2452904615384615,13,0.03,5956.999865722656,6.406342506408691,154.69161987304688,10.533917427062988,1660
13.785714285714286,193,1,118,0.22142814285714282,14,0.03,803.9272842407227,6.911562442779541,90.68270874023438,12.071443557739258,1840
13.666666666666666,205,1,134,0.06134906666666664,15,0.03,722.1208099365234,6.272867202758789,66.1121597290039,11.379420280456543,2080
13.3125,213,1,144,-0.100324,16,0.03,743.828500366211,5.593856334686279,39.60365295410156,10.43891716003418,2240
12.941176470588236,220,1,153,-0.2808073529411765,17,0.03,644.4904998779297,4.9914727210998535,22.416915893554688,9.512458801269531,2380
12.555555555555555,226,1,160,-0.42812261111111105,18,0.03,692.942172241211,4.511353969573975,6.873108386993408,8.867012977600098,2500
12.31578947368421,234,1,171,-0.5202116315789473,19,0.03,543.732502746582,3.935580015182495,-8.824055671691895,6.534608840942383,2660
12.05,241,1,180,-0.63591895,20,0.03,513.3674728393555,3.5016591548919678,-14.084321975708008,7.363457679748535,2800
11.904761904761905,250,1,191,-0.6647525714285714,21,0.03,213.37235107421876,2.990680456161499,-24.205331802368164,6.07829475402832,2980
12.409090909090908,273,1,220,-0.5800563636363636,22,0.03,94.5706958770752,1.9201343059539795,-25.94676971435547,4.0071821212768555,3440
12.434782608695652,286,1,236,-0.48952286956521734,23,0.03,80.582350730896,1.4655290842056274,-23.122955322265625,2.3614726066589355,3700
13.333333333333334,320,1,280,-0.08387112500000009,24,0.03,24.018301486968994,0.7053925395011902,-14.89144515991211,-1.9464454650878906,4380
15.8,395,1,381,-0.7157446000000002,25,0.03,9.157545900344848,0.2043781578540802,-6.812298774719238,-4.613514423370361,5880
17.576923076923077,457,0,460,-0.8437535000000002,26,0.03,9.577594089508057,0.1279449462890625,-1.013573408126831,-3.1503796577453613,7120
19.37037037037037,523,0,543,-1.2265522222222225,27,0.03,10.400949859619141,0.09895999729633331,3.1897635459899902,-0.2070964127779007,8440
24.035714285714285,673,0,732,1.8070531428571428,28,0.03,1.9530510604381561,0.05805404111742973,-0.6555052995681763,-1.690773606300354,11440
