time/episodes,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/ent_coef,train/ent_coef_loss,train/n_updates,train/critic_loss,train/actor_loss,train/learning_rate
50,113.16,8,170.49067664000003,644,5658,0.11354003101587296,-0.258088082075119,111140,11.811063146591186,-140.94332885742188,0.03
51,115.62745098039215,8,174.77466701960785,671,5897,0.10113737732172012,-0.6803218126296997,115920,6.707481551170349,-135.83267211914062,0.03
52,117.51923076923077,8,178.19697530769233,696,6111,0.08139704912900925,0.7221593856811523,120200,5.960670828819275,-141.47674560546875,0.03
53,118.45283018867924,8,180.4890466981132,715,6278,0.10609052330255508,-0.04797646403312683,123540,6.068040609359741,-138.7364959716797,0.03
54,119.88888888888889,8,183.27481383333335,738,6474,0.11227390170097351,0.400573194026947,127460,5.591610765457153,-131.34657287597656,0.03
55,121.2,8,186.19697605454547,760,6666,0.11312804371118546,0.6617317199707031,131300,5.943224453926087,-134.97952270507812,0.03
56,121.85714285714286,8,188.35392699999997,778,6824,0.07840779423713684,1.8006038665771484,134460,5.279056406021118,-128.2601318359375,0.03
57,123.75438596491227,8,191.72801666666663,805,7054,0.08002221584320068,-0.7790927886962891,139060,3.6110546231269836,-123.75119018554688,0.03
58,126.46551724137932,8,197.0601111551724,838,7335,0.0754634290933609,-1.7684193849563599,144680,3.3469058752059935,-118.27471160888672,0.03
59,130.05084745762713,8,202.3695540677966,876,7673,0.06447990983724594,0.3298351764678955,151440,3.13767004609108,-123.51782989501953,0.03
60,132.15,8,205.52907301666664,906,7929,0.05788916349411011,2.4280104637145996,156560,3.435560941696167,-124.03997802734375,0.03
61,136.0327868852459,8,210.59469577049177,948,8298,0.05527529865503311,-0.13160039484500885,163940,5.088781237602234,-123.85029602050781,0.03
62,136.32258064516128,8,212.64784429032255,966,8452,0.06283973157405853,1.776235818862915,167020,6.833359706401825,-125.89299011230469,0.03
63,136.77777777777777,8,215.01756206349205,985,8617,0.04698292538523674,-1.7340621948242188,170320,5.457932186126709,-127.26516723632812,0.03
64,137.015625,8,216.597147078125,1003,8769,0.05207027122378349,3.907921552658081,173360,6.91750590801239,-127.56509399414062,0.03
65,137.43076923076924,8,218.28358493846156,1022,8933,0.07737012952566147,2.94488525390625,176640,7.2086105108261105,-135.15426635742188,0.03
66,137.3939393939394,8,219.0564611969697,1039,9068,0.09917949885129929,0.6129857301712036,179340,7.0114378213882445,-136.80712890625,0.03
67,137.49253731343285,8,220.25662186567166,1056,9212,0.10595475137233734,0.5630239248275757,182220,8.613321208953858,-133.02000427246094,0.03
68,137.0441176470588,8,220.3481783382353,1068,9319,0.09492391347885132,0.30177104473114014,184360,7.956556916236877,-133.4752197265625,0.03
69,138.6086956521739,8,224.33093786956522,1096,9564,0.1000528484582901,0.8687604665756226,189260,6.433166790008545,-131.81903076171875,0.03
70,140.4857142857143,8,228.31744674285716,1128,9834,0.07643844932317734,0.852342426776886,194660,4.803792929649353,-131.05368041992188,0.03
71,152.59154929577466,8,239.67210621126765,1242,10834,0.03857100009918213,-0.48018577694892883,214660,2.8726076006889345,-129.96261596679688,0.03
72,153.58333333333334,8,241.94026306944443,1267,11058,0.05051739141345024,1.3562493324279785,219140,4.907619750499725,-136.10693359375,0.03
73,153.83561643835617,8,243.59911575342466,1288,11230,0.06109977886080742,-0.24751213192939758,222580,6.789806842803955,-140.24362182617188,0.03
74,154.25675675675674,8,245.64293912162165,1309,11415,0.06060432270169258,2.694195508956909,226280,6.699156260490417,-141.64297485351562,0.03
75,154.24,8,246.76156440000003,1327,11568,0.07151390612125397,-1.9447083473205566,229340,8.085868525505067,-141.4576873779297,0.03
76,154.5,8,247.77682818421053,1348,11742,0.09190283715724945,-0.3668402135372162,232820,5.889522862434387,-143.07559204101562,0.03
77,153.97402597402598,8,247.79521820779217,1361,11856,0.1166074350476265,-0.12221291661262512,235100,6.561058259010315,-140.34088134765625,0.03
78,153.87179487179486,8,249.0259192307692,1378,12002,0.08531787991523743,-2.99300217628479,238020,6.406800079345703,-140.0458984375,0.03
79,155.16455696202533,8,252.023126835443,1407,12258,0.055773407220840454,3.409644365310669,243140,5.2623258352279665,-133.95660400390625,0.03
80,164.5625,8,263.0074642625,1509,13165,0.04144931957125664,3.0050787925720215,261280,3.9337314486503603,-124.502685546875,0.03
81,164.91358024691357,8,264.62631006172836,1531,13358,0.051214154809713364,-1.8440732955932617,265140,4.446885788440705,-125.90418243408203,0.03
82,165.09756097560975,8,265.94306719512196,1552,13538,0.057244110852479935,1.9728575944900513,268740,4.764181935787201,-127.43385314941406,0.03
83,165.33734939759037,8,267.60980134939757,1573,13723,0.055163826793432236,-1.4740408658981323,272440,3.7929068565368653,-126.75120544433594,0.03
84,165.35714285714286,8,268.7837363452381,1592,13890,0.045326486229896545,1.3284070491790771,275780,3.7861476302146913,-124.61763000488281,0.03
85,165.5529411764706,8,270.2486238235294,1613,14072,0.048539288341999054,0.5205384492874146,279420,3.6127544403076173,-122.03399658203125,0.03
86,165.58139534883722,8,271.27677575581396,1632,14240,0.03786129876971245,-0.4665781557559967,282780,3.267065143585205,-124.50167846679688,0.03
87,165.8505747126437,8,272.4958012413793,1654,14429,0.03963829204440117,-0.6033602952957153,286560,3.2824968218803408,-123.28070068359375,0.03
88,165.7840909090909,8,273.3029031818182,1672,14589,0.04282744228839874,-2.6494150161743164,289760,3.0970615267753603,-120.5481185913086,0.03
89,166.1011235955056,8,274.60424985393263,1694,14783,0.05156752094626427,-1.6950087547302246,293640,3.6158239603042603,-122.18938446044922,0.03
90,165.84444444444443,8,275.00213674444444,1711,14926,0.05670032650232315,-2.75258207321167,296500,3.590431582927704,-121.82882690429688,0.03
91,165.74725274725276,8,275.6574565274725,1729,15083,0.052110038697719574,1.3066529035568237,299640,3.7005983710289003,-120.81085968017578,0.03
92,165.79347826086956,8,276.6870337717391,1750,15253,0.03354654461145401,1.5746575593948364,303040,3.0997727394104,-118.31336212158203,0.03
93,165.9784946236559,8,277.7112372473118,1770,15436,0.0346810445189476,-0.37820395827293396,306700,3.1121795892715456,-117.42037963867188,0.03
94,165.89361702127658,8,278.50175820212763,1788,15594,0.04661097750067711,-3.921215772628784,309860,2.9057469248771666,-114.89315795898438,0.03
95,165.8421052631579,8,279.28591538947364,1807,15755,0.0391710102558136,0.3570907413959503,313080,2.6747066617012023,-116.44850158691406,0.03
96,165.90625,8,280.067675875,1827,15927,0.04703579470515251,-3.9694085121154785,316520,3.0218724429607393,-115.29546356201172,0.03
97,165.93814432989691,8,280.58743330927837,1846,16096,0.03353911638259888,-1.8893041610717773,319900,2.852512526512146,-111.52618408203125,0.03
98,165.87755102040816,8,280.91826840816327,1864,16256,0.045865897089242935,0.5940045714378357,323100,3.1001973509788514,-113.56590270996094,0.03
99,165.5050505050505,8,280.7462585858586,1879,16385,0.04240671545267105,3.131814479827881,325680,3.431586480140686,-112.68523406982422,0.03
100,165.55,8,281.72083734,1899,16555,0.040365610271692276,4.106901168823242,329080,3.037150871753693,-111.63017272949219,0.03
101,167.22,8,286.04372388,1920,16743,0.04070537909865379,-2.563925266265869,332840,2.94118332862854,-112.30851745605469,0.03
102,170.26,8,288.88322781000005,1958,17077,0.03709805756807327,-1.245740294456482,339520,3.0107678055763243,-114.62736511230469,0.03
103,172.04,8,293.45131309000004,1982,17288,0.052813369780778885,-3.407986640930176,343740,3.09437917470932,-112.2860107421875,0.03
104,173.67,8,297.45232045,2003,17471,0.058735594153404236,-0.3012281060218811,347400,2.541837269067764,-116.4603271484375,0.03
105,175.47,8,301.42376211000004,2025,17662,0.04197901859879494,0.902969241142273,351220,2.4490069270133974,-117.689453125,0.03
106,177.31,8,305.58436668,2048,17857,0.04802585393190384,-0.574303388595581,355120,2.3596001863479614,-121.20808410644531,0.03
107,178.95,8,309.69604532,2070,18042,0.051532696932554245,-1.5684643983840942,358820,2.655468988418579,-117.10206604003906,0.03
108,180.72,8,314.15185506,2092,18235,0.05125002935528755,-0.2779732942581177,362680,2.876702129840851,-121.1612548828125,0.03
109,182.4,8,318.48092538000003,2112,18411,0.047133248299360275,0.9219090938568115,366200,2.7512226045131682,-121.50936126708984,0.03
110,184.03,8,322.63595203000006,2131,18582,0.05002813786268234,-1.8600295782089233,369620,2.623083144426346,-116.07893371582031,0.03
111,185.71,8,326.91860909,2151,18757,0.04605112224817276,1.946742057800293,373120,2.251573246717453,-119.19291687011719,0.03
112,187.69,8,331.62530128000003,2175,18964,0.03987947106361389,-0.05787087231874466,377260,2.190459334850311,-119.71543884277344,0.03
113,189.42,8,336.19153731,2196,19147,0.04299730435013771,-2.7375571727752686,380920,2.272764712572098,-115.65970611572266,0.03
114,191.9,8,341.42520787,2225,19404,0.05129941925406456,1.0969008207321167,386060,2.421157145500183,-114.65128326416016,0.03
115,193.56,8,345.12889723,2245,19579,0.034146327525377274,1.7718851566314697,389560,2.25040864944458,-119.77579498291016,0.03
116,195.36,8,349.5546611099999,2265,19771,0.0631786361336708,-2.3581371307373047,393400,2.6907055199146273,-121.25714111328125,0.03
117,197.02,8,354.00080383000005,2286,19957,0.04764274135231972,0.532516598701477,397120,2.329193902015686,-121.68983459472656,0.03
118,197.64,8,358.01005446000005,2306,20139,0.06695350259542465,-3.9715094566345215,400760,2.3284910559654235,-122.32652282714844,0.03
119,198.78,8,362.69903644000004,2328,20335,0.04591699689626694,-1.2505595684051514,404680,2.8234119176864625,-128.50958251953125,0.03
120,197.0,8,365.26414227000004,2349,20521,0.040688514709472656,-1.2394167184829712,408400,3.2384357690811156,-124.60154724121094,0.03
121,197.0,8,369.53813334000006,2376,20750,0.038622934371232986,2.306593418121338,412980,2.903464990854263,-124.3973617553711,0.03
122,196.62,8,370.2462287100001,2394,20911,0.0381225161254406,2.583646297454834,416200,2.625216943025589,-125.19989013671875,0.03
123,197.31,8,372.6669535700001,2419,21130,0.04170216619968414,-1.6690987348556519,420580,2.873557472229004,-122.89710998535156,0.03
124,197.36,8,374.5120134200001,2441,21320,0.05164064094424248,1.5780233144760132,424380,2.338063371181488,-122.84294891357422,0.03
125,197.89,8,376.82611928000006,2465,21522,0.038731127977371216,1.918638825416565,428420,2.4686572194099425,-128.38912963867188,0.03
126,198.46,8,379.18081246,2486,21708,0.04944728687405586,-1.4891068935394287,432140,2.5188154101371767,-124.48902893066406,0.03
127,198.73,8,381.22509508999997,2510,21916,0.05019278824329376,2.3140711784362793,436300,2.79821093082428,-127.27411651611328,0.03
128,199.13,8,382.62067828,2532,22103,0.047511253505945206,-0.17583025991916656,440040,3.497527778148651,-132.37240600585938,0.03
129,199.43,8,384.60197667,2556,22308,0.04779037833213806,-0.4480589032173157,444140,3.88035843372345,-131.663330078125,0.03
130,199.73,8,385.93358474,2573,22462,0.06015945225954056,0.06956370174884796,447220,3.480824685096741,-132.66766357421875,0.03
131,200.9,8,388.83203445000004,2602,22714,0.06990758329629898,-0.35669058561325073,452260,4.488901305198669,-127.20472717285156,0.03
132,201.48,8,391.01081468000007,2638,23033,0.05863815173506737,0.3589369058609009,458640,4.716728091239929,-130.522216796875,0.03
133,202.05,8,392.7555459500001,2660,23229,0.05131774768233299,2.4191012382507324,462560,4.8227873802185055,-131.27651977539062,0.03
134,202.59,8,394.71420619000014,2683,23432,0.06845864653587341,1.0262398719787598,466620,4.890701639652252,-129.388427734375,0.03
135,202.88,8,396.36119493000007,2703,23611,0.061317332088947296,-0.6958920955657959,470200,3.9303569316864015,-132.03237915039062,0.03
136,203.61,8,398.84086756000005,2727,23822,0.04837148264050484,1.3807954788208008,474420,3.2031057119369506,-129.2399139404297,0.03
137,204.03,8,400.81206957,2749,24009,0.059425368905067444,-1.5559027194976807,478160,3.401017665863037,-124.80321502685547,0.03
138,204.58,8,402.56046339,2772,24208,0.04890545457601547,-0.004239141941070557,482140,3.5035428404808044,-130.30889892578125,0.03
139,205.57,8,405.2521699199999,2796,24415,0.06243375316262245,0.31499239802360535,486280,3.155461144447327,-127.01541137695312,0.03
140,206.08,8,407.19626858,2819,24613,0.06251389533281326,-0.2863353192806244,490240,2.8968828201293944,-126.21588134765625,0.03
141,206.51,8,409.00785845999997,2841,24809,0.04158489778637886,0.4517962634563446,494160,2.9086082220077514,-131.17926025390625,0.03
142,207.31,8,411.30469609,2866,25037,0.06420440971851349,-2.0317506790161133,498720,3.0845857083797457,-127.90422058105469,0.03
143,207.67,8,413.18990677,2888,25227,0.053907573223114014,2.9865498542785645,502520,3.211240303516388,-126.3251953125,0.03
144,207.55,8,414.1667978399999,2913,25451,0.06509169191122055,-3.14083194732666,507000,3.1109508633613587,-132.38348388671875,0.03
145,207.37,8,415.5642072299999,2939,25681,0.05626644566655159,-2.9194791316986084,511600,2.820041424036026,-127.9404067993164,0.03
146,207.59,8,416.71125741,2961,25870,0.05521904304623604,-1.2644627094268799,515380,2.60896458029747,-126.14299011230469,0.03
147,207.96,8,418.48989900999993,2982,26055,0.0503542385995388,-0.7684327363967896,519080,2.8611679315567016,-129.97084045410156,0.03
148,208.49,8,420.73726099999993,3005,26257,0.05784269794821739,-0.7449129223823547,523120,2.7583777606487274,-129.50732421875,0.03
149,208.99,8,423.02531822,3026,26438,0.04938443377614021,1.4868308305740356,526740,3.5078765988349914,-132.13800048828125,0.03
150,209.63,8,425.21667874999997,3047,26621,0.052592743188142776,1.0034456253051758,530400,3.096749222278595,-132.9282684326172,0.03
151,209.44,8,426.29349365,3073,26841,0.04808097705245018,-0.07621440291404724,534800,3.049541687965393,-132.23001098632812,0.03
152,208.96,8,426.9427776100001,3091,27007,0.05156949535012245,1.4541089534759521,538120,3.2486800849437714,-131.27374267578125,0.03
153,208.99,8,428.12539695,3112,27177,0.053832411766052246,-2.1863865852355957,541520,2.7422803342342377,-129.30938720703125,0.03
154,208.69,8,428.88639893,3131,27343,0.04698018357157707,-0.4275605082511902,544840,2.9615601658821107,-131.37034606933594,0.03
155,208.9,8,430.49243118,3156,27556,0.0406314842402935,1.9760973453521729,549100,2.7185350000858306,-133.1165771484375,0.03
156,209.29,8,432.10143914,3179,27753,0.04386957362294197,-1.4968390464782715,553040,2.862193596363068,-130.32928466796875,0.03
157,208.62,8,432.01364372000006,3197,27916,0.053600799292325974,-2.336148262023926,556300,3.627573382854462,-134.9046630859375,0.03
158,207.35,8,430.62703526999996,3215,28070,0.050453294068574905,1.1609067916870117,559380,2.9732182145118715,-133.19696044921875,0.03
159,205.85,8,430.10418173,3238,28258,0.06326708197593689,-2.6648712158203125,563140,3.2292874813079835,-129.6088104248047,0.03
160,205.03,8,430.5568591899999,3257,28432,0.055025193840265274,0.8064194321632385,566620,3.722646200656891,-128.12428283691406,0.03
161,203.16,8,429.9616952499999,3278,28614,0.05469523370265961,0.2656143605709076,570260,3.2199214935302733,-130.23683166503906,0.03
162,203.73,8,431.52634968,3303,28825,0.07502662390470505,-0.6570165157318115,574480,3.8717750787734984,-128.80081176757812,0.03
163,203.92,8,432.2245041,3325,29009,0.04723125696182251,0.4828535318374634,578160,3.679123544692993,-117.42234802246094,0.03
164,204.31,8,433.40451275,3347,29200,0.05109229311347008,-0.26619696617126465,581980,3.6952207922935485,-122.55732727050781,0.03
165,204.62,8,434.76338947000005,3370,29395,0.05342135578393936,-0.7552902698516846,585880,3.815606212615967,-124.19618225097656,0.03
166,205.46,8,437.4079004500001,3395,29614,0.05439681559801102,-0.9702951312065125,590260,3.3686612606048585,-125.68356323242188,0.03
167,206.01,8,439.10690977999997,3417,29813,0.049032069742679596,2.304293394088745,594240,3.8181990027427672,-130.73223876953125,0.03
168,206.99,8,441.6777904100001,3440,30018,0.05797375366091728,-0.5031368732452393,598340,3.5771169543266295,-123.80805969238281,0.03
169,206.58,8,441.54764651,3464,30222,0.05863641947507858,-1.3017832040786743,602420,3.5234960198402403,-129.25650024414062,0.03
170,205.6,8,440.53473161,3484,30394,0.042560916393995285,1.6326372623443604,605860,3.3491680026054382,-129.82630920410156,0.03
171,197.3,8,434.4111078,3503,30564,0.05334586650133133,-0.24553224444389343,609260,3.605539333820343,-130.52796936035156,0.03
172,196.84,8,434.69295222000005,3523,30742,0.06142030656337738,-3.301544427871704,612820,3.2420001864433288,-131.4762420654297,0.03
173,197.32,8,437.38299753,3548,30962,0.05178927257657051,-0.24932220578193665,617220,3.114551472663879,-129.8217010498047,0.03
174,197.37,8,438.4044806899999,3569,31152,0.04473501816391945,1.8877103328704834,621020,2.7652432143688204,-129.75103759765625,0.03
175,197.84,8,439.93978022999994,3592,31352,0.042223867028951645,0.20377492904663086,625020,3.8974651217460634,-126.30272674560547,0.03
176,197.86,8,441.2019801199999,3613,31528,0.07946746796369553,-2.6222774982452393,628540,3.1203928112983705,-127.89344787597656,0.03
177,198.79,8,443.80088965999994,3636,31735,0.059964701533317566,-0.9163340926170349,632680,3.3982352375984193,-129.42733764648438,0.03
178,199.54,8,445.77352356000006,3662,31956,0.05800585076212883,1.447782039642334,637100,2.9348676800727844,-135.5879364013672,0.03
179,198.99,8,445.94819785000004,3687,32157,0.060997698456048965,-0.8429478406906128,641120,3.1730834603309632,-128.84085083007812,0.03
180,191.93,8,439.64050556,3710,32358,0.052317146211862564,-1.1091690063476562,645140,3.1722080945968627,-125.03073120117188,0.03
181,192.07,8,440.92024148,3734,32565,0.0735740140080452,-4.109909534454346,649280,3.0949917078018188,-129.11483764648438,0.03
182,192.42,8,442.46290417000006,3758,32780,0.06051398441195488,-0.5449910163879395,653580,3.200452375411987,-127.32414245605469,0.03
183,192.54,8,443.33888784999994,3782,32977,0.05087805911898613,0.23085856437683105,657520,3.028179007768631,-126.22825622558594,0.03
184,193.02,8,444.85731701000003,3808,33192,0.058992039412260056,-1.2688127756118774,661820,3.5590592980384828,-130.85025024414062,0.03
185,193.73,8,447.60290192,3837,33445,0.06455478817224503,-2.2765419483184814,666880,4.186443567276001,-131.0870819091797,0.03
186,194.21,8,449.74214399000005,3863,33661,0.06636955589056015,-2.384512424468994,671200,3.807032561302185,-125.88792419433594,0.03
187,195.1,8,453.79987411,3894,33939,0.056270428001880646,-0.5342870950698853,676760,3.957487368583679,-134.94512939453125,0.03
188,195.65,8,455.51330661,3918,34154,0.06273946911096573,-0.9916149377822876,681060,5.205221509933471,-133.94448852539062,0.03
189,195.13,8,454.55310536999997,3934,34296,0.08315541595220566,-3.588137626647949,683900,4.185971450805664,-134.74435424804688,0.03
190,195.93,8,456.85371685999996,3959,34519,0.05784358084201813,1.0881234407424927,688360,3.9558170795440675,-128.8274383544922,0.03
191,196.41,8,458.70520504000007,3982,34724,0.07044263929128647,0.3344072699546814,692460,4.2722385168075565,-135.75564575195312,0.03
192,197.22,8,460.73938175,4010,34975,0.06406312435865402,-0.052467167377471924,697480,3.656081509590149,-131.21914672851562,0.03
193,197.38,8,461.86907472,4032,35174,0.07245231419801712,-2.978550910949707,701460,3.6022252321243284,-131.49899291992188,0.03
194,198.19,8,462.9925509899999,4059,35413,0.05824383720755577,-0.26877182722091675,706240,3.538011622428894,-135.9409942626953,0.03
195,198.63,8,464.5194891599999,4083,35618,0.06493070721626282,-0.6826848983764648,710340,3.1048977971076965,-132.06124877929688,0.03
196,199.18,8,466.40172848,4109,35845,0.05565498396754265,1.8995139598846436,714880,3.5010770559310913,-128.82095336914062,0.03
197,199.46,8,467.79591478000003,4132,36042,0.0679185763001442,0.1416756510734558,718820,4.017356884479523,-128.67152404785156,0.03
198,200.37,8,472.0652515000001,4160,36293,0.05533875152468681,-0.35864436626434326,723840,3.3325634956359864,-131.66033935546875,0.03
199,201.3,8,475.67674219,4185,36515,0.06367074698209763,0.26130545139312744,728280,4.014841842651367,-133.25466918945312,0.03
200,202.3,8,479.45098009000003,4214,36785,0.0515085831284523,1.5692360401153564,733680,3.917354094982147,-135.26382446289062,0.03
201,205.52,8,490.8762373200001,4273,37295,0.057431410998106,0.7434250712394714,743880,4.340223121643066,-137.07522583007812,0.03
202,204.73,8,494.95204091,4302,37550,0.05739937722682953,2.326939821243286,748980,4.499432468414307,-134.51382446289062,0.03
203,206.59,8,501.70708883,4347,37947,0.06388277560472488,-0.16570046544075012,756920,5.302244424819946,-136.3976593017578,0.03
204,209.47,8,509.91114494,4402,38418,0.07534313946962357,-0.04444766044616699,766340,5.159131813049316,-134.2650604248047,0.03
205,209.69,8,510.76555964000005,4427,38631,0.06455092132091522,1.467747449874878,770600,5.125903248786926,-136.53514099121094,0.03
206,213.24,8,521.36122264,4491,39181,0.07961952686309814,-1.014868974685669,781600,5.819193363189697,-139.11679077148438,0.03
207,219.92,8,541.22566912,4589,40034,0.08434173464775085,-0.12491315603256226,798660,5.904489779472351,-141.77999877929688,0.03
208,221.26,8,544.7798701,4628,40361,0.05945985019207001,2.9251508712768555,805200,6.286336040496826,-137.1991729736328,0.03
209,222.85,8,549.15671497,4665,40696,0.07747878134250641,-0.15220175683498383,811900,6.067293953895569,-140.52401733398438,0.03
210,226.53,8,561.8134494100001,4727,41235,0.059013787657022476,0.6446478962898254,822680,5.649887871742249,-141.49551391601562,0.03
211,233.1,8,581.4842259100001,4821,42067,0.08691651374101639,0.6908978223800659,839320,6.604929971694946,-148.44378662109375,0.03
