time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/episodes,train/ent_coef_loss,train/ent_coef,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss
6,1657,11.319056499999999,275,55.233333333333334,30,0.22282436676323414,1.642331612110138,0.03,346.82336349487304,31120,-322.613298034668
6,1808,12.550513451612902,298,58.32258064516129,31,0.08332226350903511,2.032973754405975,0.03,643.6847198486328,34140,-416.7873291015625
6,1880,13.146403093750001,307,58.75,32,-0.24218475334346296,2.0187777042388917,0.03,804.9774139404296,35580,-470.9765426635742
6,1975,13.155560939393942,320,59.84848484848485,33,0.5867849886417389,3.1481806874275207,0.03,1668.1769104003906,37480,-556.8588958740235
6,2035,12.526992500000002,328,59.85294117647059,34,-0.5656619522720575,2.542949342727661,0.03,1936.2697021484375,38680,-610.5634887695312
6,2079,12.271002914285717,335,59.4,35,0.5918019935488701,3.1872125625610352,0.03,2211.3883056640625,39560,-656.2717346191406
6,2175,12.991268194444448,356,60.416666666666664,36,-0.9932538706809282,3.2808521509170534,0.03,4361.345239257813,41480,-711.0857971191406
6,2258,12.78422502702703,367,61.027027027027025,37,-1.1234820621088146,3.8194638013839723,0.03,5850.103442382812,43140,-794.9710723876954
6,2340,13.078135473684213,378,61.578947368421055,38,1.0208307042717935,5.953892040252685,0.03,9615.862817382813,44780,-891.9596649169922
6,2509,20.57799556410257,411,64.33333333333333,39,0.5892363861203194,9.543098545074463,0.03,20015.9748046875,48160,-1580.2491638183594
6,2597,23.1006042,429,64.925,40,0.9153546392917633,12.296835136413574,0.03,35635.37294921875,49920,-2171.990234375
6,2730,23.63557424390244,448,66.58536585365853,41,0.4284571260213852,13.757771158218384,0.03,48977.40625,52580,-2561.15263671875
6,2809,22.89933692857143,466,66.88095238095238,42,0.42615518942475317,14.61008915901184,0.03,52245.88984375,54160,-2856.8848876953125
5,2852,22.478080255813953,476,66.32558139534883,43,-0.5551657475531101,14.244679689407349,0.03,64930.8953125,55020,-3049.4318725585936
5,3005,22.83522859090909,511,68.29545454545455,44,-0.3230770528316498,23.55324239730835,0.03,120833.732421875,58080,-3797.2237915039063
5,3141,22.516317177777776,534,69.8,45,0.7351888954639435,20.304166793823242,0.03,158585.225390625,60800,-4283.810107421875
5,3213,24.607007195652173,544,69.84782608695652,46,0.7206115409731865,29.70130090713501,0.03,227345.403125,62240,-4724.546728515625
5,3343,27.91135425531915,569,71.12765957446808,47,-0.037045609951019284,28.06981201171875,0.03,249454.246875,64840,-5710.441552734375
5,3378,27.12196797916667,574,70.375,48,0.1656468041241169,32.558507442474365,0.03,326546.98515625,65540,-5981.20947265625
5,3442,26.467427755102044,584,70.24489795918367,49,0.648391991853714,27.942838764190675,0.03,289641.6359375,66820,-5887.1795654296875
5,3679,27.81569774,636,73.58,50,1.1210536077618598,33.56663856506348,0.03,355878.4609375,71560,-6168.304931640625
5,3755,28.873369823529412,646,73.62745098039215,51,2.6083529353141786,33.38122510910034,0.03,414007.3796875,73080,-6606.938208007812
5,3836,30.083146865384613,664,73.76923076923077,52,0.6830116644501686,37.42265224456787,0.03,430758.078125,74700,-6780.9820556640625
5,3928,32.97081681132075,681,74.11320754716981,53,-0.43198739290237426,24.088729190826417,0.03,477028.375,76540,-6336.813159179687
5,4000,32.06441866666667,692,74.07407407407408,54,2.028970870375633,31.699780082702638,0.03,331911.6265625,77980,-6033.7720947265625
5,4110,32.176244800000006,708,74.72727272727273,55,0.47400822341442106,26.041918087005616,0.03,335781.284375,80180,-5800.588916015625
5,4134,31.788409803571433,711,73.82142857142857,56,-0.42815457880496977,22.019290351867674,0.03,347584.3734375,80660,-5933.9544921875
5,4161,31.48873229824562,715,73.0,57,2.0623851202428343,25.405785846710206,0.03,459651.1,81200,-5599.593310546875
