time/fps,time/total_timesteps,time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/ent_coef_loss,train/ent_coef,train/n_updates,train/learning_rate,train/actor_loss,train/critic_loss
127,36,1,0,36.0,21.213015,,,,,,
156,47,2,0,23.5,10.0600315,,,,,,
205,67,3,0,22.333333333333332,8.009976333333332,,,,,,
270,97,4,0,24.25,8.445629,,,,,,
15,118,5,7,23.6,5.3423756000000004,-3.669612407684326,1.417794108390808,340,0.03,66.65422821044922,662.1789154052734
9,135,6,13,22.5,4.369815166666667,-7.168830871582031,2.1006853580474854,680,0.03,105.87202453613281,1490.3061584472657
7,152,7,19,21.714285714285715,2.5275157142857148,-10.778310775756836,3.0859692096710205,1020,0.03,167.49722290039062,3081.7950439453125
6,165,8,23,20.625,1.2020396250000003,-12.760997772216797,4.154248237609863,1280,0.03,240.46714782714844,5845.455126953125
6,175,9,27,19.444444444444443,1.0003292222222226,10.073305130004883,4.678826332092285,1480,0.03,77.03927612304688,309.1924110412598
6,182,10,29,18.2,0.5853609000000002,8.693615913391113,4.515601634979248,1620,0.03,59.768550872802734,303.4650283813477
5,191,11,32,17.363636363636363,0.30624936363636385,8.034822463989258,4.079090118408203,1800,0.03,40.42572021484375,269.12797622680665
5,199,12,35,16.583333333333332,-0.006582333333333135,6.154200553894043,3.642216920852661,1960,0.03,29.44523811340332,256.870304107666
5,206,13,37,15.846153846153847,-0.2732259999999998,5.405753135681152,3.2950615882873535,2100,0.03,11.373302459716797,292.3780113220215
5,213,14,40,15.214285714285714,-0.5248637857142856,5.514802932739258,2.985173463821411,2240,0.03,-4.833998203277588,304.53633880615234
5,220,15,42,14.666666666666666,-0.7951803333333332,4.985260009765625,2.6917426586151123,2380,0.03,-11.034524917602539,231.65917053222657
5,227,16,45,14.1875,-0.9892909375000003,5.229896545410156,2.407301664352417,2520,0.03,-15.948225021362305,224.1675003051758
4,236,17,48,13.882352941176471,-1.0443464705882357,4.458927154541016,2.0581955909729004,2700,0.03,-18.270645141601562,138.80575218200684
4,244,18,51,13.555555555555555,-1.111627555555556,3.529305934906006,1.768892526626587,2860,0.03,-18.540098190307617,101.21548347473144
4,255,19,54,13.421052631578947,-1.3854458947368424,2.295198678970337,1.4141908884048462,3080,0.03,-19.055522918701172,47.1180944442749
4,280,20,63,14.0,-1.4731534000000004,-1.245061993598938,0.8206778168678284,3580,0.03,-15.505048751831055,16.00556812286377
4,307,21,72,14.619047619047619,-1.2901384761904766,-4.096902847290039,0.46613988280296326,4120,0.03,-12.284820556640625,9.514559650421143
4,339,22,83,15.409090909090908,-1.0542976818181822,-6.092346668243408,0.2533930242061615,4760,0.03,-8.79613971710205,7.274747776985168
3,431,23,114,18.73913043478261,-2.2646182608695655,-2.817206621170044,0.1176295056939125,6600,0.03,-6.820241451263428,7.5468919515609745
3,579,24,165,24.125,8.785188375,0.24899417161941528,0.11190751194953918,9560,0.03,-15.091053009033203,4.348647129535675
