time/episodes,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/actor_loss,train/learning_rate,train/ent_coef,train/ent_coef_loss,train/critic_loss,train/n_updates
50,139.6,6980,224.59155898,817,8,-218.24754333496094,0.003,0.10489128530025482,-1.7009385824203491,3.0756696224212647,137580
51,138.94117647058823,7086,224.06788615686273,830,8,-213.3671875,0.003,0.10341667383909225,0.7320045232772827,3.0814450323581695,139700
52,137.90384615384616,7171,222.91762207692307,840,8,-213.8402099609375,0.003,0.10037295520305634,-1.421971082687378,3.4682920455932615,141400
53,137.37735849056602,7281,222.98534539622642,854,8,-211.10379028320312,0.003,0.0969109833240509,1.440868854522705,4.455005621910095,143600
54,137.35185185185185,7417,223.86241172222222,871,8,-209.1920166015625,0.003,0.09314977377653122,-0.6604011654853821,3.5009705066680907,146320
55,137.6909090909091,7573,225.06423565454546,888,8,-203.53305053710938,0.003,0.08060332387685776,-0.08694082498550415,1.9080553472042083,149440
56,141.875,7945,229.6083054642857,935,8,-199.0120849609375,0.003,0.07478191703557968,0.045689016580581665,1.747743272781372,156880
57,141.03508771929825,8039,228.83743259649123,946,8,-194.80880737304688,0.003,0.07525157928466797,1.4868848323822021,2.2986439883708956,158760
58,141.79310344827587,8224,230.2988107241379,968,8,-194.98300170898438,0.003,0.07216666638851166,-0.5917435884475708,2.812493735551834,162460
59,141.74576271186442,8363,230.93324311864404,985,8,-192.74583435058594,0.003,0.07243571430444717,1.5113987922668457,2.3165196537971497,165240
60,141.86666666666667,8512,231.9330970833333,1002,8,-190.66403198242188,0.003,0.0815100222826004,0.7253504991531372,3.4791588962078093,168220
61,143.0327868852459,8725,233.99999799999998,1029,8,-188.91232299804688,0.003,0.07897649705410004,0.43878817558288574,1.9997289538383485,172480
62,143.33870967741936,8887,234.49781299999998,1048,8,-187.94979858398438,0.003,0.07898340374231339,-0.04048031568527222,1.965196967124939,175720
63,142.5079365079365,8978,233.59780315873016,1059,8,-184.944580078125,0.003,0.07421432435512543,-1.353324055671692,2.012902307510376,177540
64,146.4375,9372,237.1234141875,1105,8,-179.19454956054688,0.003,0.06381005048751831,0.15577399730682373,1.6710152328014374,185420
65,146.44615384615383,9519,237.75133244615384,1122,8,-180.40316772460938,0.003,0.05602163448929787,1.6321344375610352,1.909056693315506,188360
66,145.86363636363637,9627,237.4084031969697,1134,8,-177.35455322265625,0.003,0.05907498300075531,0.15110057592391968,1.3590459048748016,190520
67,145.62686567164178,9757,237.5624075522388,1149,8,-180.11178588867188,0.003,0.062053121626377106,-0.6340553164482117,2.086553770303726,193120
68,145.14705882352942,9870,237.33684588235292,1162,8,-181.5211944580078,0.003,0.06363525241613388,-0.6149743795394897,1.950237911939621,195380
69,145.57971014492753,10045,238.46020118840576,1181,8,-180.09706115722656,0.003,0.06563863158226013,0.13937479257583618,2.453508275747299,198880
70,145.11428571428573,10158,238.26923508571423,1195,8,-182.80397033691406,0.003,0.06910739094018936,1.199544072151184,2.0808278203010557,201140
71,144.49295774647888,10259,237.62292290140837,1206,8,-180.66213989257812,0.003,0.0703112855553627,-0.11931449174880981,1.8203567922115327,203160
72,143.81944444444446,10355,237.01193331944444,1218,8,-182.56655883789062,0.003,0.06865285336971283,0.32024478912353516,1.702227371931076,205080
73,143.12328767123287,10448,236.28316517808219,1229,8,-182.63156127929688,0.003,0.06261469423770905,0.1894148886203766,2.329124480485916,206940
74,142.47297297297297,10543,235.65308305405406,1240,8,-179.40992736816406,0.003,0.06397825479507446,-0.5966818332672119,2.1395783007144926,208840
75,141.94666666666666,10646,235.1294364133333,1253,8,-178.4012451171875,0.003,0.06307341903448105,0.2140788435935974,2.083298307657242,210900
76,141.5,10754,234.80791226315787,1265,8,-176.5977783203125,0.003,0.06128332391381264,0.1717451810836792,2.1275720059871674,213060
77,140.62337662337663,10828,233.4362683246753,1274,8,-175.83847045898438,0.003,0.06458640098571777,1.6420040130615234,1.9662898361682892,214540
78,140.26923076923077,10941,233.26022156410255,1287,8,-178.3528289794922,0.003,0.06921281665563583,0.11871033906936646,2.8375501692295075,216800
79,139.9493670886076,11056,233.03794325316454,1301,8,-176.6654510498047,0.003,0.0668676346540451,-0.8076616525650024,2.072566729784012,219100
80,139.325,11146,232.06962347500001,1312,8,-176.58627319335938,0.003,0.06381828337907791,-0.5733944177627563,2.1242151141166685,220900
81,138.50617283950618,11219,230.77162329629633,1322,8,-176.20443725585938,0.003,0.062389619648456573,-0.6009159088134766,1.9832901000976562,222360
82,137.85365853658536,11304,229.92321957317074,1331,8,-177.00851440429688,0.003,0.062483955174684525,-1.2364838123321533,3.5988580882549286,224060
83,137.66265060240963,11426,229.9035226506024,1345,8,-176.144775390625,0.003,0.06225517764687538,-0.7830185890197754,2.0079109251499174,226500
84,137.92857142857142,11586,230.90576016666668,1364,8,-178.33255004882812,0.003,0.05922776833176613,-1.630599021911621,2.7406466901302338,229700
85,137.9764705882353,11728,231.40671016470588,1381,8,-180.93612670898438,0.003,0.05899813026189804,-0.032038867473602295,2.6424694776535036,232540
86,138.13953488372093,11880,231.99641723255812,1399,8,-177.66490173339844,0.003,0.06771694868803024,1.468466877937317,5.05014386177063,235580
87,138.01149425287358,12007,232.24059189655173,1415,8,-174.47776794433594,0.003,0.07340756803750992,1.1699777841567993,5.467609763145447,238120
88,137.9431818181818,12139,232.4083871136364,1431,8,-176.62786865234375,0.003,0.07909074425697327,-0.5763616561889648,6.450399386882782,240760
89,137.75280898876406,12260,232.28032659550564,1446,8,-175.52894592285156,0.003,0.0836426317691803,0.2203061580657959,3.565720593929291,243180
90,137.3111111111111,12358,231.79966131111112,1458,8,-174.34896850585938,0.003,0.0813111886382103,1.0216008424758911,3.4946325421333313,245140
91,136.8021978021978,12449,231.0823978901099,1470,8,-174.47366333007812,0.003,0.07375501841306686,0.9629515409469604,4.239339029788971,246960
92,136.97826086956522,12602,231.58043796739133,1488,8,-171.67898559570312,0.003,0.06487059593200684,-0.39364421367645264,2.5982966482639314,250020
93,137.6236559139785,12799,232.56489935483873,1512,8,-167.90057373046875,0.003,0.05572352185845375,-0.5511302351951599,4.933263647556305,253960
94,137.5744680851064,12932,232.8191870212766,1527,8,-167.2288360595703,0.003,0.04703092947602272,0.5247907638549805,2.609982615709305,256620
95,137.85263157894738,13096,233.55510996842105,1547,8,-166.46096801757812,0.003,0.058024801313877106,0.1905984729528427,2.3202861905097962,259900
96,138.55208333333334,13301,234.61612123958335,1571,8,-165.2130889892578,0.003,0.08066507428884506,0.5504088997840881,2.417840826511383,264000
97,138.43298969072166,13428,234.2129424329897,1587,8,-167.9888916015625,0.003,0.09137114137411118,0.6679937839508057,2.692608708143234,266540
98,138.4387755102041,13567,234.22334485714288,1604,8,-170.70315551757812,0.003,0.0832548663020134,-0.6742421984672546,3.8283130526542664,269320
99,138.46464646464648,13708,234.07810725252526,1621,8,-169.36898803710938,0.003,0.07688234001398087,-1.4018956422805786,2.1376969456672668,272140
100,138.85,13885,234.78883933,1641,8,-174.17153930664062,0.003,0.06692522764205933,1.00797438621521,2.9387855410575865,275680
101,140.53,14064,238.10265983999997,1662,8,-175.06735229492188,0.003,0.07064997404813766,0.405049592256546,4.0475974678993225,279260
102,141.58,14183,240.53272240999996,1676,8,-181.2292022705078,0.003,0.07488894462585449,0.007120370864868164,3.60117529630661,281640
103,142.44,14287,242.67532348999998,1688,8,-183.72840881347656,0.003,0.08406531065702438,-0.14053982496261597,3.7293728590011597,283720
104,143.54,14418,245.33175389999997,1703,8,-186.0574951171875,0.003,0.09258775413036346,0.8156635761260986,4.065235459804535,286340
105,144.31,14521,247.68068866999994,1715,8,-189.603759765625,0.003,0.0979117676615715,0.12754467129707336,4.273915898799896,288400
106,145.24,14642,250.28019841999995,1729,8,-192.46438598632812,0.003,0.10203642398118973,-0.9291221499443054,4.218895959854126,290820
107,144.89,14698,251.54043150999993,1735,8,-193.18692016601562,0.003,0.1015768051147461,-1.506486415863037,3.6692308306694033,291940
108,145.06,14798,253.98437328999998,1747,8,-193.60389709472656,0.003,0.08894345164299011,-1.6084003448486328,3.4375128030776976,293940
109,144.14,14901,255.68731943999992,1759,8,-192.90597534179688,0.003,0.08256824314594269,-0.5248937606811523,3.0368162035942077,296000
110,142.8,15036,254.62837334999992,1774,8,-194.02072143554688,0.003,0.07429850101470947,0.21415311098098755,3.965857517719269,298700
111,140.21,15200,253.25482353999996,1794,8,-192.2537841796875,0.003,0.0630609542131424,-0.5983995199203491,2.5323790192604063,301980
112,140.59,15362,254.23854347,1812,8,-188.283203125,0.003,0.05856861174106598,0.9259724617004395,2.5263099551200865,305220
113,140.63,15539,254.44190219999996,1833,8,-188.44522094726562,0.003,0.0555008240044117,-1.3950788974761963,2.110983645915985,308760
114,141.44,15679,254.17018037000003,1850,8,-187.4390411376953,0.003,0.06548477709293365,1.1398017406463623,3.305225741863251,311560
115,143.59,16023,256.46045634,1889,8,-194.53472900390625,0.003,0.09371404349803925,1.6691497564315796,4.517426753044129,318440
116,143.67,16132,256.32772903,1902,8,-197.74649047851562,0.003,0.09346553683280945,-1.3315578699111938,3.9617666244506835,320620
117,142.65,16245,255.08759943,1915,8,-198.39735412597656,0.003,0.09991349279880524,-0.1883828490972519,4.701394140720367,322880
118,142.6,16400,254.96958792,1932,8,-200.65098571777344,0.003,0.08919386565685272,1.0189772844314575,3.3584413290023805,325980
119,142.39,16516,254.56843297,1946,8,-202.00299072265625,0.003,0.08919700980186462,0.02730664610862732,3.1360926032066345,328300
120,142.51,16661,254.90297123999997,1962,8,-199.1068572998047,0.003,0.08361310511827469,-1.2317185401916504,3.022386884689331,331200
121,142.16,16747,254.14639722,1972,8,-199.97723388671875,0.003,0.076292023062706,0.7638181447982788,2.873272180557251,332920
122,141.65,16831,252.98456876,1982,8,-198.23110961914062,0.003,0.07476357370615005,-1.2602241039276123,3.345940202474594,334600
123,141.31,16965,252.67849973,1997,8,-198.66651916503906,0.003,0.06414877623319626,0.980187177658081,5.207433307170868,337280
124,140.74,17056,251.72255389000003,2007,8,-196.89317321777344,0.003,0.06010596454143524,-0.2399752140045166,3.2836016058921813,339100
125,140.35,17179,251.30826014999994,2021,8,-196.48239135742188,0.003,0.06728129833936691,0.44928115606307983,3.897533345222473,341560
126,138.7,17246,248.78911871999998,2029,8,-196.96066284179688,0.003,0.07105788588523865,-1.1956923007965088,3.9558478474617003,342900
127,138.11,17378,248.5535008,2044,8,-194.57418823242188,0.003,0.07677238434553146,-0.46769338846206665,3.7784023880958557,345540
128,137.04,17446,246.71400325000002,2052,8,-194.48915100097656,0.003,0.07711901515722275,0.05733388662338257,3.420543909072876,346900
129,136.48,17529,245.58943459999998,2061,8,-194.2235107421875,0.003,0.07482687383890152,0.708454966545105,4.684846758842468,348560
130,135.04,17603,243.20887928999997,2069,8,-193.79449462890625,0.003,0.07905147224664688,-0.15078534185886383,4.187374711036682,350040
131,135.21,17802,243.60664191,2093,8,-192.7425994873047,0.003,0.09444556385278702,0.009670108556747437,4.869362330436706,354020
132,136.73,18079,245.29327118999998,2125,8,-190.16476440429688,0.003,0.09924907237291336,0.6561550498008728,3.7859611749649047,359560
133,136.69,18198,245.17195811000002,2139,8,-189.0094451904297,0.003,0.09785253554582596,0.4236505627632141,3.9502484440803527,361940
134,136.89,18338,245.21880635000002,2155,8,-189.52532958984375,0.003,0.10508479923009872,-0.8853418827056885,4.383581054210663,364740
135,137.3,18504,245.38919451,2174,8,-192.66348266601562,0.003,0.11553269624710083,-0.0816609188914299,5.421921110153198,368060
136,137.35,18596,245.12419862999997,2185,8,-196.04104614257812,0.003,0.1240403950214386,0.4250500202178955,5.634853339195251,369900
137,137.0,18686,242.44840255,2196,8,-197.10958862304688,0.003,0.11864739656448364,-0.632908046245575,5.404623484611511,371700
138,136.89,18834,241.97735763999992,2213,8,-192.48907470703125,0.003,0.10955312848091125,-0.2532995641231537,4.312110507488251,374660
139,136.84,19044,241.34835632,2237,8,-190.35369873046875,0.003,0.0987539067864418,-0.6053419709205627,4.862416315078735,378860
140,136.42,19144,240.63158958999998,2249,8,-188.87120056152344,0.003,0.0914398804306984,0.6155981421470642,3.7981870651245115,380860
141,135.5,19206,238.88546667999998,2256,8,-188.32186889648438,0.003,0.08449685573577881,-0.6642199754714966,3.592295694351196,382100
142,135.71,19350,238.80119728999998,2272,8,-188.17617797851562,0.003,0.07016020268201828,0.048310697078704834,3.1346197009086607,384980
143,135.91,19534,238.72949945,2293,8,-185.07867431640625,0.003,0.061283279210329056,0.35215914249420166,3.052878212928772,388660
144,135.51,19644,238.00556103,2306,8,-183.57650756835938,0.003,0.05824568495154381,1.0723004341125488,3.1170560836791994,390860
145,133.89,19708,235.61434606,2314,8,-183.23333740234375,0.003,0.05780560150742531,0.7420976161956787,3.7859779715538027,392140
146,133.0,19781,233.90954013,2322,8,-183.49896240234375,0.003,0.061280764639377594,2.7481725215911865,3.988501691818237,393600
147,132.86,19917,233.73305874999997,2337,8,-185.58627319335938,0.003,0.0823834016919136,-0.2025211602449417,4.63320552110672,396320
148,133.44,20044,235.10406149000002,2351,8,-186.10739135742188,0.003,0.09260419756174088,0.5953166484832764,5.165088224411011,398860
149,133.05,20170,234.78482376000002,2366,8,-189.72494506835938,0.003,0.09789423644542694,-0.6569603085517883,5.16092803478241,401380
150,133.32,20312,235.49188567,2382,8,-184.08816528320312,0.003,0.10178302973508835,-1.1197242736816406,5.1950438022613525,404220
151,133.39,20425,235.90845149,2395,8,-187.5147705078125,0.003,0.09446001797914505,-0.4193841814994812,4.554839169979095,406480
152,133.97,20568,237.35356895999996,2412,8,-185.51548767089844,0.003,0.08632344007492065,0.27553367614746094,4.91293466091156,409340
153,134.18,20699,237.71340304999998,2428,8,-177.73907470703125,0.003,0.07584473490715027,-0.9697932004928589,4.72193261384964,411960
154,134.5,20867,238.13225872999996,2449,8,-177.11895751953125,0.003,0.06634876877069473,1.0087871551513672,4.857276225090027,415320
155,135.13,21086,239.06048054,2475,8,-173.81260681152344,0.003,0.05320924147963524,-0.9536318778991699,3.3105711817741392,419700
156,133.56,21301,238.24284366999996,2501,8,-170.9766845703125,0.003,0.05275939032435417,0.29536759853363037,3.5725805163383484,424000
157,134.48,21487,239.87864039,2522,8,-171.14015197753906,0.003,0.056446656584739685,1.69696044921875,3.1709654211997984,427720
158,134.06,21630,239.55315098999995,2538,8,-169.4068603515625,0.003,0.060572005808353424,0.7207434177398682,4.33936859369278,430580
159,134.36,21799,240.09492504000002,2556,8,-170.95008850097656,0.003,0.07285431772470474,0.7154479622840881,4.360864293575287,433960
160,134.29,21941,240.02939646,2573,8,-172.70880126953125,0.003,0.08201529830694199,-0.046864718198776245,3.528783118724823,436800
161,133.07,22032,237.98643771000002,2584,8,-168.6068115234375,0.003,0.07736880332231522,0.06624904274940491,3.8499743580818175,438620
162,132.76,22163,237.84261494999998,2599,8,-168.94717407226562,0.003,0.08219970017671585,-1.2970150709152222,3.780858504772186,441240
163,132.76,22254,237.64248132999998,2610,8,-170.92193603515625,0.003,0.08512040972709656,0.27692002058029175,4.196531045436859,443060
164,129.77,22349,234.72213984,2621,8,-168.72006225585938,0.003,0.08312191814184189,0.050943583250045776,6.5420135140419005,444960
165,129.65,22484,234.47923546,2637,8,-171.18075561523438,0.003,0.07514685392379761,-1.3953163623809814,3.3762943387031554,447660
166,130.09,22636,235.4326441,2655,8,-167.4344940185547,0.003,0.06704874336719513,0.08490803837776184,2.9248013854026795,450700
167,130.04,22761,235.24318572,2670,8,-165.4964599609375,0.003,0.060666125267744064,-2.0040411949157715,3.1073208510875703,453200
168,130.43,22913,235.75930319000003,2687,8,-169.21287536621094,0.003,0.05578293651342392,0.4519328474998474,2.4881788313388826,456240
169,130.43,23088,235.90593650000002,2708,8,-165.422119140625,0.003,0.054627224802970886,1.2555291652679443,2.4367404639720918,459740
170,130.62,23220,236.14082892000002,2723,8,-163.524169921875,0.003,0.06173698604106903,0.8227682709693909,3.7894395530223846,462380
171,130.86,23345,236.37602972000005,2738,8,-163.3361358642578,0.003,0.05883842706680298,0.8386339545249939,3.088911402225494,464880
172,131.22,23477,236.99489823000005,2754,8,-163.84317016601562,0.003,0.06306932866573334,-1.9530538320541382,3.124714708328247,467520
173,131.69,23617,238.28796053000002,2770,8,-164.7535400390625,0.003,0.0651845932006836,-0.20191100239753723,2.918718183040619,470320
174,132.45,23788,240.02857115999998,2790,8,-167.19139099121094,0.003,0.06886141002178192,1.832045555114746,3.1924280762672423,473740
175,132.81,23927,240.88009361000002,2807,8,-166.28610229492188,0.003,0.06815914064645767,0.28247883915901184,2.9592186331748964,476520
176,133.14,24068,241.97610717,2824,8,-167.22268676757812,0.003,0.0714883953332901,1.174890398979187,2.669431722164154,479340
177,133.86,24214,243.99284066,2842,8,-169.0662841796875,0.003,0.0761168971657753,-1.1867011785507202,2.840904426574707,482260
178,134.22,24363,244.66262747000002,2860,8,-167.71502685546875,0.003,0.06812169402837753,-0.26889121532440186,2.5467946350574495,485240
179,134.86,24542,246.45021227,2881,8,-163.53179931640625,0.003,0.059878356754779816,-0.3576955199241638,2.616555893421173,488820
180,135.51,24697,248.38659445000005,2899,8,-166.11651611328125,0.003,0.0608212873339653,0.8546354174613953,2.1208218932151794,491920
181,136.36,24855,250.67676129000003,2918,8,-165.689208984375,0.003,0.05607207491993904,0.8784810304641724,2.1594620883464812,495080
182,136.97,25001,252.4896427,2937,8,-163.95758056640625,0.003,0.059176746755838394,1.0514073371887207,2.555558466911316,498000
183,137.23,25149,253.58889592999995,2955,8,-165.0481719970703,0.003,0.059716545045375824,0.9685834050178528,2.2331777095794676,500960
184,137.09,25295,253.81694324000003,2973,8,-163.93896484375,0.003,0.061057429760694504,1.024670124053955,2.4578705191612245,503880
185,137.11,25439,254.47793921000002,2991,8,-165.92918395996094,0.003,0.06056753173470497,-0.040708303451538086,2.0358924150466917,506760
186,136.99,25579,254.71508146999997,3008,8,-165.07754516601562,0.003,0.05883919820189476,-0.9086282253265381,2.2601732671260835,509560
187,136.9,25697,254.67517112,3023,8,-166.04330444335938,0.003,0.0578472763299942,0.24992427229881287,2.0194590508937837,511920
188,137.23,25862,255.17785883999997,3043,8,-166.1505889892578,0.003,0.056630250066518784,-1.5223827362060547,2.396021467447281,515220
189,137.29,25989,255.62348244,3058,8,-166.4821319580078,0.003,0.055285051465034485,0.4498714804649353,2.3774404168128966,517760
190,137.73,26131,256.61730166,3078,8,-163.24057006835938,0.003,0.058263808488845825,-0.5429449081420898,2.2567208766937257,520600
191,138.2,26269,257.93411464,3095,8,-166.93194580078125,0.003,0.06005456671118736,-0.8215306401252747,2.3548481583595278,523360
192,138.08,26410,258.21098752,3111,8,-164.26763916015625,0.003,0.061084598302841187,-0.40692421793937683,2.1452672243118287,526180
193,137.44,26543,257.54388723000005,3126,8,-164.8838348388672,0.003,0.06425140053033829,-0.629440188407898,2.2246307849884035,528840
194,137.15,26647,256.99387858,3138,8,-164.53329467773438,0.003,0.06243574991822243,-0.022588104009628296,2.149555134773254,530920
195,136.8,26776,256.75144859000005,3153,8,-160.93869018554688,0.003,0.06484230607748032,-1.3327152729034424,2.4018422424793244,533500
196,136.49,26950,257.09343085000006,3173,8,-164.24996948242188,0.003,0.06419716775417328,0.5130505561828613,2.390285778045654,536980
197,136.72,27100,258.54012777,3190,8,-160.0704345703125,0.003,0.06649335473775864,0.3506602346897125,2.2602809727191926,539980
198,136.69,27236,259.00452818,3205,8,-161.43971252441406,0.003,0.0641254261136055,0.39348506927490234,2.227358430624008,542700
199,136.87,27395,260.32233334999995,3223,8,-163.92645263671875,0.003,0.06435451656579971,1.9350049495697021,2.202590137720108,545880
200,137.89,27674,261.96348726,3255,8,-161.34349060058594,0.003,0.0646422952413559,-0.22660517692565918,2.220260167121887,551460
201,137.45,27809,260.79224603,3270,8,-158.63473510742188,0.003,0.06267979741096497,0.3992835283279419,2.1061147928237913,554160
202,137.47,27930,260.82534911000005,3283,8,-159.88729858398438,0.003,0.06343047320842743,0.5012693405151367,2.0500244379043577,556580
203,138.53,28140,263.50504388999997,3306,8,-160.35986328125,0.003,0.06297453492879868,0.39033520221710205,2.20068843960762,560780
204,138.58,28276,263.57331122000005,3321,8,-161.96798706054688,0.003,0.05920911952853203,0.5046062469482422,2.365132826566696,563500
205,138.55,28376,262.89995216999995,3333,8,-162.90728759765625,0.003,0.05864854156970978,-1.2201298475265503,2.4824102401733397,565500
206,139.45,28587,265.57524075000003,3356,8,-162.83218383789062,0.003,0.058939967304468155,-0.9033829569816589,2.404705023765564,569720
207,140.16,28714,267.30984777,3371,8,-163.85125732421875,0.003,0.05748624727129936,-0.5674739480018616,3.0445364832878115,572260
208,140.43,28841,268.10764257999995,3385,8,-161.59423828125,0.003,0.06218680739402771,-0.30187463760375977,2.170006400346756,574800
209,140.21,28922,267.37185851,3394,8,-163.29490661621094,0.003,0.06334108114242554,0.4764980375766754,2.7668456077575683,576420
210,139.77,29013,266.40258309000006,3404,8,-162.2414093017578,0.003,0.06532847881317139,0.21410861611366272,2.5158549547195435,578240
211,139.41,29141,265.57294254,3418,8,-165.40606689453125,0.003,0.06491111218929291,-2.430140256881714,2.8839807748794555,580800
212,139.26,29288,265.55896419,3435,8,-164.4314727783203,0.003,0.06558650732040405,0.6091939210891724,2.9541507005691527,583740
