rollout/ep_rew_mean,time/episodes,time/total_timesteps,time/fps,rollout/ep_len_mean,time/time_elapsed,train/learning_rate,train/critic_loss,train/ent_coef_loss,train/ent_coef,train/n_updates,train/actor_loss
2.139972,1,14,80,14.0,0,,,,,,
1.2991700000000002,2,27,144,13.5,0,,,,,,
2.9961583333333337,3,55,257,18.333333333333332,0,,,,,,
3.9498182500000003,4,108,43,27.0,2,0.03,125.80746421813964,-1.2304524183273315,1.0839160680770874,140,50.6195068359375
2.1938392,5,117,32,23.4,3,0.03,86.09130859375,-2.1042399406433105,1.334359884262085,320,46.373023986816406
2.0761935,6,131,25,21.833333333333332,5,0.03,135.4314235687256,-2.2751855850219727,1.687035322189331,600,52.147701263427734
0.7632035714285713,7,145,21,20.714285714285715,6,0.03,11.495907068252563,4.136934280395508,1.8965978622436523,880,12.786299705505371
0.24227350000000003,8,152,20,19.0,7,0.03,10.45423345565796,3.0085363388061523,1.8039908409118652,1020,6.157683372497559
-0.22144066666666662,9,161,18,17.88888888888889,8,0.03,9.36575961112976,2.986942768096924,1.6115776300430298,1200,-1.7644907236099243
-0.4639173,10,173,17,17.3,9,0.03,7.377907228469849,1.708485722541809,1.3180075883865356,1440,-7.467929363250732
-0.7166920909090909,11,185,16,16.818181818181817,11,0.03,3.917009246349335,0.27356916666030884,1.0444319248199463,1680,-9.490114212036133
-0.9218625833333333,12,193,15,16.083333333333332,12,0.03,3.0651042580604555,-0.8061643242835999,0.884027898311615,1840,-11.70425796508789
-0.9395062307692308,13,206,14,15.846153846153847,13,0.03,1.8406029999256135,-2.7639055252075195,0.6625082492828369,2100,-11.863621711730957
-0.406394,14,372,11,26.571428571428573,32,0.03,0.3278918944299221,-1.7718431949615479,0.06809964030981064,5420,-18.585250854492188
7.919177133333333,15,699,9,46.6,70,0.03,1.0675790458917618,1.4350413084030151,0.06700927019119263,11960,-35.66827392578125
7.304229812499999,16,844,9,52.75,86,0.03,0.9207901984453202,-0.05468398332595825,0.09813198447227478,14860,-39.8614616394043
5.842642176470587,17,915,9,53.8235294117647,94,0.03,1.4236879169940948,0.7401124238967896,0.09823573380708694,16280,-41.21134948730469
5.588289944444444,18,1002,9,55.666666666666664,104,0.03,1.3830882489681244,0.9326387047767639,0.11169139295816422,18020,-44.198081970214844
5.8006372105263155,19,1038,9,54.63157894736842,108,0.03,1.7423721730709076,-0.9464067220687866,0.11041436344385147,18740,-45.394927978515625
4.338065049999999,20,1131,9,56.55,119,0.03,2.7796462416648864,1.6494240760803223,0.11500975489616394,20600,-43.753482818603516
4.118341714285714,21,1225,9,58.333333333333336,130,0.03,2.733822762966156,-0.787693440914154,0.13383367657661438,22480,-46.94252014160156
3.702228590909091,22,1322,9,60.09090909090909,141,0.03,2.9543662905693053,-0.9706541895866394,0.1471223533153534,24420,-42.550235748291016
2.578834956521739,23,1431,9,62.21739130434783,153,0.03,2.970175087451935,-0.5447560548782349,0.14853936433792114,26600,-45.220970153808594
3.09027625,24,1534,9,63.916666666666664,165,0.03,4.63984602689743,-1.8311669826507568,0.16735945641994476,28660,-45.25366973876953
2.6337260399999995,25,1613,9,64.52,174,0.03,3.51601300239563,0.49164968729019165,0.16229169070720673,30240,-41.8814582824707
2.9529094615384612,26,1685,9,64.8076923076923,182,0.03,4.10926775932312,1.4595468044281006,0.1534053236246109,31680,-44.03227996826172
2.2676049629629627,27,1751,9,64.85185185185185,190,0.03,4.643519818782806,-0.8252531290054321,0.16383351385593414,33000,-43.109779357910156
2.5035225357142856,28,1863,9,66.53571428571429,203,0.03,5.131282234191895,1.573848843574524,0.1892910748720169,35240,-44.649200439453125
2.4947591034482755,29,1968,9,67.86206896551724,215,0.03,4.023394441604614,1.304024577140808,0.15823222696781158,37340,-50.88618087768555
4.105579266666666,30,2117,9,70.56666666666666,232,0.03,4.634124517440796,-0.7225163578987122,0.17914584279060364,40320,-54.187503814697266
14.733367322580644,31,2367,9,76.35483870967742,261,0.03,4.3301309704780575,-0.7200175523757935,0.1878024786710739,45320,-68.13004302978516
40.36110125,32,3059,8,95.59375,341,0.03,4.564854717254638,0.41187524795532227,0.16782961785793304,59160,-99.6296157836914
54.69417196969697,33,3535,8,107.12121212121212,395,0.03,6.687833952903747,-0.6476609706878662,0.1766231656074524,68680,-120.13048553466797
53.5891009117647,34,3701,8,108.8529411764706,414,0.03,10.435705184936523,1.7000846862792969,0.1915067732334137,72000,-119.67349243164062
53.40239165714286,35,3880,8,110.85714285714286,435,0.03,16.74079909324646,-0.6299080848693848,0.2896096408367157,75580,-114.71309661865234
66.26169630555555,36,4216,8,117.11111111111111,472,0.03,22.387464332580567,-0.22182616591453552,0.3669642508029938,82300,-123.85269927978516
75.56641754054053,37,4482,8,121.13513513513513,502,0.03,24.962142753601075,-0.3936978578567505,0.3475310504436493,87620,-148.90481567382812
83.65776115789473,38,4738,8,124.6842105263158,532,0.03,13.581203603744507,-0.16910697519779205,0.22714631259441376,92740,-157.19125366210938
83.89748705128204,39,4934,8,126.51282051282051,553,0.03,18.125380086898804,-1.3348735570907593,0.28011417388916016,96660,-160.44210815429688
91.268087325,40,5182,8,129.55,582,0.03,17.46482629776001,-0.24589884281158447,0.25659283995628357,101620,-146.9716796875
93.66823929268293,41,5290,8,129.02439024390245,594,0.03,23.09609260559082,0.513534665107727,0.3023321330547333,103780,-155.94915771484375
96.42011595238094,42,5416,8,128.95238095238096,608,0.03,33.73389720916748,0.304379403591156,0.33844563364982605,106300,-158.43809509277344
