time/total_timesteps,rollout/ep_len_mean,time/episodes,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/learning_rate,train/actor_loss,train/ent_coef_loss,train/ent_coef,train/n_updates,train/critic_loss
17,17.0,1,0,72,1.162707,,,,,,
33,16.5,2,0,131,1.2902015,,,,,,
78,26.0,3,0,271,4.255992333333333,,,,,,
105,26.25,4,3,27,3.904177,0.03,-6.991653418540954,0.23109684363007546,1.0346544593572617,80,1.3329547703266145
114,22.8,5,7,15,3.0879643999999997,0.03,-1.543819510936737,-14.741837215423583,0.09578038826584816,260,0.05959230624139309
163,27.166666666666668,6,26,6,1.429844,0.03,-4.546625757217408,-0.00396135151386261,0.11593173891305923,1240,0.46329164654016497
211,30.142857142857142,7,45,4,2.8486051428571426,0.03,-10.66145691871643,0.32620052099227903,0.19216808453202247,2200,1.3598890900611877
245,30.625,8,58,4,3.3459187499999996,0.03,-13.531015586853027,0.0020531594753265383,0.23964977264404297,2880,1.3263809561729432
294,32.666666666666664,9,77,3,4.649272666666666,0.03,-19.310600757598877,-0.35596532113850116,0.2718785390257835,3860,2.239356154203415
