rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,time/episodes,rollout/ep_rew_mean,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss,train/ent_coef,train/ent_coef_loss
12.0,317,12,0,1,-0.544222,,,,,,
14.0,595,28,0,2,0.11362,,,,,,
20.666666666666668,1024,62,0,3,4.175108666666667,,,,,,
21.5,1243,86,0,4,3.2362565,,,,,,
20.6,177,103,0,5,2.6045852,0.03,125.50582923889161,40,-2.427735927700996,1.5554164707660676,2.8225900292396546
21.666666666666668,18,130,6,6,2.8074603333333332,0.03,0.11492962948977947,580,-2.3749120235443115,0.028973013907670975,23.101192665100097
25.571428571428573,10,179,16,7,2.402394,0.03,0.1522780992090702,1560,-2.991812765598297,0.0566299756988883,-0.5807555474340915
43.125,8,345,42,8,28.9234515,0.03,1.3525896042585372,4880,-11.11503438949585,0.20595245882868768,0.09925399497151374
51.44444444444444,7,463,60,9,22.01567188888889,0.03,1.4304061710834504,7240,-17.840351390838624,0.18071053475141524,0.8258377648890018
66.0,7,660,90,10,23.3563265,0.03,1.4640443205833436,11180,-28.01319227218628,0.1624007046222687,-0.32746579945087434
78.54545454545455,6,864,126,11,45.92935009090909,0.03,6.176275551319122,15260,-38.16270217895508,0.2900300070643425,-0.2766533479094505
78.08333333333333,6,937,141,12,44.62258775,0.03,4.823561179637909,16720,-43.52373504638672,0.19698235020041466,-0.18846146389842033
75.76923076923077,6,985,147,13,42.25933776923077,0.03,6.983382368087769,17680,-48.76891918182373,0.39584629982709885,-0.27224805802106855
73.5,6,1029,157,14,41.82551542857143,0.03,6.893744659423828,18560,-51.08944854736328,0.1538679413497448,0.31172545850276945
69.2,6,1038,159,15,38.700664800000006,0.03,7.214947247505188,18740,-51.68733959197998,0.16868234872817994,0.5673712328076362
65.5625,6,1049,161,16,36.079583625,0.03,8.737263584136963,18960,-51.70858020782471,0.21983137726783752,-0.943159668892622
63.1764705882353,6,1074,164,17,34.2744174117647,0.03,6.451850271224975,19460,-52.03490390777588,0.1389588698744774,-0.015267489105463028
61.111111111111114,6,1100,168,18,32.842642999999995,0.03,11.647783207893372,19980,-51.748962593078616,0.20850548073649405,0.2910623669624329
62.526315789473685,6,1188,185,19,31.93143336842105,0.03,24.38148193359375,21740,-50.641679000854495,0.23496547788381578,0.6326263695955276
71.2,6,1424,228,20,42.144637849999995,0.03,37.722061252593996,26460,-66.78782901763915,0.43525846749544145,-0.5959860997274518
72.28571428571429,6,1518,243,21,39.43783952380952,0.03,40.19291954040527,28340,-74.50009956359864,0.4866385221481323,0.2153095468878746
71.54545454545455,6,1574,253,22,38.598527181818184,0.03,57.91209449768066,29460,-84.377885055542,0.4432291746139526,0.007142237573862076
69.43478260869566,6,1597,258,23,36.7959757826087,0.03,62.94670791625977,29920,-90.93771514892578,0.510181599855423,0.19597036801278592
67.70833333333333,6,1625,264,24,35.38693745833333,0.03,123.34737205505371,30480,-87.90221977233887,0.7133922457695008,-0.1621988920494914
67.2,6,1680,276,25,34.03309996,0.03,107.50719718933105,31580,-107.93103828430176,0.877322992682457,-0.0010409163078293204
65.61538461538461,6,1706,279,26,32.35735557692308,0.03,96.07431907653809,32100,-111.25298805236817,0.6835656225681305,-0.01918437285348773
65.48148148148148,6,1768,288,27,31.512023592592595,0.03,70.84508781433105,33340,-112.99504852294922,0.6489880919456482,-0.0784603226929903
65.46428571428571,6,1833,301,28,29.41846135714286,0.03,61.5665958404541,34640,-111.23795585632324,0.496804541349411,0.31201629117131235
69.51724137931035,6,2016,327,29,28.527491310344832,0.03,55.736917877197264,38300,-101.25042953491212,0.3702964708209038,0.262284617125988
70.53333333333333,6,2116,347,30,28.356558333333336,0.03,37.428260803222656,40300,-93.9192684173584,0.335299177467823,-0.3937392296269536
71.35483870967742,5,2212,369,31,27.858881387096776,0.03,46.49166774749756,42220,-86.33881645202636,0.3040370523929596,1.0877398919314145
73.09375,5,2339,392,32,27.807971343749998,0.03,42.31929817199707,44760,-83.19531211853027,0.2927327215671539,1.226870658993721
75.15151515151516,5,2480,417,33,30.38668809090909,0.03,41.71960620880127,47580,-73.15178604125977,0.37693389803171157,-0.3462567314505577
77.76470588235294,5,2644,450,34,38.361656499999995,0.03,69.02821712493896,50860,-86.4077247619629,0.3878856122493744,0.2387356698513031
78.6,5,2751,467,35,37.09103934285714,0.03,75.65896778106689,53000,-78.24379615783691,0.40224696397781373,0.19696628097444774
80.16666666666667,5,2886,490,36,42.830597444444436,0.03,63.70153579711914,55700,-82.48324661254883,0.4294811561703682,-0.14685832038521768
