rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,time/total_timesteps,time/episodes,train/critic_loss,train/learning_rate,train/n_updates,train/actor_loss,train/ent_coef_loss,train/ent_coef
-0.890133,0,47,11.0,11,1,,,,,,
0.651424,0,130,17.5,35,2,,,,,,
0.49485266666666666,0,178,17.333333333333332,52,3,,,,,,
0.7024874999999999,0,215,16.5,66,4,,,,,,
0.635138,2,48,20.4,102,5,20.409227085113525,0.003,20,-3.30769744515419,-0.15032832426950335,0.9784505933523178
0.5277353333333333,4,25,18.833333333333332,113,6,0.21319139525294303,0.003,240,-6.073312067985535,-4.639963269233704,0.504731796681881
8.930483857142857,32,8,40.142857142857146,281,7,0.18234633952379226,0.003,3600,-24.858184814453125,0.15093124359846116,0.1418677404522896
6.160350625,43,8,44.0,352,8,0.2557616874575615,0.003,5020,-28.836054039001464,0.004432772099971771,0.1599736914038658
36.57633311111111,76,7,63.111111111111114,568,9,0.4506218731403351,0.003,9340,-60.247986221313475,0.1561600198969245,0.22973390966653823
36.007220000000004,88,7,63.7,637,10,7.964238166809082,0.003,10720,-94.26340293884277,0.036030207807198164,0.7635439455509185
36.526529272727274,122,6,76.27272727272727,839,11,23.93308296203613,0.003,14760,-211.59593658447267,0.05184900751337409,1.5006762385368346
45.71358850000001,172,6,93.66666666666667,1124,12,215.13850860595704,0.003,20460,-584.9128540039062,-0.08329006861895323,3.5611263155937194
61.472659923076925,198,6,97.15384615384616,1263,13,1042.8453643798828,0.003,23240,-1059.541943359375,0.09580302014946937,6.766730403900146
56.167491999999996,216,6,97.07142857142857,1359,14,993.1022094726562,0.003,25160,-1257.606951904297,0.09370881617069245,7.961809182167054
57.5458644,238,6,102.0,1530,15,1883.0952392578124,0.003,28580,-1783.038262939453,-0.025278938561677934,9.090376901626588
53.456593375000004,251,6,101.375,1622,16,1994.4334289550782,0.003,30420,-2076.876806640625,-0.028509149327874184,10.845458269119263
68.66202617647059,280,6,105.41176470588235,1792,17,4023.419055175781,0.003,33820,-2900.2345703125,0.23037830367684364,13.825619745254517
84.13738205555556,308,6,110.0,1980,18,24144.134033203125,0.003,37580,-4178.732897949219,0.35673789530992506,20.260434055328368
81.78195884210527,325,6,108.47368421052632,2061,19,25516.64765625,0.003,39200,-5118.503442382813,9.601376950740814e-05,24.038094997406006
77.24134125,342,6,107.8,2156,20,34300.074609375,0.003,41100,-6533.7740234375,-0.6638526700437068,32.27508411407471
73.39609595238096,356,6,105.9047619047619,2224,21,47524.4234375,0.003,42460,-7685.056396484375,0.4944138742983341,38.322252082824704
82.54461777272728,378,6,106.77272727272727,2349,22,120016.966015625,0.003,44960,-10513.4533203125,-0.21054001599550248,46.24521465301514
94.87225091304349,422,6,112.65217391304348,2591,23,199786.0265625,0.003,49800,-16776.92158203125,-0.5760683596134186,68.66066360473633
91.01028204166668,431,6,110.41666666666667,2650,24,399377.5203125,0.003,50980,-18175.21826171875,-0.10149976909160614,67.45325202941895
86.80393080000002,459,6,112.8,2820,25,595590.3578125,0.003,54380,-23039.296875,0.24337128400802613,86.79076499938965
101.17451253846156,502,6,119.03846153846153,3095,26,3288044.2,0.003,59880,-45777.5947265625,0.35051916986703874,180.46706771850586
97.74311155555559,513,6,117.29629629629629,3167,27,4012237.4625,0.003,61320,-54655.633203125,-0.26765484139323237,215.9319953918457
95.17798571428575,519,6,114.53571428571429,3207,28,5170588.25,0.003,62120,-58834.635546875,0.17767101787030698,234.60416946411132
100.44391355172417,540,6,115.62068965517241,3353,29,10420891.725,0.003,65040,-84156.409765625,0.5284583434462548,328.82374267578126
107.78574593333336,564,6,117.36666666666666,3521,30,19191629.45,0.003,68400,-113020.525390625,-0.8597988978028297,456.592236328125
104.94808958064517,578,6,117.0,3627,31,20605629.7,0.003,70520,-124938.865234375,0.5647822350263596,524.2928131103515
111.06882771875,612,6,118.9375,3806,32,28305743.3,0.003,74100,-156109.078125,0.854182405769825,595.6331512451172
121.41567109090909,664,6,124.57575757575758,4111,33,35329707.8,0.003,80200,-195163.278125,0.028466016054153442,701.3386413574219
118.4440725882353,674,6,122.44117647058823,4163,34,35385376.9,0.003,81240,-199960.43671875,-0.17828979417681695,709.58759765625
115.30789014285715,681,6,119.91428571428571,4197,35,35305201.6,0.003,81920,-200962.40078125,0.6699118599295616,732.6519317626953
112.49779427777779,691,6,117.83333333333333,4242,36,42389066.6,0.003,82820,-206458.0640625,1.167306660115719,738.1367584228516
109.6942708108108,697,6,115.45945945945945,4272,37,39659789.3,0.003,83420,-210714.73828125,0.2797682657837868,745.3360931396485
107.93388457894736,714,6,114.89473684210526,4366,38,44680124.0,0.003,85300,-221544.72890625,0.05804653316736221,772.0055908203125
105.23008133333333,725,6,113.43589743589743,4424,39,43744180.4,0.003,86460,-222116.4265625,1.2244545668363571,785.4161682128906
103.21719349999998,742,6,112.8,4512,40,46316444.8,0.003,88220,-230218.8640625,0.4541804760694504,762.4237670898438
105.12164731707315,794,6,116.85365853658537,4791,41,50264605.0,0.003,93800,-247452.5515625,-0.22733430564403534,820.8622802734375
105.81359028571426,871,5,123.54761904761905,5189,42,59281877.4,0.003,101760,-250906.321875,-0.16624058037996292,886.3885345458984
103.4115272325581,884,5,122.4186046511628,5264,43,61578499.0,0.003,103260,-257599.50703125,-0.2724078863859177,918.7001953125
102.02766352272724,909,5,122.54545454545455,5392,44,77462880.0,0.003,105820,-268094.00625,1.039852812886238,981.31826171875
