time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,time/episodes,train/n_updates,train/ent_coef_loss,train/learning_rate,train/ent_coef,train/critic_loss,train/actor_loss
0,6.690216,32.0,32,156,1,,,,,,
0,-0.846962,34.5,69,277,2,,,,,,
0,1.48651,30.333333333333332,91,331,3,,,,,,
0,-0.1908302500000001,25.0,100,348,4,,,,,,
33,-1.3186956,47.4,237,7,5,2720,9.400431942939758,0.03,0.03274272698909044,0.5267236530780792,-1.8024167478084565
45,-2.6700886666666666,49.333333333333336,296,6,6,3900,-10.214199352264405,0.03,0.02342848666012287,0.7045476406812667,-0.8763497769832611
49,-3.1497747142857144,44.857142857142854,314,6,7,4260,-0.5339872941374779,0.03,0.06688579879701137,0.8348881036043168,-1.3019811153411864
57,-1.4343983750000002,47.125,377,6,8,5520,-8.074073976278305,0.03,0.05588946770876646,1.264746630191803,-0.5548556987196207
64,-2.2166351111111116,46.22222222222222,416,6,9,6300,-6.650745797157287,0.03,0.06990176811814308,1.003775417804718,-0.35193905532360076
69,-0.7813398000000003,43.8,438,6,10,6740,-1.670786227285862,0.03,0.08984602801501751,0.7423529684543609,-0.3948411703109741
70,-0.9040725454545456,40.45454545454545,445,6,11,6880,0.7702238358557224,0.03,0.0707846987992525,0.6380912974476814,0.014963840693235397
71,-0.5230786666666668,38.166666666666664,458,6,12,7140,-2.0159475564956666,0.03,0.13907234966754914,1.0762879580259324,0.9390955403447151
81,-0.8039884615384617,40.61538461538461,528,6,13,8540,-3.133763384819031,0.03,0.050959356129169464,1.0971749007701874,0.6133199863135814
96,2.1289540714285713,44.0,616,6,14,10300,-0.6454514130949974,0.03,0.1106976579874754,1.6653816640377044,-1.7103365987539292
101,1.1169508666666668,43.0,645,6,15,10880,0.7925332382321357,0.03,0.23096920549869537,2.958173131942749,-1.9764492988586426
105,0.6210844999999999,41.625,666,6,16,11300,0.12329301610589027,0.03,0.20006538927555084,2.952961766719818,-5.978474187850952
129,13.981899117647059,47.88235294117647,814,6,17,14260,-0.6745268747210502,0.03,0.09886239431798458,2.6208389043807983,-9.376507353782653
159,29.22727611111111,55.5,999,6,18,17960,-2.0666907280683517,0.03,0.12113793715834617,4.57767950296402,-13.090578651428222
194,30.81951426315789,64.3157894736842,1222,6,19,22420,-1.8953145377337932,0.03,0.047149165160954,7.354386830329895,-13.16685152053833
218,41.928991999999994,68.65,1373,6,20,25440,-0.1281049519777298,0.03,0.10381180681288242,8.761950731277466,-20.372420501708984
224,41.188668952380944,67.76190476190476,1423,6,21,26440,1.7010838381946087,0.03,0.0527669558301568,13.46533751487732,-20.76461057662964
255,43.41948899999999,73.31818181818181,1613,6,22,30240,12.544562721252442,0.03,0.035309911239892244,13.64144263267517,-14.516507959365844
293,45.118394695652164,78.65217391304348,1809,6,23,34160,5.7021852970123295,0.03,0.12174920253455639,13.649515676498414,-9.121286404132842
325,46.610695666666665,83.45833333333333,2003,6,24,38040,-1.0334830313920975,0.03,0.1251697301864624,32.94036455154419,2.9825840473175047
354,47.360820679999996,86.92,2173,6,25,41440,1.5706078171730042,0.03,0.06946026459336281,22.114228630065917,20.645913219451906
394,48.05246384615384,90.42307692307692,2351,5,26,45000,4.5462515473365785,0.03,0.10979287326335907,42.46314134597778,39.95076580047608
433,50.61819144444444,95.66666666666667,2583,5,27,49640,-2.2176358819007875,0.03,0.17023710533976555,53.399618816375735,54.15330696105957
465,52.44502096428572,98.07142857142857,2746,5,28,52900,2.2565412700176237,0.03,0.3395803816616535,137.9427188873291,58.53528823852539
479,53.534748586206895,97.13793103448276,2817,5,29,54320,0.033660086989402774,0.03,0.10147602669894695,100.66690521240234,69.78160362243652
507,59.418612599999996,98.13333333333334,2944,5,30,56860,-6.861047077178955,0.03,0.08284268155694008,89.45173263549805,66.7463809967041
529,65.85679341935484,99.51612903225806,3085,5,31,59680,-0.03823545910418034,0.03,0.13763497658073903,92.88252201080323,70.15577068328858
566,74.2632369375,104.65625,3349,5,32,64960,1.4839339047670363,0.03,0.11457861699163914,100.1533540725708,75.11386413574219
568,72.09231975757575,102.0,3366,5,33,65300,11.219992852210998,0.03,0.089476328343153,123.42220878601074,68.19666843414306
570,69.84727985294117,99.29411764705883,3376,5,34,65500,0.3537860233336687,0.03,0.5490650355815887,152.4231876373291,68.21769752502442
572,67.61354968571429,96.71428571428571,3385,5,35,65680,-0.09292530007660389,0.03,1.1215072989463806,137.59590263366698,62.61560688018799
574,65.55932266666667,94.25,3393,5,36,65840,-0.20802209265530108,0.03,1.1877169907093048,171.06822090148927,52.05851821899414
575,63.61797262162162,91.89189189189189,3400,5,37,65980,-0.16226293295621871,0.03,1.2770503401756286,177.25730667114257,46.36525382995605
577,61.773507789473676,89.65789473684211,3407,5,38,66120,-0.03813661453314125,0.03,1.454201775789261,144.52798767089843,36.879854106903075
579,59.99083615384615,87.56410256410257,3415,5,39,66280,-0.15880623310804368,0.03,1.3000198006629944,116.38539047241211,27.113226222991944
580,58.296762650000005,85.55,3422,5,40,66420,-0.03914256892167032,0.03,1.2395853340625762,120.52427368164062,23.23977909088135
582,56.643679170731716,83.6829268292683,3431,5,41,66600,-0.030681948480196296,0.03,1.0145502835512161,110.11245384216309,18.70852150917053
585,55.06999400000001,81.9047619047619,3440,5,42,66780,-0.0864050842821598,0.03,0.9470688253641129,221.85119857788087,21.401637077331543
587,53.60882418604652,80.27906976744185,3452,5,43,67020,0.5147809445858001,0.03,0.6587277859449386,163.4835262298584,5.81468591094017
602,52.14757493181819,79.8409090909091,3513,5,44,68240,-0.48524670079350474,0.03,0.228690954297781,27.252683448791505,21.104221630096436
647,53.146612600000005,82.75555555555556,3724,5,45,72460,-0.26302668154239656,0.03,0.04841804932802916,24.753247833251955,25.005784034729004
685,53.1678537826087,84.54347826086956,3889,5,46,75760,1.9424386084079743,0.03,0.059943351149559024,18.59486985206604,26.589780044555663
725,53.885346234042565,87.02127659574468,4090,5,47,79780,3.178570273518562,0.03,0.11080405637621879,22.524618244171144,26.106845474243165
755,54.15408881249999,88.95833333333333,4270,5,48,83380,-0.44742911905050275,0.03,0.05453635174781084,27.999407386779787,29.44986743927002
795,55.12518751020407,91.55102040816327,4486,5,49,87700,1.1870171349495648,0.03,0.08245243728160859,18.61147246360779,28.281063270568847
835,55.26235381999999,93.2,4660,5,50,91180,0.43433419354259967,0.03,0.08190076202154159,14.321944284439088,26.30960807800293
881,55.89957799999999,95.29411764705883,4860,5,51,95180,-0.4145966574549675,0.03,0.068218944221735,11.544182682037354,24.857329845428467
952,58.88620571153846,99.71153846153847,5185,5,52,101680,1.907923773676157,0.03,0.07360935136675835,15.058494281768798,21.02810707092285
989,64.04528618867924,101.79245283018868,5395,5,53,105880,-1.6961008066311478,0.03,0.07055032309144735,9.803535890579223,15.236781215667724
1033,64.68057425925925,103.81481481481481,5606,5,54,110100,-2.529378931224346,0.03,0.05712700244039297,11.666851711273193,12.036690616607666
1076,70.06175154545454,106.23636363636363,5843,5,55,114840,0.9020351156592369,0.03,0.06563912481069564,8.014757871627808,5.10380549132824
1105,70.79482325000001,108.35714285714286,6068,5,56,119340,3.502248251438141,0.03,0.04810090102255345,6.395914995670319,2.0090440660715103
1155,75.93885740350876,110.66666666666667,6308,5,57,124140,0.029768629372119902,0.03,0.08467691540718078,8.173126769065856,-0.8829510614275933
1201,76.9693410689655,113.05172413793103,6557,5,58,129120,-0.7148928016424179,0.03,0.08515038825571537,8.360710191726685,-1.3160028174519538
1238,77.87426130508473,115.27118644067797,6801,5,59,134000,-1.8859735667705535,0.03,0.08421035334467888,7.473224067687989,-3.6343901261687277
1289,78.89142571666666,117.53333333333333,7052,5,60,139020,-0.6342394150793552,0.03,0.06645117439329624,8.257845330238343,-3.6092290073633193
1341,79.77337662295082,119.62295081967213,7297,5,61,143920,0.7297145038843155,0.03,0.04144110661000013,9.398661756515503,-2.905568797886372
1380,84.18798941935484,121.37096774193549,7525,5,62,148480,-1.5457713216543199,0.03,0.08353092074394226,9.026605725288391,-4.301173132658005
1410,84.49909179365079,122.87301587301587,7741,5,63,152800,-5.085616207122802,0.03,0.06855524927377701,12.079655146598816,-5.279215443134308
1454,88.7206818125,124.546875,7971,5,64,157400,2.53233962059021,0.03,0.04781425390392542,7.733884358406067,-8.585175275802612
1489,92.52730195384616,125.87692307692308,8182,5,65,161620,1.6076334595680237,0.03,0.06415695399045944,8.29237802028656,-9.684978866577149
