rollout/ep_rew_mean,time/fps,time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,train/critic_loss,train/ent_coef,train/n_updates,train/learning_rate,train/ent_coef_loss,train/actor_loss
-0.792712,544,1,0,19,19.0,,,,,,
0.5308010000000001,860,2,0,41,20.5,,,,,,
0.4220773333333334,1002,3,0,57,19.0,,,,,,
-0.5250884999999998,1063,4,0,67,16.75,,,,,,
-1.157473,1144,5,0,82,16.4,,,,,,
-0.3815096666666666,1217,6,0,100,16.666666666666668,,,,,,
-0.6632557142857143,4,7,26,121,17.285714285714285,1277.4913269042968,1.5599236488342285,400,0.03,-8.760516166687012,115.2386245727539
-0.665487125,3,8,38,130,16.25,2293.6834045410155,2.010049343109131,580,0.03,-14.661195755004883,160.47723388671875
-0.7859708888888889,2,9,48,137,15.222222222222221,3405.028210449219,2.4524528980255127,720,0.03,-19.946550369262695,201.12704467773438
-1.1325785,2,10,58,144,14.4,5453.397802734375,3.0062878131866455,860,0.03,-23.3304443359375,259.98828125
-1.0691068181818182,2,11,76,158,14.363636363636363,12066.30224609375,4.533296585083008,1140,0.03,-32.783966064453125,417.89990234375
-1.0671405833333334,1,12,91,168,14.0,2974.611962890625,6.006272792816162,1340,0.03,11.890243530273438,223.87136840820312
-1.1395920000000002,1,13,100,175,13.461538461538462,1361.0339904785155,6.545341491699219,1480,0.03,9.130921363830566,163.66793823242188
-1.223222642857143,1,14,109,182,13.0,1476.5980895996095,6.640852451324463,1620,0.03,10.426813125610352,135.08929443359375
-1.3549559333333334,1,15,117,188,12.533333333333333,1095.1037353515626,6.523388385772705,1740,0.03,8.508027076721191,99.84103393554688
-1.4049909375,1,16,126,195,12.1875,1306.5549682617188,6.278332233428955,1880,0.03,7.639911651611328,65.83348846435547
-1.520895411764706,1,17,134,202,11.882352941176471,1783.8040100097655,5.991626262664795,2020,0.03,8.453742980957031,34.81357192993164
-1.5614813888888888,1,18,144,209,11.61111111111111,1249.8479553222655,5.683773517608643,2160,0.03,7.979045391082764,10.684394836425781
-1.6172925263157893,1,19,153,216,11.368421052631579,895.4302673339844,5.36008358001709,2300,0.03,9.1304292678833,-10.131891250610352
-1.6073609999999998,1,20,164,224,11.2,891.6411285400391,4.972476959228516,2460,0.03,9.562744140625,-25.665660858154297
-1.6662641904761901,1,21,173,231,11.0,580.78115234375,4.624127388000488,2600,0.03,9.300911903381348,-34.481903076171875
-1.6950686363636362,1,22,182,238,10.818181818181818,356.00277557373045,4.2732834815979,2740,0.03,8.675914764404297,-36.880859375
-1.5914106521739129,1,23,198,250,10.869565217391305,306.18650207519534,3.684636116027832,2980,0.03,8.406890869140625,-42.70191955566406
-1.7407982916666667,1,24,229,273,11.375,165.26896209716796,2.6762795448303223,3440,0.03,6.449210166931152,-40.06846618652344
-1.682165,1,25,273,307,12.28,85.20576629638671,1.6002674102783203,4120,0.03,2.7708098888397217,-36.413658142089844
-2.0041797307692306,1,26,294,323,12.423076923076923,74.50300540924073,1.2644033432006836,4440,0.03,1.3457891941070557,-32.182220458984375
-2.026956851851852,1,27,325,347,12.851851851851851,62.11693000793457,0.9038903713226318,4920,0.03,-0.5054605007171631,-30.39282989501953
