time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_len_mean,train/ent_coef_loss,train/n_updates,train/ent_coef,train/critic_loss,train/actor_loss,train/learning_rate
224,18.3683,0,44,1,44.0,,,,,,
286,6.758149000000001,0,61,2,30.5,,,,,,
370,6.865744333333335,0,90,3,30.0,,,,,,
17,5.423651250000001,6,114,4,28.5,-2.158228635787964,260,1.2521085739135742,94.35915451049804,50.903419494628906,0.03
12,4.4018224,9,124,5,24.8,-1.6119332313537598,460,1.5245026350021362,97.78157691955566,55.296104431152344,0.03
9,4.214776666666666,13,139,6,23.166666666666668,4.135185241699219,760,1.8337515592575073,9.916577219963074,27.461017608642578,0.03
8,3.186797714285714,17,150,7,21.428571428571427,3.7989373207092285,980,1.7708238363265991,10.24909999370575,16.396509170532227,0.03
8,2.7051145000000005,19,158,8,19.75,2.903618335723877,1140,1.6136449575424194,10.19041337966919,9.478662490844727,0.03
7,2.100951666666667,21,166,9,18.444444444444443,2.2653775215148926,1300,1.437971591949463,9.355220413208007,5.417463302612305,0.03
7,1.4596470000000004,23,173,10,17.3,1.4778611660003662,1440,1.2857404947280884,7.562829542160034,0.9135536551475525,0.03
6,1.3152599090909094,26,182,11,16.545454545454547,0.6408541798591614,1620,1.1034719944000244,6.631759071350098,-3.6664061546325684,0.03
6,0.9780682500000003,29,192,12,16.0,-0.5670444369316101,1820,0.9176148176193237,4.2527042627334595,-6.396434783935547,0.03
6,0.6020290769230772,33,205,13,15.76923076923077,-2.325678825378418,2080,0.7092083692550659,2.5012375950813293,-8.625795364379883,0.03
5,-0.031262999999999784,38,224,14,16.0,-4.693630218505859,2460,0.47776147723197937,1.0724613547325135,-10.282608032226562,0.03
4,20.5231172,102,439,15,29.266666666666666,1.001913070678711,6760,0.06853139400482178,0.32809338718652725,-33.280235290527344,0.03
4,38.0482713125,152,614,16,38.375,0.9246984124183655,10260,0.08835349977016449,0.8589180439710618,-54.826927185058594,0.03
3,54.345237764705885,210,821,17,48.294117647058826,0.3502877354621887,14400,0.13567228615283966,6.675847947597504,-83.81187438964844,0.03
3,65.37613866666668,254,968,18,53.77777777777778,0.44100385904312134,17340,0.19382990896701813,5.269786262512207,-102.21163940429688,0.03
3,87.83442505263159,358,1343,19,70.6842105263158,0.5725033283233643,24840,0.23751680552959442,4.203835368156433,-140.96136474609375,0.03
3,82.94654625000001,380,1418,20,70.9,-0.2764171361923218,26340,0.19325494766235352,5.099564552307129,-138.75665283203125,0.03
3,97.16748280952382,479,1758,21,83.71428571428571,-1.1843452453613281,33140,0.17294414341449738,15.856221437454224,-158.23117065429688,0.03
3,103.08979518181819,512,1877,22,85.31818181818181,-0.1664983034133911,35520,0.15561138093471527,19.882903981208802,-163.10452270507812,0.03
