time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/episodes,train/learning_rate,train/ent_coef_loss,train/critic_loss,train/ent_coef,train/actor_loss,train/n_updates
51,51.0,0,78.90539,213,1,,,,,,
79,39.5,0,53.0193205,295,2,,,,,,
109,36.333333333333336,2,41.14623566666666,36,3,0.003,-0.015929479151964188,0.7974070250988007,0.9941240549087524,-6.023283004760742,160
134,33.5,5,37.799618249999995,23,4,0.003,-0.23485544323921204,0.36947301030158997,0.9238293766975403,-12.873116493225098,660
176,35.2,10,34.6135508,16,5,0.003,-0.5938729643821716,0.39727658554911616,0.8089186549186707,-21.639060974121094,1500
222,37.0,15,42.04441666666666,13,6,0.003,-0.7993607521057129,0.2707279175519943,0.7089023590087891,-32.640586853027344,2420
271,38.714285714285715,21,48.25106442857142,12,7,0.003,-0.9477425813674927,1.170075187087059,0.6230090260505676,-44.54322814941406,3400
300,37.5,24,48.26568775,12,8,0.003,-0.9090350866317749,1.7633199870586396,0.5833723545074463,-52.32866668701172,3980
326,36.22222222222222,27,47.763095111111106,11,9,0.003,-1.1414268016815186,0.8454472362995148,0.5505334138870239,-57.879486083984375,4500
365,36.5,31,49.4670354,11,10,0.003,-0.9803482890129089,0.7240046858787537,0.5111055970191956,-67.68624114990234,5280
403,36.63636363636363,36,50.750911090909085,11,11,0.003,-0.7906576991081238,1.7658726960420608,0.47889795899391174,-74.98326110839844,6040
444,37.0,40,52.55214966666666,10,12,0.003,-0.9987382292747498,2.723711746931076,0.44688189029693604,-81.80113220214844,6860
501,38.53846153846154,46,56.56480507692307,10,13,0.003,-1.491829514503479,2.720301640033722,0.40220850706100464,-87.93848419189453,8000
558,39.857142857142854,53,59.86950078571429,10,14,0.003,-1.537255048751831,0.6367140382528305,0.35210826992988586,-94.54927062988281,9140
603,40.2,57,60.97448013333334,10,15,0.003,-1.6914405822753906,0.8432438254356385,0.31618595123291016,-98.07317352294922,10040
649,40.5625,63,62.0363505,10,16,0.003,-1.172042965888977,3.1110614210367205,0.2833794057369232,-103.74525451660156,10960
714,42.0,70,65.15921094117647,10,17,0.003,-2.347846031188965,0.8106192231178284,0.24329325556755066,-106.87525939941406,12260
862,47.888888888888886,86,76.18556627777778,9,18,0.003,-2.9081194400787354,0.46082665473222734,0.16338340938091278,-118.67582702636719,15220
899,47.31578947368421,90,75.44921994736842,9,19,0.003,-3.0071778297424316,0.28113936111330984,0.14933788776397705,-121.76972961425781,15960
1017,50.85,103,83.23682145000001,9,20,0.003,-1.9474964141845703,0.5458471909165382,0.11879399418830872,-132.26446533203125,18320
1071,51.0,109,83.90904685714285,9,21,0.003,-2.0501182079315186,0.45373093634843825,0.11229922622442245,-137.34715270996094,19400
1118,50.81818181818182,115,83.86877404545454,9,22,0.003,-1.048750877380371,1.516618500649929,0.10580255836248398,-141.20693969726562,20340
1164,50.608695652173914,120,83.65883039130435,9,23,0.003,-1.707351565361023,7.683026725053788,0.1003127247095108,-144.18621826171875,21260
1189,49.541666666666664,123,81.967709625,9,24,0.003,-1.6520636081695557,7.40316658616066,0.09765960276126862,-145.63890075683594,21760
1244,49.76,129,82.54974351999999,9,25,0.003,-0.22112658619880676,1.0008209973573685,0.09385846555233002,-149.31344604492188,22860
1348,51.84615384615385,141,87.6214413076923,9,26,0.003,0.19915762543678284,0.78578200340271,0.09269722551107407,-157.4415283203125,24940
1481,54.851851851851855,156,94.35586992592592,9,27,0.003,0.5919123888015747,9.188220000267028,0.09789463132619858,-165.85679626464844,27600
1626,58.07142857142857,172,101.41668721428572,9,28,0.003,1.1807860136032104,17.825733757019044,0.11064550280570984,-176.83203125,30500
