time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/ent_coef_loss,train/learning_rate,train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef
0,38,1,45.687138,209,38.0,,,,,,
0,57,2,32.681419,293,28.5,,,,,,
0,90,3,30.225305000000002,416,30.0,,,,,,
4,114,4,26.64519375,23,28.5,-2.167733645439148,0.003,260,-5.389682817459106,0.030689725931733847,0.4749029979109764
10,139,5,21.7017502,13,27.8,-1.112882822751999,0.003,760,-7.849394202232361,0.025724148936569692,0.1617478497326374
15,162,6,24.611476,10,27.0,0.007298273965716362,0.003,1220,-12.15623927116394,0.01977945938706398,0.12428949289023876
20,184,7,26.622475,8,26.285714285714285,-0.03949578646570444,0.003,1660,-17.072409915924073,0.13574630320072173,0.16762481331825257
29,222,8,31.317671999999998,7,27.75,0.2086024735122919,0.003,2420,-28.02419195175171,0.2891677811741829,0.28075030744075774
42,284,9,39.60436577777777,6,31.555555555555557,0.06395551059395074,0.003,3660,-43.45182456970215,0.7866427034139634,0.3857913017272949
54,347,10,47.57036909999999,6,34.7,0.0864442190155387,0.003,4920,-56.45133113861084,1.068819034099579,0.4605055972933769
69,409,11,53.900055272727265,5,37.18181818181818,-0.0041326995939016346,0.003,6160,-64.34868583679199,0.9361248135566711,0.47272132337093353
85,477,12,58.90833524999999,5,39.75,0.009546985756605864,0.003,7520,-70.70807495117188,1.0260437190532685,0.42213398665189744
99,542,13,57.98732584615384,5,41.69230769230769,0.03383625019341707,0.003,8820,-78.68964958190918,1.0117943048477174,0.5032848104834556
125,654,14,67.33264664285714,5,46.714285714285715,0.015857698488980533,0.003,11060,-86.43250122070313,1.8487243354320526,0.6678263425827027
129,672,15,64.04831286666666,5,44.8,0.001904434710741043,0.003,11420,-89.2979606628418,3.0666490495204926,0.702445387840271
133,691,16,61.26565924999999,5,43.1875,0.016332219680771233,0.003,11800,-93.54866104125976,18.083294439315797,0.7115675061941147
137,707,17,58.65611147058823,5,41.588235294117645,0.004984344227705151,0.003,12120,-99.07872428894044,14.523692393302918,0.9407052308320999
142,724,18,56.389585777777775,5,40.22222222222222,-0.014378432719968259,0.003,12460,-103.49045028686524,13.726577758789062,1.1712324142456054
148,753,19,55.34099763157895,5,39.63157894736842,0.0033849108731374145,0.003,13040,-109.65508880615235,13.548377799987794,1.2865997850894928
153,774,20,53.667715650000005,5,38.7,-0.022521180938929318,0.003,13460,-116.6218921661377,15.010027074813843,1.3004692554473878
158,795,21,52.14168390476191,5,37.857142857142854,-0.03489515855908394,0.003,13880,-121.65676040649414,14.975765609741211,1.4874603629112244
204,1010,22,65.29293681818181,4,45.90909090909091,0.02098681954666972,0.003,18180,-180.93630447387696,14.854276180267334,1.7749579548835754
227,1123,23,71.03006526086956,4,48.82608695652174,-0.019927453342825176,0.003,20440,-203.63570098876954,23.705684757232667,2.049455165863037
242,1185,24,72.56561845833333,4,49.375,0.020973181538283824,0.003,21680,-222.61222915649415,30.73279733657837,2.0302130937576295
263,1279,25,77.4823776,4,51.16,0.04230273347347975,0.003,23560,-245.60636215209962,44.101727676391604,2.3904401659965515
