rollout/ep_len_mean,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/episodes,time/time_elapsed,train/ent_coef,train/actor_loss,train/critic_loss,train/learning_rate,train/n_updates,train/ent_coef_loss
14.0,161,14,-2.232876,1,0,,,,,,
16.0,327,32,0.1446369999999999,2,0,,,,,,
15.666666666666666,441,47,-0.5159313333333334,3,0,,,,,,
15.0,524,60,-0.18821775000000002,4,0,,,,,,
15.8,629,79,0.40092420000000006,5,0,,,,,,
14.833333333333334,676,89,-0.38049316666666666,6,0,,,,,,
14.428571428571429,517,101,-0.6436625714285713,7,0,,,,,,
16.75,10,134,-0.4544515,8,12,1.3878169059753418,21.98551368713379,197.59574279785156,0.03,660,0.5125218629837036
18.11111111111111,7,163,-0.24609699999999998,9,23,1.1422865390777588,5.017055034637451,14.416370487213134,0.03,1240,0.929020881652832
18.9,5,189,-0.2810275,10,33,0.61275315284729,1.3021578788757324,6.0787441492080685,0.03,1760,-3.4822137355804443
18.818181818181817,5,207,0.11881645454545459,11,39,0.37646886706352234,-0.47786352038383484,2.6399891853332518,0.03,2120,-6.694336414337158
18.5,4,222,0.30281575000000005,12,45,0.2505906820297241,-0.6244519948959351,1.4552165389060974,0.03,2420,-9.162837028503418
19.615384615384617,4,255,1.771370153846154,13,57,0.1054079681634903,-1.047021508216858,0.638955369591713,0.03,3080,-11.73017692565918
23.428571428571427,3,328,1.3725467142857144,14,84,0.05524909123778343,-3.8635497093200684,0.6145372003316879,0.03,4540,-0.7906611561775208
39.0,3,585,26.733691666666665,15,178,0.0786852315068245,-18.398841857910156,1.294155526161194,0.03,9680,0.5430817604064941
