rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,time/episodes,time/time_elapsed,train/critic_loss,train/actor_loss,train/ent_coef_loss,train/n_updates,train/ent_coef,train/learning_rate
14.295307,17,17.0,91,1,0,,,,,,
11.910546499999999,28,14.0,141,2,0,,,,,,
19.895936,69,23.0,285,3,0,,,,,,
18.04320525,84,21.0,329,4,0,,,,,,
15.879856799999999,96,19.2,361,5,0,,,,,,
14.876656833333334,109,18.166666666666668,32,6,3,0.05545514766126871,-4.796261787414551,-1.3601962745189666,160,0.6362573623657226,0.003
20.547459714285715,162,23.142857142857142,11,7,13,0.014402210991829634,-9.288092994689942,-0.0566728875041008,1220,0.10173117779195309,0.003
26.9458815,206,25.75,8,8,23,0.05236676279455423,-15.331363534927368,0.2959614969789982,2100,0.1388677217066288,0.003
26.431752666666668,237,26.333333333333332,7,9,29,0.2690061904489994,-18.87816438674927,0.10321406777948142,2720,0.22975702658295633,0.003
26.3330153,273,27.3,7,10,38,0.46940371841192247,-22.99021635055542,0.055658253654837606,3440,0.27009126245975495,0.003
28.00904909090909,331,30.09090909090909,6,11,51,0.5209663972258568,-28.532289505004883,-0.0022292445413768292,4600,0.33073115944862364,0.003
31.635025249999998,375,31.25,6,12,62,1.043751972913742,-36.25974941253662,-0.02319957921281457,5480,0.3801022917032242,0.003
34.34816161538461,416,32.0,5,13,71,3.103582239151001,-45.10174331665039,0.04679601201787591,6300,0.5958097577095032,0.003
37.022766,460,32.857142857142854,5,14,82,2.7085673332214357,-58.098075485229494,0.0041518152691423895,7180,0.8323266744613648,0.003
39.626208266666666,506,33.733333333333334,5,15,92,14.657751417160034,-68.15035476684571,-0.0009257678556878091,8100,0.9924286127090454,0.003
41.650819,550,34.375,5,16,101,6.328019309043884,-79.08749580383301,-0.01525063426233828,8980,1.122135615348816,0.003
43.44880152941176,594,34.94117647058823,5,17,111,5.790093088150025,-83.74876747131347,0.0017510705394670368,9860,1.0600023090839386,0.003
44.69983927777778,635,35.27777777777778,5,18,121,5.33168773651123,-88.649409866333,-0.0006535760243423283,10680,1.0516602516174316,0.003
45.798335263157895,675,35.526315789473685,5,19,129,4.52411847114563,-89.34142150878907,0.0003292071840405697,11480,1.0051302134990692,0.003
48.04018455,726,36.3,5,20,141,5.962816572189331,-88.96415786743164,0.00882276181364432,12500,0.909407576918602,0.003
50.76489242857143,794,37.80952380952381,5,21,156,4.752103924751282,-88.3269058227539,0.010795611247885972,13860,0.8851457476615906,0.003
50.67762840909091,833,37.86363636363637,5,22,165,4.619440495967865,-93.51645622253417,0.00014670973338297698,14640,1.0056924879550935,0.003
48.96373195652174,860,37.391304347826086,5,23,171,4.72484335899353,-103.7141845703125,0.00014116153470240534,15180,1.0348205327987672,0.003
48.27260975000001,918,38.25,4,24,184,4.365038108825684,-120.18319931030274,-0.0022323698678519575,16340,1.072141981124878,0.003
47.60726548,982,39.28,4,25,197,6.773811101913452,-129.10509719848633,-0.007290371367707849,17620,1.2028672039508819,0.003
52.68962430769231,1186,45.61538461538461,4,26,244,19.614342880249023,-162.03684692382814,0.018593320995569228,21700,1.7055973291397095,0.003
56.87911285185186,1373,50.851851851851855,4,27,284,16.132175254821778,-172.41658096313478,-0.01563380556181073,25440,1.6661552965641022,0.003
55.43176989285714,1418,50.642857142857146,4,28,294,15.59039397239685,-174.93504638671874,-0.00016121789813041686,26340,1.657766842842102,0.003
53.953533655172414,1457,50.241379310344826,4,29,302,15.651169443130494,-172.6722442626953,-0.05414196308702231,27120,1.6334261655807496,0.003
55.91049423333333,1568,52.266666666666666,4,30,327,17.99020938873291,-176.36483154296874,0.005041298316791653,29340,1.5954951822757721,0.003
57.631436838709675,1642,52.96774193548387,4,31,343,18.347770833969115,-185.61804580688477,0.00636064768768847,30820,1.4808720886707305,0.003
57.96518171875,1693,52.90625,4,32,355,22.701869106292726,-189.7009590148926,0.051682248199358585,31840,1.60536732673645,0.003
59.83283248484849,1778,53.878787878787875,4,33,373,28.092124938964844,-204.00128784179688,-0.041320312209427355,33540,1.8013956487178802,0.003
59.798923264705884,1815,53.38235294117647,4,34,381,22.10960292816162,-211.95849151611327,-0.033699416741728785,34280,1.6643641531467437,0.003
73.50670585714285,2213,63.22857142857143,4,35,463,32.74821062088013,-264.71545257568357,0.01594715751707554,42240,2.0935177564620973,0.003
74.512526,2286,63.5,4,36,480,29.80341205596924,-277.32148895263674,0.08274710020050406,43700,2.0633129119873046,0.003
75.1687426216216,2346,63.4054054054054,4,37,493,30.27690029144287,-284.2327621459961,-0.004378432128578425,44900,1.9184818983078002,0.003
81.29473005263156,2658,69.94736842105263,4,38,562,43.905538654327394,-320.67191925048826,0.02857899167574942,51140,1.855925238132477,0.003
87.34977348717948,2919,74.84615384615384,4,39,621,86.4584243774414,-384.4175506591797,0.07338104252703488,56360,2.579162871837616,0.003
86.290853075,2950,73.75,4,40,627,70.93175163269044,-402.8982894897461,-0.1097407728433609,56980,2.576136350631714,0.003
87.05978975609756,3022,73.70731707317073,4,41,644,108.45399971008301,-444.44937896728516,-0.1116281332448125,58420,3.053796422481537,0.003
89.6017110952381,3164,75.33333333333333,4,42,674,154.77194328308104,-517.2477371215821,-0.1857261922210455,61260,3.851936399936676,0.003
92.62006360465116,3319,77.18604651162791,4,43,708,287.6163688659668,-617.3358947753907,-0.028999380208551882,64360,4.41595606803894,0.003
93.8895475909091,3408,77.45454545454545,4,44,729,387.19356231689454,-715.579965209961,0.016267607733607293,66140,5.358481907844544,0.003
