time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/episodes,time/total_timesteps,train/ent_coef,train/ent_coef_loss,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss
0,5.126808,15.0,84,1,15,,,,,,
0,4.8761615,21.5,195,2,43,,,,,,
0,2.6222706666666666,18.0,230,3,54,,,,,,
0,2.7546585,17.75,280,4,71,,,,,,
0,1.9964298,17.0,317,5,85,,,,,,
3,3.5463730000000004,18.333333333333332,33,6,110,0.9772853255271912,-0.14711692929267883,0.003,1.6568355023860932,180,-10.060676574707031
5,2.7531527142857146,18.428571428571427,22,7,129,0.9212645292282104,-0.5668257474899292,0.003,0.4030530586838722,560,-15.71286678314209
15,4.463841,25.75,13,8,206,0.7329606413841248,-1.9054503440856934,0.003,0.5663631886243821,2100,-35.417884826660156
29,7.110716666666667,35.55555555555556,10,9,320,0.5389510989189148,-3.1236367225646973,0.003,0.6021383345127106,4380,-59.842193603515625
40,5.6585225,41.5,10,10,415,0.42269182205200195,-3.7919158935546875,0.003,1.0505221724510192,6280,-71.8385238647461
55,6.5974070000000005,48.90909090909091,9,11,538,0.32228848338127136,-3.8908448219299316,0.003,1.0082283079624177,8740,-80.84031677246094
74,26.16498916666667,57.833333333333336,9,12,694,0.23097902536392212,-5.22149658203125,0.003,0.6559542432427407,11860,-93.54315948486328
104,50.17326061538461,72.38461538461539,9,13,941,0.16278567910194397,-1.1565358638763428,0.003,0.9753254175186157,16800,-123.13548278808594
122,66.69750942857142,78.42857142857143,8,14,1098,0.1564333587884903,-0.7173600196838379,0.003,1.5413797736167907,19940,-145.4654541015625
136,76.65236213333333,81.46666666666667,8,15,1222,0.15901783108711243,0.9916492104530334,0.003,1.4713263511657715,22420,-162.3345947265625
155,88.649284,86.8125,8,16,1389,0.16003765165805817,-0.831762433052063,0.003,1.6622557163238525,25760,-182.84478759765625
168,96.4305352352941,88.23529411764706,8,17,1500,0.1591111272573471,0.5001292824745178,0.003,1.4820265889167785,27980,-195.37384033203125
