time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/episodes,time/total_timesteps,train/ent_coef,train/ent_coef_loss,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss
755,202.41880400000002,129.16,8,50,6458,0.13845707476139069,-0.2752293348312378,0.003,5.399229025840759,127140,-283.99920654296875
772,203.6435153529412,129.49019607843138,8,51,6604,0.14709362387657166,0.06787796318531036,0.003,14.124825835227966,130060,-287.9911804199219
782,203.0833475,128.69230769230768,8,52,6692,0.15391497313976288,-0.45411086082458496,0.003,6.244420146942138,131820,-290.7147521972656
790,199.52047607547172,127.47169811320755,8,53,6756,0.15248525142669678,-0.193359836935997,0.003,6.664830827713013,133100,-289.0197448730469
806,200.49503537037037,127.74074074074075,8,54,6898,0.15003280341625214,-0.10730619728565216,0.003,6.929416656494141,135940,-289.0178527832031
851,201.5984664727273,132.6727272727273,8,55,7297,0.11779118329286575,-0.40829142928123474,0.003,6.500120830535889,143920,-283.13690185546875
871,202.96093271428572,133.46428571428572,8,56,7474,0.11563512682914734,-1.255446434020996,0.003,6.203857469558716,147460,-278.61993408203125
890,204.65172401754384,134.12280701754386,8,57,7645,0.15056854486465454,1.878736972808838,0.003,14.235799503326415,150880,-277.13134765625
907,205.73818686206894,134.31034482758622,8,58,7790,0.1658051759004593,0.3375511169433594,0.003,16.978548288345337,153780,-271.16015625
921,206.41616252542372,134.22033898305085,8,59,7919,0.15811298787593842,0.5585417151451111,0.003,13.67146532535553,156360,-271.8106384277344
938,208.17903199999998,134.38333333333333,8,60,8063,0.13930730521678925,0.7491785287857056,0.003,14.242889499664306,159240,-273.02935791015625
