rollout/ep_len_mean,time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/ent_coef_loss,train/ent_coef,train/critic_loss,train/n_updates,train/actor_loss,train/learning_rate
22.0,1,0,22,-4.887828,281,,,,,,
18.0,2,0,36,-2.5499324999999997,417,,,,,,
20.0,3,0,60,0.04840866666666699,621,,,,,,
18.25,4,0,73,0.7903062500000002,715,,,,,,
17.0,5,0,85,0.8730004000000001,795,,,,,,
15.666666666666666,6,0,94,0.2669365000000001,849,,,,,,
16.714285714285715,7,2,117,1.1910701428571429,53,0.8779807686805725,1.1607072353363037,4.396636354923248,320,-1.4844549894332886,0.03
16.0,8,3,128,0.7610334999999999,37,0.25542575120925903,1.0375562906265259,0.5939698457717896,540,-6.36283016204834,0.03
15.222222222222221,9,4,137,0.570614,31,-0.9458873271942139,0.8725894093513489,0.23450925722718238,720,-8.039231300354004,0.03
19.9,10,11,199,-0.9323855999999999,16,-7.323854923248291,0.2032160460948944,0.4503464221954346,1960,-11.405170440673828,0.03
32.54545454545455,11,30,358,22.81823190909091,11,0.5979042053222656,0.059061672538518906,0.18535472229123115,5140,-30.523681640625,0.03
43.25,12,49,519,21.446706333333335,10,1.3214166164398193,0.09700832515954971,1.2544513583183288,8360,-48.632789611816406,0.03
52.07692307692308,13,67,677,40.08258776923076,10,0.6524357199668884,0.15636545419692993,1.1564246267080307,11520,-78.46583557128906,0.03
70.07142857142857,14,102,981,67.26147028571428,9,0.5403156876564026,0.21178697049617767,3.2454310178756716,17600,-118.93052673339844,0.03
74.0,15,117,1110,77.7269896,9,1.1128181219100952,0.2443738877773285,5.926954555511474,20180,-133.93695068359375,0.03
80.125,16,137,1282,92.60894412500001,9,-1.4227083921432495,0.1574324071407318,4.745319712162018,23620,-163.75277709960938,0.03
86.94117647058823,17,160,1478,93.51566864705883,9,-0.2910939157009125,0.12784722447395325,19.928544759750366,27540,-172.86740112304688,0.03
91.33333333333333,18,179,1644,105.74163855555555,9,-2.6126959323883057,0.15671586990356445,78.49661545753479,30860,-176.1037139892578,0.03
95.73684210526316,19,199,1819,115.459242,9,1.1516362428665161,0.14842844009399414,13.688671278953553,34360,-190.5888671875,0.03
96.9,20,213,1938,120.92217625,9,-1.4467520713806152,0.14416390657424927,7.63882747888565,36740,-190.8310089111328,0.03
100.71428571428571,21,234,2115,131.57360795238097,9,-1.8123087882995605,0.19595472514629364,19.2556049823761,40280,-192.3448486328125,0.03
104.45454545454545,22,255,2298,139.06174318181817,8,0.3330487608909607,0.11611189693212509,6.048912835121155,43940,-193.98155212402344,0.03
108.08695652173913,23,277,2486,146.55747734782608,8,1.0026472806930542,0.08764521032571793,51.5236328125,47700,-207.51394653320312,0.03
110.95833333333333,24,298,2663,143.57779020833334,8,1.5343035459518433,0.07297223806381226,7.400252032279968,51240,-204.37269592285156,0.03
117.0,25,328,2925,152.04065428,8,0.4910452365875244,0.09813909232616425,5.409497165679932,56480,-206.8955078125,0.03
118.46153846153847,26,346,3080,156.48962003846154,8,-0.9445328712463379,0.11152994632720947,21.026223921775816,59580,-208.49853515625,0.03
123.14814814814815,27,374,3325,156.11378555555555,8,0.9747973680496216,0.1366952657699585,9.875762319564819,64480,-203.7010955810547,0.03
126.14285714285714,28,398,3532,165.04371314285714,8,1.7439274787902832,0.12364047020673752,29.041957283020018,68620,-211.98403930664062,0.03
127.89655172413794,29,419,3709,170.07129513793103,8,-0.1564466953277588,0.17545205354690552,48.17802667617798,72160,-224.6470947265625,0.03
129.36666666666667,30,439,3881,175.38679516666667,8,-0.21863937377929688,0.28462064266204834,41.17261028289795,75600,-219.13710021972656,0.03
131.4516129032258,31,461,4075,180.30803051612904,8,-1.3919920921325684,0.23899152874946594,26.851171016693115,79480,-238.02340698242188,0.03
133.4375,32,483,4270,186.93181653125,8,0.029867924749851227,0.1669320911169052,25.341623973846435,83380,-238.02992248535156,0.03
136.42424242424244,33,509,4502,196.85297133333333,8,-1.0726134777069092,0.15260617434978485,21.704147815704346,88020,-255.11001586914062,0.03
