rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/fps,time/episodes,train/learning_rate,train/n_updates,train/ent_coef,train/actor_loss,train/critic_loss,train/ent_coef_loss
6.799473,0,18.0,18,67,1,,,,,,
7.514889,0,20.5,41,137,2,,,,,,
7.227803000000001,0,20.666666666666668,62,193,3,,,,,,
5.69235425,0,21.5,86,250,4,,,,,,
6.5299362,3,22.8,114,32,5,0.003,260,0.965400218963623,-12.039694786071777,0.3662584722042084,-0.24591568112373352
5.796405666666668,5,22.0,132,22,6,0.003,620,0.9124638438224792,-17.149166107177734,0.3640967711806297,-0.62830650806427
10.186127285714287,15,28.857142857142858,202,13,7,0.003,2020,0.7400098443031311,-36.439456939697266,0.9795848190784454,-1.860094666481018
16.47407025,41,52.0,416,10,8,0.003,6300,0.4140063226222992,-77.32466125488281,0.8062987595796585,-4.701169013977051
61.07127933333334,77,78.33333333333333,705,9,9,0.003,12080,0.2076881229877472,-105.56974792480469,0.32555834352970126,-5.205517768859863
92.0337471,102,90.6,906,8,10,0.003,16100,0.15656358003616333,-129.6316375732422,0.7117826670408249,-2.0561084747314453
85.54174063636364,115,91.54545454545455,1007,8,11,0.003,18120,0.14427942037582397,-139.8816680908203,1.2915719151496887,-1.122954249382019
81.65643683333333,123,89.58333333333333,1075,8,12,0.003,19480,0.14073356986045837,-148.24127197265625,1.782778763771057,0.006254374980926514
74.72832876923077,125,83.92307692307692,1091,8,13,0.003,19800,0.14048118889331818,-150.6165313720703,2.40659441947937,-1.4504361152648926
70.61417692857144,134,82.92857142857143,1161,8,14,0.003,21200,0.14066025614738464,-160.78265380859375,7.331059622764587,-0.025458842515945435
72.51841693333334,155,88.66666666666667,1330,8,15,0.003,24580,0.15561120212078094,-174.5909423828125,2.269144153594971,2.305054187774658
84.666208625,174,92.6875,1483,8,16,0.003,27640,0.18267850577831268,-199.1182403564453,2.7049372792243958,1.301053524017334
89.25721694117647,204,101.0,1717,8,17,0.003,32320,0.20389807224273682,-217.912109375,3.5329660415649413,-0.6826004385948181
97.56798833333333,219,102.27777777777777,1841,8,18,0.003,34800,0.21070721745491028,-225.80645751953125,4.005252182483673,0.3274766504764557
110.18714547368423,246,108.05263157894737,2053,8,19,0.003,39040,0.2082407921552658,-238.41453552246094,2.5524466753005983,-1.1256458759307861
121.58718740000002,272,113.45,2269,8,20,0.003,43360,0.18890991806983948,-242.72695922851562,2.3463372349739076,-0.1945401132106781
132.83720966666667,305,120.80952380952381,2537,8,21,0.003,48720,0.1745385080575943,-244.564208984375,2.687436211109161,0.6260287761688232
145.36347781818182,342,128.6818181818182,2831,8,22,0.003,54600,0.1772768646478653,-244.50865173339844,3.089612352848053,-0.12825965881347656
