time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/episodes,train/actor_loss,train/ent_coef,train/ent_coef_loss,train/critic_loss,train/n_updates,train/learning_rate
0,12,-1.933891,53,12.0,1,,,,,,
0,34,-3.742071,129,17.0,2,,,,,,
0,57,-1.7543090000000001,195,19.0,3,,,,,,
0,70,-0.8942622500000001,229,17.5,4,,,,,,
0,89,-0.9392432000000002,275,17.8,5,,,,,,
3,110,-1.7624558333333333,36,18.333333333333332,6,69.1285400390625,1.140591025352478,-2.7581214904785156,172.991707611084,180,0.03
5,135,-1.3589727142857144,22,19.285714285714285,7,153.61859130859375,2.212470293045044,-10.54420280456543,411.20572357177736,680,0.03
7,149,-1.8927965,19,18.625,8,83.55339050292969,3.0543665885925293,7.005007743835449,80.2836082458496,960,0.03
8,159,-1.9378871111111111,18,17.666666666666668,9,62.140296936035156,3.2229602336883545,7.420369625091553,52.29341697692871,1160,0.03
9,169,-1.9025284,17,16.9,10,42.12989044189453,3.0291683673858643,5.870629787445068,57.97069396972656,1360,0.03
10,179,-2.1303526363636363,16,16.272727272727273,11,20.283187866210938,2.7376296520233154,5.415641784667969,58.74549446105957,1560,0.03
11,187,-2.44654875,15,15.583333333333334,12,6.217792987823486,2.4950900077819824,5.349110126495361,44.9306245803833,1720,0.03
13,198,-2.4808346153846155,15,15.23076923076923,13,-7.036335468292236,2.1697885990142822,4.624915599822998,36.125119590759276,1940,0.03
14,206,-2.5534605,14,14.714285714285714,14,-12.568540573120117,1.9440926313400269,3.9723966121673584,20.80570240020752,2100,0.03
16,225,-2.6053365333333334,13,15.0,15,-18.942142486572266,1.4519290924072266,2.5227766036987305,9.970958757400513,2480,0.03
19,251,-2.369045875,13,15.6875,16,-22.646472930908203,0.9250672459602356,-0.4664327800273895,3.9063186764717104,3000,0.03
22,278,-2.422158882352941,12,16.352941176470587,17,-26.536033630371094,0.5917820334434509,-2.818856716156006,2.5354953050613402,3540,0.03
33,376,-4.428840888888889,11,20.88888888888889,18,-32.701454162597656,0.1679624617099762,-0.2938705384731293,1.6263218760490417,5500,0.03
52,549,-1.7020959473684205,10,28.894736842105264,19,-39.87346267700195,0.1289621740579605,-1.1513949632644653,2.195407968759537,8960,0.03
73,733,1.4084945000000004,9,36.65,20,-45.336570739746094,0.1254756599664688,1.7503055334091187,2.358799046278,12640,0.03
99,955,5.48258161904762,9,45.476190476190474,21,-56.408599853515625,0.13511420786380768,0.9582977294921875,3.533864974975586,17080,0.03
136,1272,24.832251409090908,9,57.81818181818182,22,-76.69090270996094,0.13394418358802795,0.14831596612930298,2.9358077883720397,23420,0.03
150,1397,24.92474847826087,9,60.73913043478261,23,-79.52175903320312,0.1345272660255432,-0.33130985498428345,3.3064306378364563,25920,0.03
168,1551,34.74659116666666,9,64.625,24,-86.99274444580078,0.1935042440891266,0.10752835869789124,4.900619041919708,29000,0.03
182,1673,41.88486956,9,66.92,25,-94.64449310302734,0.2231062352657318,-0.09424683451652527,10.13888087272644,31440,0.03
202,1841,50.26781134615385,9,70.8076923076923,26,-102.54029846191406,0.2081630527973175,1.0436596870422363,10.720801091194152,34800,0.03
227,2062,60.95347533333334,9,76.37037037037037,27,-127.99909210205078,0.2609425187110901,0.49081650376319885,15.418863201141358,39220,0.03
246,2222,69.13629828571429,9,79.35714285714286,28,-143.5194854736328,0.28924915194511414,0.26042890548706055,22.089491271972655,42420,0.03
268,2423,80.70754055172414,9,83.55172413793103,29,-155.7859649658203,0.33080703020095825,-0.23929402232170105,20.676981687545776,46440,0.03
281,2530,84.43782893333334,8,84.33333333333333,30,-170.18775939941406,0.3491450548171997,-0.1308833509683609,26.458155155181885,48580,0.03
301,2703,91.6333445483871,8,87.19354838709677,31,-180.6500244140625,0.3241361081600189,-0.13567838072776794,26.50637674331665,52040,0.03
327,2929,98.860237625,8,91.53125,32,-197.62701416015625,0.2760298252105713,0.030842117965221405,17.845699548721313,56560,0.03
349,3135,106.34819027272727,8,95.0,33,-197.5216064453125,0.24394918978214264,0.5996840000152588,17.719854021072386,60680,0.03
381,3414,116.17724302941176,8,100.41176470588235,34,-199.41183471679688,0.2116779386997223,-0.6657063961029053,21.144502687454224,66260,0.03
420,3754,128.41109191428572,8,107.25714285714285,35,-188.97604370117188,0.15371018648147583,0.06662121415138245,10.19313371181488,73060,0.03
448,4004,135.00445491666667,8,111.22222222222223,36,-188.35028076171875,0.12987937033176422,-0.7130290269851685,9.331964111328125,78060,0.03
478,4258,142.1328007837838,8,115.08108108108108,37,-186.00689697265625,0.0995400995016098,-2.067826271057129,10.250829982757569,83140,0.03
507,4514,142.68301915789476,8,118.78947368421052,38,-175.37130737304688,0.0931219533085823,-0.3836488723754883,9.072445225715636,88260,0.03
